title,artist,top genre,bpm,dB,dur,top year
Ghost Town,Adam Lambert,dance pop,120,-6,208,2015
Here,Alessia Cara,canadian contemporary r&b,120,-4,199,2015
"Honey, I'm Good.",Andy Grammer,dance pop,122,-7,199,2015
Love Me Harder,Ariana Grande,dance pop,99,-4,236,2015
The Nights,Avicii,dance pop,126,-5,177,2015
Waiting For Love,Avicii,dance pop,128,-4,231,2015
7/11,Beyoncé,dance pop,136,-5,214,2015
I Don't Fuck With You,Big Sean,detroit hip hop,98,-5,284,2015
Electric Love,BØRNS,modern rock,120,-8,218,2015
Don't,Bryson Tiller,kentucky hip hop,97,-6,198,2015
Outside (feat. Ellie Goulding),Calvin Harris,dance pop,128,-4,227,2015
How Deep Is Your Love,Calvin Harris,dance pop,122,-4,213,2015
Ayo,Chris Brown,dance pop,98,-5,225,2015
Cool for the Summer,Demi Lovato,dance pop,114,-6,215,2015
Confident,Demi Lovato,dance pop,130,-6,206,2015
Five More Hours,Deorro,dance pop,128,-3,212,2015
Omen - Radio Edit,Disclosure,edm,106,-5,197,2015
You Know You Like It,DJ Snake,dance pop,196,-5,247,2015
Hotline Bling,Drake,canadian hip hop,135,-8,267,2015
Jumpman,Drake,canadian hip hop,142,-7,206,2015
Thinking out Loud,Ed Sheeran,pop,79,-6,282,2015
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,190,-7,253,2015
On My Mind,Ellie Goulding,dance pop,155,-7,213,2015
Centuries,Fall Out Boy,emo,176,-3,228,2015
679 (feat. Remy Boyz),Fetty Wap,new jersey rap,190,-6,197,2015
Trap Queen,Fetty Wap,new jersey rap,148,-4,222,2015
My Way (feat. Monty),Fetty Wap,new jersey rap,128,-3,213,2015
My House,Flo Rida,dance pop,94,-5,192,2015
GDFR (feat. Sage the Gemini & Lookas),Flo Rida,dance pop,146,-4,190,2015
Mountain at My Gates,Foals,indie rock,104,-5,244,2015
Runaway (U & I),Galantis,dance pop,126,-4,227,2015
Barcelona,George Ezra,folk-pop,94,-9,189,2015
Love Myself,Hailee Steinfeld,dance pop,123,-7,219,2015
Take Me to Church,Hozier,irish singer-songwriter,129,-5,242,2015
Where Are Ü Now (with Justin Bieber),Jack Ü,edm,139,-4,250,2015
oui,Jeremih,chicago rap,79,-4,238,2015
Classic Man (feat. Roman GianArthur),Jidenna,ghanaian hip hop,94,-6,226,2015
What Do You Mean?,Justin Bieber,canadian pop,125,-8,206,2015
Way down We Go,KALEO,icelandic indie,163,-8,214,2015
King Kunta,Kendrick Lamar,conscious hip hop,107,-5,235,2015
Stole the Show,Kygo,edm,100,-8,223,2015
Nothing Left (feat. Will Heard),Kygo,edm,154,-7,237,2015
High By The Beach,Lana Del Rey,art pop,132,-11,258,2015
Hurt Me,Låpsley,electropop,138,-5,231,2015
Closer,Lemaitre,alternative dance,92,-4,271,2015
Lot to Learn,Luke Christopher,indie pop rap,82,-4,248,2015
Lean On,Major Lazer,dance pop,98,-3,177,2015
Light It Up - Remix,Major Lazer,dance pop,108,-4,166,2015
Uptown Funk (feat. Bruno Mars),Mark Ronson,dance pop,115,-7,270,2015
Intoxicated - Radio Edit,Martin Solveig,dance pop,125,-4,160,2015
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,hip hop,78,-5,224,2015
Believe,Mumford & Sons,modern folk rock,114,-7,221,2015
Somebody,Natalie La Rose,chicago rap,105,-9,190,2015
That's How You Know (feat. Kid Ink & Bebe Rexha),Nico & Vinz,pop rap,104,-6,186,2015
Drive,Oh Wonder,electropop,142,-8,196,2015
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,dance pop,97,-6,227,2015
Drag Me Down,One Direction,boy band,138,-6,192,2015
Perfect,One Direction,boy band,100,-5,230,2015
Sunset Lover,Petit Biscuit,new french touch,91,-9,238,2015
Wish You Were Mine - Radio Edit,Philip George,deep groove house,123,-4,178,2015
Time of Our Lives,Pitbull,dance pop,124,-6,229,2015
No Type,Rae Sremmurd,hip hop,125,-8,200,2015
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,atl hip hop,82,-8,177,2015
FourFiveSeconds,Rihanna,barbadian pop,206,-6,188,2015
Bitch Better Have My Money,Rihanna,barbadian pop,103,-5,219,2015
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,san diego rap,108,-10,177,2015
Sugar (feat. Francesco Yates),Robin Schulz,dance pop,123,-5,219,2015
Lay It All on Me (feat. Ed Sheeran),Rudimental,dance pop,123,-7,242,2015
Like I Can,Sam Smith,dance pop,100,-7,167,2015
You Don't Own Me (feat. G-Eazy),SAYGRACE,dance pop,186,-6,199,2015
Same Old Love,Selena Gomez,dance pop,98,-4,229,2015
Hands To Myself,Selena Gomez,dance pop,111,-7,201,2015
Good For You,Selena Gomez,dance pop,89,-6,222,2015
Geronimo,Sheppard,australian indie,142,-6,218,2015
Easy Love,Sigala,dance pop,124,-4,230,2015
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,edm,95,-6,230,2015
The Less I Know The Better,Tame Impala,australian psych,117,-4,216,2015
Blank Space,Taylor Swift,pop,96,-5,232,2015
Wildest Dreams,Taylor Swift,pop,140,-7,220,2015
Bad Blood,Taylor Swift,pop,170,-7,200,2015
Style,Taylor Swift,pop,95,-6,231,2015
Spirits,The Strumbellas,canadian indie,81,-6,204,2015
The Hills,The Weeknd,canadian contemporary r&b,113,-7,242,2015
Can't Feel My Face,The Weeknd,canadian contemporary r&b,108,-6,214,2015
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,120,-6,252,2015
In The Night,The Weeknd,canadian contemporary r&b,168,-5,236,2015
Die A Happy Man,Thomas Rhett,contemporary country,166,-9,227,2015
Talking Body,Tove Lo,art pop,120,-5,238,2015
Antidote,Travis Scott,hip hop,131,-5,263,2015
Slow Motion,Trey Songz,dance pop,95,-8,198,2015
Na Na,Trey Songz,dance pop,97,-6,232,2015
YOUTH,Troye Sivan,australian pop,92,-4,185,2015
Stressed Out,Twenty One Pilots,modern rock,170,-6,202,2015
I Don't Mind (feat. Juicy J),Usher,atl hip hop,113,-8,252,2015
Shut Up and Dance,WALK THE MOON,dance pop,128,-4,199,2015
See You Again (feat. Charlie Puth),Wiz Khalifa,dance pop,80,-8,230,2015
Renegades,X Ambassadors,modern alternative rock,90,-6,195,2015
Unsteady,X Ambassadors,modern alternative rock,117,-6,194,2015
King,Years & Years,dance pop,120,-4,215,2015
I Want You To Know,Zedd,complextro,130,-3,240,2015
