title,artist,top genre,bpm,dB,dur,top year
a lot,21 Savage,atl hip hop,146,-8,289,2019
Easier,5 Seconds of Summer,boy band,176,-4,158,2019
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,melodic rap,93,-5,189,2019
Look Back at It,A Boogie Wit da Hoodie,melodic rap,96,-5,179,2019
Ladbroke Grove,AJ Tracey,grime,134,-9,191,2019
China,Anuel AA,latin,105,-4,302,2019
Secreto,Anuel AA,latin,92,-4,259,2019
7 rings,Ariana Grande,dance pop,140,-11,179,2019
"thank u, next",Ariana Grande,dance pop,107,-6,207,2019
"break up with your girlfriend, i'm bored",Ariana Grande,dance pop,170,-5,190,2019
boyfriend (with Social House),Ariana Grande,dance pop,190,-4,186,2019
On A Roll,Ashley O,pop,125,-6,154,2019
Callaita,Bad Bunny,latin,176,-5,251,2019
MIA (feat. Drake),Bad Bunny,latin,97,-6,210,2019
lovely (with Khalid),Billie Eilish,art pop,115,-10,200,2019
bad guy,Billie Eilish,art pop,135,-11,194,2019
when the party's over,Billie Eilish,art pop,83,-14,196,2019
bury a friend,Billie Eilish,art pop,120,-15,193,2019
Kill This Love,BLACKPINK,k-pop,132,-5,191,2019
The Git Up,Blanco Brown,black americana,98,-9,201,2019
Thotiana,Blueface,cali rap,104,-13,129,2019
Boy With Luv (feat. Halsey),BTS,k-pop,120,-5,230,2019
Please Me,Cardi B,dance pop,134,-7,201,2019
Money,Cardi B,dance pop,130,-7,184,2019
Suge,DaBaby,north carolina hip hop,75,-6,163,2019
Location (feat. Burna Boy),Dave,uk hip hop,110,-6,241,2019
Juicy,Doja Cat,dance pop,170,-3,202,2019
3 Nights,Dominic Fike,alternative pop rock,152,-7,178,2019
Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,101,-4,205,2019
Don't Start Now,Dua Lipa,dance pop,124,-5,183,2019
Take Me Back to London (feat. Stormzy),Ed Sheeran,pop,138,-6,190,2019
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,95,-6,206,2019
Antisocial (with Travis Scott),Ed Sheeran,pop,152,-5,162,2019
Leave Me Alone,Flipp Dinero,melodic rap,150,-3,196,2019
Lost in the Fire (feat. The Weeknd),Gesaffelstein,dark clubbing,101,-12,202,2019
Without Me,Halsey,dance pop,136,-7,202,2019
emotions,iann dior,melodic rap,81,-6,131,2019
gone girl,iann dior,melodic rap,95,-6,137,2019
MIDDLE CHILD,J. Cole,conscious hip hop,124,-12,214,2019
All Day And Night,Jax Jones,dance pop,122,-4,169,2019
Sorry,Joel Corry,dance pop,125,-5,189,2019
Sucker,Jonas Brothers,boy band,138,-5,181,2019
Only Human,Jonas Brothers,boy band,94,-6,183,2019
Robbery,Juice WRLD,chicago rap,80,-5,240,2019
Good as You,Kane Brown,black americana,154,-6,192,2019
Nights Like This (feat. Ty Dolla $ign),Kehlani,dance pop,146,-5,202,2019
Better,Khalid,pop,98,-10,229,2019
Talk (feat. Disclosure),Khalid,pop,136,-9,198,2019
ZEZE (feat. Travis Scott & Offset),Kodak Black,florida rap,98,-6,229,2019
Shallow,Lady Gaga,art pop,96,-6,216,2019
Doin' Time,Lana Del Rey,art pop,145,-11,202,2019
i'm so tired...,Lauv,dance pop,102,-7,163,2019
Someone You Loved,Lewis Capaldi,pop,110,-6,182,2019
Grace,Lewis Capaldi,pop,104,-6,186,2019
Old Town Road - Remix,Lil Nas X,lgbtq+ hip hop,136,-6,157,2019
Old Town Road,Lil Nas X,lgbtq+ hip hop,136,-6,113,2019
Panini,Lil Nas X,lgbtq+ hip hop,154,-6,115,2019
Ransom,Lil Tecca,melodic rap,180,-6,131,2019
