title,artist,top genre,bpm,dB,dur,top year
We Own It (Fast & Furious),2 Chainz,atl hip hop,172,-5,228,2013
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,east coast hip hop,96,-7,234,2013
Why'd You Only Call Me When You're High?,Arctic Monkeys,garage rock,92,-6,161,2013
Do I Wanna Know?,Arctic Monkeys,garage rock,85,-8,272,2013
The Way,Ariana Grande,dance pop,82,-3,227,2013
Wake Me Up,Avicii,dance pop,124,-6,247,2013
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,Avicii,dance pop,128,-4,208,2013
Here's to Never Growing Up,Avril Lavigne,canadian pop,165,-3,214,2013
Sail,AWOLNATION,la indie,119,-10,259,2013
Harlem Shake,Baauer,bass trap,138,-5,197,2013
Pompeii,Bastille,metropopolis,127,-6,214,2013
Of The Night,Bastille,metropopolis,125,-7,214,2013
Get Up (Rattle),Bingo Players,big room,128,-3,167,2013
Sure Be Cool If You Did,Blake Shelton,contemporary country,137,-5,216,2013
Ready or Not,Bridgit Mendler,dance pop,93,-4,201,2013
Work Bitch,Britney Spears,dance pop,128,-7,248,2013
Locked out of Heaven,Bruno Mars,dance pop,144,-4,233,2013
When I Was Your Man,Bruno Mars,dance pop,73,-9,214,2013
Treasure,Bruno Mars,dance pop,116,-5,179,2013
Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,128,-4,213,2013
I Need Your Love (feat. Ellie Goulding),Calvin Harris,dance pop,125,-5,235,2013
Thinking About You (feat. Ayah Marar),Calvin Harris,dance pop,128,-4,248,2013
Drinking from the Bottle (feat. Tinie Tempah),Calvin Harris,dance pop,128,-4,240,2013
Safe And Sound,Capital Cities,metropopolis,118,-5,193,2013
3005,Childish Gambino,atl hip hop,166,-7,234,2013
Fine China,Chris Brown,dance pop,104,-5,213,2013
The Mother We Share,CHVRCHES,electropop,174,-6,191,2013
Body Party,Ciara,dance pop,134,-6,234,2013
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,116,-9,248,2013
Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,electro,100,-8,354,2013
Play Hard (feat. Ne-Yo & Akon),David Guetta,big room,130,-2,201,2013
Heart Attack,Demi Lovato,dance pop,174,-5,211,2013
White Noise,Disclosure,edm,120,-6,278,2013
"Hold On, We're Going Home",Drake,canadian hip hop,100,-7,228,2013
Started From the Bottom,Drake,canadian hip hop,86,-8,174,2013
Need U (100%) (feat. A*M*E) - Radio Edit,Duke Dumont,destroy techno,124,-5,174,2013
