title,artist,top genre,bpm,dB,dur,top year
When We Were Young,Adele,british soul,144,-6,291,2016
Send My Love (To Your New Lover),Adele,british soul,164,-8,223,2016
Hello,Adele,british soul,79,-6,296,2016
Here,Alessia Cara,canadian contemporary r&b,120,-4,199,2016
Alarm,Anne-Marie,dance pop,147,-5,206,2016
Into You,Ariana Grande,dance pop,108,-6,244,2016
Side To Side,Ariana Grande,dance pop,159,-6,226,2016
Dangerous Woman,Ariana Grande,dance pop,134,-5,236,2016
Hurts So Good,Astrid S,alt z,120,-5,209,2016
Good Grief,Bastille,metropopolis,120,-5,206,2016
Sorry,Beyoncé,dance pop,130,-7,233,2016
Don't,Bryson Tiller,kentucky hip hop,97,-6,198,2016
Exchange,Bryson Tiller,kentucky hip hop,160,-11,195,2016
Dancing On My Own,Calum Scott,neo mellow,113,-9,260,2016
This Is What You Came For (feat. Rihanna),Calvin Harris,dance pop,124,-3,222,2016
My Way,Calvin Harris,dance pop,120,-3,219,2016
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,dance pop,100,-8,218,2016
One Call Away,Charlie Puth,dance pop,91,-5,194,2016
Dangerously,Charlie Puth,dance pop,112,-8,199,2016
Sex,Cheat Codes,dance pop,102,-6,228,2016
Back To Sleep,Chris Brown,dance pop,93,-5,201,2016
Tears (feat. Louisa Johnson),Clean Bandit,dance pop,130,-4,226,2016
Hymn for the Weekend,Coldplay,permanent wave,90,-6,258,2016
Adventure of a Lifetime,Coldplay,permanent wave,112,-4,264,2016
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,big room,110,-3,207,2016
"Sit Still, Look Pretty",Daya,alt z,182,-4,202,2016
Hide Away,Daya,alt z,95,-5,192,2016
Let Me Love You,DJ Snake,dance pop,100,-5,206,2016
Middle,DJ Snake,dance pop,105,-5,221,2016
Cake By The Ocean,DNCE,dance pop,119,-5,219,2016
Too Good,Drake,canadian hip hop,118,-8,263,2016
Hotter Than Hell,Dua Lipa,dance pop,110,-4,188,2016
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,dance pop,91,-3,200,2016
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,105,-6,214,2016
All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony,dance pop,95,-5,211,2016
My House,Flo Rida,dance pop,94,-5,192,2016
Say It (feat. Tove Lo),Flume,australian dance,75,-7,263,2016
Pink + White,Frank Ocean,alternative r&b,160,-7,185,2016
Low Life (feat. The Weeknd),Future,atl hip hop,144,-8,314,2016
No Money,Galantis,dance pop,126,-4,189,2016
"i hate u, i love u (feat. olivia o'brien)",Garrett Nash,electropop,93,-13,251,2016
"Me, Myself & I",G-Eazy,indie pop rap,112,-7,251,2016
Starving,Hailee Steinfeld,dance pop,100,-4,182,2016
Can I Be Him,James Arthur,pop,108,-6,247,2016
When You Love Someone,James TW,neo mellow,126,-6,217,2016
Love Me Now,John Legend,neo soul,123,-4,210,2016
Perfect Strangers,Jonas Blue,dance pop,118,-4,197,2016
Fast Car,Jonas Blue,dance pop,114,-7,212,2016
Love Yourself,Justin Bieber,canadian pop,100,-10,234,2016
Sorry,Justin Bieber,canadian pop,100,-4,201,2016
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,113,-6,238,2016
Gold,Kiiara,alt z,113,-9,226,2016
Stole the Show,Kygo,edm,100,-8,223,2016
Stay (feat. Maty Noyes),Kygo,edm,103,-8,239,2016
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,hip hop,169,-4,243,2016
