title,artist,top genre,bpm,dB,dur,top year
Skyfall,Adele,british soul,76,-7,286,2012
Rumour Has It,Adele,british soul,120,-5,223,2012
Years,Alesso,dance pop,128,-6,195,2012
Too Close,Alex Clare,modern alternative rock,126,-4,257,2012
Breezeblocks,alt-J,indie rock,150,-7,227,2012
R U Mine?,Arctic Monkeys,garage rock,97,-5,200,2012
One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,Asaf Avidan,israeli pop,119,-6,215,2012
Levels - Radio Edit,Avicii,dance pop,126,-6,200,2012
Silhouettes - Original Radio Edit,Avicii,dance pop,128,-6,212,2012
212,Azealia Banks,dance pop,126,-6,205,2012
So Good,B.o.B,atl hip hop,86,-5,213,2012
Locked out of Heaven,Bruno Mars,dance pop,144,-4,233,2012
It Will Rain,Bruno Mars,dance pop,150,-7,258,2012
Feel So Close - Radio Edit,Calvin Harris,dance pop,128,-3,206,2012
Let's Go (feat. Ne-Yo),Calvin Harris,dance pop,128,-3,233,2012
We'll Be Coming Back (feat. Example),Calvin Harris,dance pop,128,-4,234,2012
Call Me Maybe,Carly Rae Jepsen,canadian pop,120,-7,193,2012
Blown Away,Carrie Underwood,contemporary country,137,-3,240,2012
Want U Back,Cher Lloyd,dance pop,98,-3,215,2012
Turn Up the Music,Chris Brown,dance pop,130,-6,228,2012
Paradise,Coldplay,permanent wave,140,-7,279,2012
Princess of China,Coldplay,permanent wave,85,-6,239,2012
Turn Me On (feat. Nicki Minaj),David Guetta,big room,128,-2,200,2012
In The Dark,DEV,dance pop,125,-4,226,2012
Latch,Disclosure,edm,122,-5,256,2012
Hot Right Now - Edit,DJ Fresh,dancefloor dnb,175,-2,179,2012
Take Care,Drake,canadian hip hop,122,-10,277,2012
The Motto,Drake,canadian hip hop,202,-9,182,2012
Lights - Single Version,Ellie Goulding,dance pop,120,-6,211,2012
Good Feeling,Flo Rida,dance pop,128,-4,248,2012
Spectrum (Say My Name) - Calvin Harris Remix,Florence + The Machine,baroque pop,126,-4,218,2012
Lost,Frank Ocean,alternative r&b,123,-5,234,2012
Thinkin Bout You,Frank Ocean,alternative r&b,130,-11,201,2012
We Are Young (feat. Janelle Monáe),fun.,baroque pop,184,-6,251,2012
Some Nights,fun.,baroque pop,108,-7,277,2012
Somebody That I Used To Know,Gotye,australian pop,129,-7,245,2012
Oblivion,Grimes,art pop,156,-9,251,2012
Ass Back Home (feat. Neon Hitch),Gym Class Heroes,dance pop,130,-4,222,2012
I Love It (feat. Charli XCX),Icona Pop,candy pop,126,-3,157,2012
It's Time,Imagine Dragons,modern rock,105,-5,238,2012
On Top Of The World,Imagine Dragons,modern rock,100,-6,190,2012
Ni**as In Paris,JAY-Z,east coast hip hop,140,-6,219,2012
