title,artist,top genre,bpm,dB,dur,top year
Youngblood,5 Seconds of Summer,boy band,120,-5,203,2018
FEFE,6ix9ine,emo rap,126,-9,179,2018
GUMMO,6ix9ine,emo rap,157,-5,158,2018
God is a woman,Ariana Grande,dance pop,145,-6,198,2018
no tears left to cry,Ariana Grande,dance pop,122,-6,206,2018
Jumanji,B Young,afroswing,96,-10,173,2018
Answerphone (feat. Yxng Bane),Banx & Ranx,basshall,113,-4,191,2018
Mine,Bazzi,dance pop,143,-4,131,2018
Eastside (with Halsey & Khalid),benny blanco,electropop,89,-8,174,2018
lovely (with Khalid),Billie Eilish,art pop,115,-10,200,2018
Look Alive (feat. Drake),BlocBoy JB,memphis hip hop,140,-7,181,2018
Finesse - Remix; feat. Cardi B,Bruno Mars,dance pop,105,-5,217,2018
One Kiss (with Dua Lipa),Calvin Harris,dance pop,124,-3,215,2018
Never Be the Same,Camila Cabello,dance pop,130,-4,227,2018
I Like It,Cardi B,dance pop,136,-4,253,2018
Bodak Yellow,Cardi B,dance pop,125,-6,224,2018
Be Careful,Cardi B,dance pop,152,-8,211,2018
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,dance pop,100,-5,186,2018
How Long,Charlie Puth,dance pop,110,-5,201,2018
Done for Me (feat. Kehlani),Charlie Puth,dance pop,112,-4,180,2018
The Way I Am,Charlie Puth,dance pop,115,-6,186,2018
This Is America,Childish Gambino,atl hip hop,120,-6,226,2018
Tequila,Dan + Shay,contemporary country,86,-6,197,2018
Nevermind,Dennis Lloyd,israeli pop,100,-8,157,2018
No Brainer,DJ Khaled,dance pop,136,-5,260,2018
God's Plan,Drake,canadian hip hop,77,-9,199,2018
Nonstop,Drake,canadian hip hop,155,-8,239,2018
Nice For What,Drake,canadian hip hop,93,-6,211,2018
In My Feelings,Drake,canadian hip hop,91,-6,218,2018
I'm Upset,Drake,canadian hip hop,150,-8,214,2018
IDGAF,Dua Lipa,dance pop,97,-6,218,2018
In My Mind,Dynoro,edm,126,-5,185,2018
Trip,Ella Mai,dance pop,80,-6,214,2018
Boo'd Up,Ella Mai,dance pop,82,-5,256,2018
River (feat. Ed Sheeran),Eminem,detroit hip hop,90,-6,221,2018
German,EO,afroswing,103,-6,171,2018
Let's Fall in Love for the Night,FINNEAS,alt z,128,-8,190,2018
Simple,Florida Georgia Line,contemporary country,200,-4,185,2018
Him & I (with Halsey),G-Eazy,indie pop rap,88,-6,269,2018
Shotgun,George Ezra,folk-pop,116,-5,201,2018
Paradise,George Ezra,folk-pop,138,-4,222,2018
we fell in love in october,girl in red,bedroom pop,130,-13,184,2018
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,103,-4,175,2018
Bad At Love,Halsey,dance pop,118,-4,181,2018
The Greatest Show,Hugh Jackman,hollywood,158,-7,302,2018
Natural,Imagine Dragons,modern rock,100,-6,189,2018
Make Me Feel,Janelle Monáe,afrofuturism,115,-7,194,2018
You Make It Easy,Jason Aldean,contemporary country,132,-5,197,2018
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,conscious hip hop,137,-5,230,2018
Rise,Jonas Blue,dance pop,106,-5,194,2018
Lucid Dreams,Juice WRLD,chicago rap,84,-7,240,2018
LOVE. FEAT. ZACARI.,Kendrick Lamar,conscious hip hop,126,-7,213,2018
All The Stars (with SZA),Kendrick Lamar,conscious hip hop,97,-5,232,2018
Love Lies (with Normani),Khalid,pop,144,-6,202,2018
1950,King Princess,alt z,72,-7,225,2018
I Like Me Better,Lauv,dance pop,92,-8,197,2018
Yes Indeed,Lil Baby,atl hip hop,120,-9,142,2018
Freaky Friday (feat. Chris Brown),Lil Dicky,comedy rap,133,-5,217,2018
Everyday,Logic,conscious hip hop,150,-4,205,2018
Body,Loud Luxury,dance pop,122,-4,163,2018
Bad Vibe,M.O,afroswing,110,-4,214,2018
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",Machine Gun Kelly,ohio hip hop,82,-5,203,2018
Corazón (feat. Nego do Borel),Maluma,latin,198,-6,185,2018
Wait,Maroon 5,pop,126,-5,191,2018
Happier,Marshmello,brostep,100,-3,214,2018
Silence,Marshmello,brostep,142,-3,181,2018
FRIENDS,Marshmello,brostep,95,-2,203,2018
Spotlight,Marshmello,brostep,150,-4,178,2018
Walk It Talk It,Migos,atl hip hop,146,-5,276,2018
MotorSport,Migos,atl hip hop,138,-5,303,2018
Stir Fry,Migos,atl hip hop,182,-5,190,2018
17,MK,dance pop,122,-7,196,2018
Let You Down,NF,hip hop,148,-6,212,2018
Te Boté - Remix,Nio Garcia,latin,97,-3,418,2018
Ric Flair Drip (with Metro Boomin),Offset,atl hip hop,100,-8,173,2018
Vaina Loca,Ozuna,latin,94,-4,176,2018
Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,colombian pop,170,-4,220,2018
rockstar (feat. 21 Savage),Post Malone,dfw rap,160,-6,218,2018
Better Now,Post Malone,dfw rap,145,-6,231,2018
Psycho (feat. Ty Dolla $ign),Post Malone,dfw rap,140,-8,221,2018
Powerglide (feat. Juicy J) - From SR3MM,Rae Sremmurd,hip hop,174,-5,332,2018
Plug Walk,Rich The Kid,atl hip hop,95,-7,175,2018
Mo Bamba,Sheck Wes,rap,146,-5,184,2018
Strangers,Sigrid,dance pop,115,-6,234,2018
Delicate,Taylor Swift,pop,95,-10,232,2018
It's Not Living (If It's Not With You),The 1975,modern alternative rock,121,-5,248,2018
This Feeling,The Chainsmokers,dance pop,105,-8,198,2018
Sick Boy,The Chainsmokers,dance pop,90,-8,193,2018
Call Out My Name,The Weeknd,canadian contemporary r&b,134,-5,228,2018
Pray For Me (with Kendrick Lamar),The Weeknd,canadian contemporary r&b,101,-5,211,2018
Jackie Chan,Tiësto,big room,128,-3,216,2018
SICKO MODE,Travis Scott,hip hop,155,-4,313,2018
Taste (feat. Offset),Tyga,dance pop,98,-7,233,2018
Saturday Sun,Vance Joy,folk-pop,100,-4,215,2018
SAD!,XXXTENTACION,emo rap,75,-5,167,2018
Moonlight,XXXTENTACION,emo rap,128,-6,135,2018
changes,XXXTENTACION,emo rap,65,-10,122,2018
If You're Over Me,Years & Years,dance pop,104,-5,189,2018
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,cali rap,204,-8,237,2018
The Middle,Zedd,complextro,107,-3,185,2018
