title,artist,top genre,bpm,dB,dur,top year
Rolling in the Deep,Adele,british soul,105,-5,228,2011
Set Fire to the Rain,Adele,british soul,108,-4,243,2011
Mr. Saxobeat,Alexandra Stan,dance pop,127,-4,195,2011
What the Hell,Avril Lavigne,canadian pop,150,-4,221,2011
Lighters,Bad Meets Evil,detroit hip hop,90,-8,304,2011
Love On Top,Beyoncé,dance pop,94,-5,267,2011
Best Thing I Never Had,Beyoncé,dance pop,99,-4,254,2011
Skinny Love,Birdy,pop,166,-8,201,2011
Just Can’t Get Enough,Black Eyed Peas,dance pop,94,-9,219,2011
Honey Bee,Blake Shelton,contemporary country,206,-5,211,2011
Holocene,Bon Iver,eau claire indie,148,-15,337,2011
I Wanna Go,Britney Spears,dance pop,130,-7,210,2011
Till the World Ends,Britney Spears,dance pop,132,-6,238,2011
Grenade,Bruno Mars,dance pop,110,-7,222,2011
Marry You,Bruno Mars,dance pop,145,-5,230,2011
The Lazy Song,Bruno Mars,dance pop,175,-5,189,2011
Bounce (feat. Kelis) - Radio Edit,Calvin Harris,dance pop,128,-2,222,2011
Blind Faith,Chase & Status,dancefloor dnb,140,-5,234,2011
Champion (feat. Chris Brown),Chip,grime,190,-3,237,2011
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown,dance pop,146,-6,223,2011
Yeah 3x,Chris Brown,dance pop,130,-3,242,2011
Beautiful People,Chris Brown,dance pop,128,-6,226,2011
Jar of Hearts,Christina Perri,dance pop,75,-6,247,2011
You Make Me Feel... (feat. Sabi),Cobra Starship,dance pop,132,-3,216,2011
Paradise,Coldplay,permanent wave,140,-7,279,2011
Every Teardrop Is a Waterfall,Coldplay,permanent wave,118,-7,241,2011
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,big room,130,-3,210,2011
Who's That Chick? (feat. Rihanna),David Guetta,big room,128,-5,201,2011
Coming Home,Diddy - Dirty Money,hip pop,168,-2,239,2011
Louder,DJ Fresh,dancefloor dnb,140,-1,207,2011
I'm On One,DJ Khaled,dance pop,149,-3,296,2011
I Need A Doctor,Dr. Dre,g funk,156,-5,284,2011
Headlines,Drake,canadian hip hop,152,-7,236,2011
The A Team,Ed Sheeran,pop,85,-10,258,2011
Lego House,Ed Sheeran,pop,160,-8,185,2011
Stereo Love - Radio Edit,Edward Maya,romanian house,127,-4,185,2011
Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,126,-5,232,2011
Springsteen,Eric Church,contemporary country,104,-6,263,2011
Changed the Way You Kiss Me - Radio Edit,Example,dance pop,127,-4,195,2011
Rocketeer,Far East Movement,asian american hip hop,96,-6,211,2011
