,Tipo de cambio - TC Interbancario (S/ por US$) - Compra,Tipo de cambio - TC Interbancario (S/ por US$) - Venta
1/3/2022,3.983666667,3.988833333
1/4/2022,3.9595,3.964
1/5/2022,3.952,3.956333333
1/6/2022,3.967166667,3.969666667
1/7/2022,3.945166667,3.948166667
1/8/2022,3.927666667,3.930166667
1/9/2022,3.916333333,3.919333333
1/10/2022,3.892333333,3.896
1/11/2022,3.894833333,3.897833333
1/12/2022,3.870333333,3.875833333
1/13/2022,3.847666667,3.857333333
1/14/2022,3.852833333,3.855833333
1/15/2022,3.8625,3.865333333
1/16/2022,3.844666667,3.847666667
1/17/2022,3.8215,3.827666667
1/18/2022,3.839,3.841833333
1/19/2022,3.8475,3.849666667
1/20/2022,3.840333333,3.843333333
1/21/2022,3.836166667,3.839
1/22/2022,3.844,3.8475
1/23/2022,3.840333333,3.843166667
1/24/2022,3.871333333,3.877666667
1/25/2022,3.852,3.857
1/26/2022,3.8585,3.860833333
1/27/2022,3.863,3.867833333
1/28/2022,3.8385,3.845833333
1/29/2022,3.837833333,3.842166667
1/30/2022,3.817166667,3.824666667
1/31/2022,3.748333333,3.761666667
2/1/2022,3.749833333,3.7585
2/2/2022,3.784166667,3.7905
2/3/2022,3.797666667,3.8005
2/4/2022,3.7615,3.768166667
2/5/2022,3.733833333,3.739333333
2/6/2022,3.714666667,3.7215
2/7/2022,3.743833333,3.751333333
2/8/2022,3.731666667,3.740166667
2/9/2022,3.7105,3.7205
2/10/2022,3.790666667,3.795666667
2/11/2022,3.7485,3.7535
2/12/2022,3.7565,3.761666667
2/13/2022,3.791166667,3.794666667
2/14/2022,3.757333333,3.766333333
2/15/2022,3.724833333,3.731666667
2/16/2022,3.751166667,3.759666667
2/17/2022,3.738166667,3.7455
2/18/2022,3.728166667,3.734666667
2/19/2022,3.712166667,3.7175
2/20/2022,3.716,3.720833333
2/21/2022,3.688833333,3.694
2/22/2022,3.709333333,3.715333333
2/23/2022,3.734666667,3.739
2/24/2022,3.7215,3.725333333
2/25/2022,3.732166667,3.735666667
2/26/2022,3.770833333,3.7745
2/27/2022,3.7845,3.789
2/28/2022,3.772166667,3.775833333
3/1/2022,3.768666667,3.771333333
3/2/2022,3.743,3.7485
3/3/2022,3.724666667,3.7305
3/4/2022,3.728,3.7325
3/5/2022,3.716666667,3.720666667
3/6/2022,3.721333333,3.7235
3/7/2022,3.688333333,3.693
3/8/2022,3.6435,3.651333333
3/9/2022,3.625833333,3.6305
3/10/2022,3.689833333,3.698333333
3/11/2022,3.714666667,3.719333333
3/12/2022,3.71,3.712666667
3/13/2022,3.709666667,3.715166667
3/14/2022,3.710833333,3.7145
3/15/2022,3.705166667,3.7095
3/16/2022,3.734,3.738833333
3/19/2022,3.732833333,3.736
3/20/2022,3.723,3.728833333
3/21/2022,3.703666667,3.707666667
3/22/2022,3.726333333,3.729833333
3/23/2022,3.761666667,3.765333333
3/24/2022,3.8075,3.8115
3/25/2022,3.813833333,3.818166667
3/26/2022,3.8285,3.831666667
3/27/2022,3.8485,3.851666667
3/28/2022,3.829833333,3.8345
3/29/2022,3.840166667,3.8435
3/30/2022,3.818,3.821166667
3/31/2022,3.7915,3.797833333
4/1/2022,3.7785,3.785
4/2/2022,3.807333333,3.8125
4/3/2022,3.824,3.828833333
4/4/2022,3.802166667,3.807333333
4/5/2022,3.778833333,3.784166667
4/6/2022,3.791,3.7965
4/7/2022,3.774,3.781833333
4/8/2022,3.776333333,3.782333333
4/9/2022,3.754166667,3.7595
4/10/2022,3.768166667,3.771
4/11/2022,3.7445,3.749
4/12/2022,3.724666667,3.728833333
4/13/2022,3.712666667,3.717166667
4/14/2022,3.707,3.711
4/15/2022,3.687166667,3.691
4/16/2022,3.652666667,3.660166667
4/17/2022,3.667166667,3.6735
4/18/2022,3.671,3.681666667
