Edad,Sexo,Preferencia,Frecuencia CD2,Frecuencia CD1,Frecuencia CP,Pago,Tiempo,Prioridad,Indispensabilidad
22,Masculino,Ambos,11,11,3,1-5 soles,55.0,Calidad,Sí
21,Masculino,Ambos,1,1,1,5-10 soles,35.0,Calidad,Sí
27,Masculino,Delivery,10,0,4,Más de 10 soles,69.0,Calidad,Sí
18,Masculino,Ambos,4,4,2,5-10 soles,30.0,Calidad,Sí
17,Femenino,Restaurante,24,0,4,1-5 soles,15.0,Calidad,Sí
21,Masculino,Delivery,7,0,3,Más de 10 soles,20.0,Precio Bajo,Sí
45,Femenino,Restaurante,2,4,1,1-5 soles,20.0,Calidad,Sí
18,Femenino,Restaurante,4,4,4,5-10 soles,40.0,Calidad,Sí
27,Femenino,Delivery,4,4,10,No estaría dispuesto a pagar por el delivery,30.0,Precio Bajo,Sí
44,Masculino,Delivery,4,4,0,1-5 soles,30.0,Calidad,Sí
18,Masculino,Delivery,13,0,12,5-10 soles,35.0,Calidad,Sí
17,Femenino,Ambos,9,30,4,1-5 soles,45.0,Tiempo,Sí
17,Masculino,Delivery,2,0,17,1-5 soles,20.0,Calidad,Sí
55,Femenino,Restaurante,7,4,1,5-10 soles,30.0,Calidad,No
16,Femenino,Ambos,4,1,4,1-5 soles,45.0,Calidad,Sí
18,Femenino,Ambos,9,18,7,1-5 soles,30.0,Tiempo,Sí
18,Masculino,Restaurante,1,10,2,5-10 soles,45.0,Calidad,Sí
18,Masculino,Delivery,2,4,4,1-5 soles,45.0,Calidad,Sí
17,Masculino,Restaurante,12,13,4,5-10 soles,25.0,Calidad,Sí
18,Masculino,Delivery,4,0,1,5-10 soles,30.0,Calidad,Sí
19,Femenino,Delivery,3,3,7,1-5 soles,20.0,Calidad,Sí
17,Femenino,Ambos,1,0,4,1-5 soles,40.0,Calidad,Sí
19,Femenino,Ambos,10,4,4,1-5 soles,35.0,Calidad,Sí
25,Femenino,Restaurante,4,2,4,1-5 soles,20.0,Calidad,Sí
19,Masculino,Restaurante,4,1,8,1-5 soles,30.0,Calidad,Sí
18,Femenino,Ambos,2,4,13,5-10 soles,60.0,Tiempo,Sí
17,Masculino,Ambos,3,4,4,1-5 soles,20.0,Calidad,Sí
18,Masculino,Restaurante,4,3,4,5-10 soles,50.0,Tiempo,Sí
17,Femenino,Ambos,4,7,25,5-10 soles,15.0,Calidad,Sí
31,Femenino,Restaurante,4,4,4,1-5 soles,30.0,Calidad,Sí
25,Masculino,Delivery,9,4,9,5-10 soles,30.0,Precio Bajo,Sí
18,Masculino,Restaurante,3,2,1,1-5 soles,30.0,Calidad,Sí
15,Femenino,Restaurante,4,3,4,5-10 soles,50.0,Calidad,Sí
19,Masculino,Restaurante,8,7,4,1-5 soles,40.0,Precio Bajo,Sí
15,Femenino,Delivery,4,10,4,5-10 soles,30.0,Calidad,Sí
37,Femenino,Restaurante,3,4,1,5-10 soles,15.0,Tiempo,Sí
18,Femenino,Delivery,4,2,2,5-10 soles,60.0,Calidad,Sí
18,Femenino,Restaurante,3,11,3,5-10 soles,30.0,Precio Bajo,Sí
20,Femenino,Delivery,8,4,4,1-5 soles,40.0,Calidad,Sí
18,Masculino,Ambos,4,9,4,1-5 soles,60.0,Calidad,Sí
