Marca temporal,Edad,Sexo,Peso,Estatura,Carrera,Procedencia,Residencia,Beca,Independiente,Motivo,Ciclo,Edad_ingreso,Org_est,Voluntariado,Promedio,Promedio_acumulado,Cursos_jalados,Autoeval,Causas,Horas_est,Horas_sue,Alim_menor,Alim_nut,Extra,Amigos,Expres_pub,Horas_fam,Prob_acad,Prob_emo,Prob_eco,Ingreso,Gastos,din_gasto,din_ahorro,,,,,,
9/23/2022 22:07:08,19,Femenino,62,169,Ingeniería Industrial,Piura,Barranco,Beca 18,Sí,Soy de Provincia,III,19,No,No,15,14.54,0,4,Excesiva carga académica;Procrastinación;Pocas horas de sueño;Sentimientos de soledad;Estrés;El cambio a modo presencialidad,5,3,Desayuno,3,1,3,No,1,2,2,3,1200,"Alimentación;Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi);Materiales de estudio;Alquiler",1000,50,,,,,,
9/22/2022 8:44:17,21,Masculino,56,157,Ingeniería de la Energía,Junín,Barranco,Beca 18,Sí,Quería experimentar la independencia familiar;Soy de Provincia;Para continuar mis estudios superiores.,V,18,No,No,14,15.67,1,2,Procrastinación;Pocas horas de sueño;Sentir que no encaja en la Universidad ni donde reside actualmente;El cambio a modo presencialidad,4,7,Desayuno,2,4,1,No,1,1,1,1,900,"Alimentación;Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi);Alquiler",900,0,,,,,,
9/23/2022 11:59:22,18,Masculino,54,157,Ingeniería de la Energía,Junín,Barranco,Beca 18,Sí,Quería experimentar la independencia familiar;Soy de Provincia;Para continuar mis estudios superiores.,V,18,No,No,14,15.67,1,3,Procrastinación;Pocas horas de sueño;Sentir que no encaja en la Universidad ni donde reside actualmente;El cambio a modo presencialidad,5,7,Desayuno,2,4,1,No,1,1,1,1,900,"Alimentación;Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi);Alquiler",900,0,,,,,,
9/27/2022 16:58:07,18,Masculino,75,167,Bioingeniería,Lima Metropolitana o Provincia Constitucional del Callao,Chorrillos,Beca 18,Sí,Quería experimentar la independencia familiar;Pierdo mucho tiempo en el transporte desde mi casa a la universidad;Para continuar mis estudios superiores.,III,17,No,No,17.2,16.8,1,3,Excesiva carga académica;Actividades extracurriculares demandantes;Quehaceres del hogar demandantes;Procrastinación;Pocas horas de sueño;Ansiedad;Estrés;Sentir que no encaja en la Universidad ni donde reside actualmente;El cambio a modo presencialidad,7,4,Cena,3,6,2,Sí,1,3,2,1,800,Alimentación;Transporte;Materiales de estudio,800,0,,,,,,
9/22/2022 20:52:44,19,Masculino,54,167,Bioingeniería,Lima Metropolitana o Provincia Constitucional del Callao,Chorrillos,Beca 18,Sí,Quería experimentar la independencia familiar;Pierdo mucho tiempo en el transporte desde mi casa a la universidad;Para continuar mis estudios superiores.,III,17,No,No,17.2,16.8,1,3,Excesiva carga académica;Actividades extracurriculares demandantes;Quehaceres del hogar demandantes;Procrastinación;Pocas horas de sueño;Ansiedad;Estrés;Sentir que no encaja en la Universidad ni donde reside actualmente;El cambio a modo presencialidad,7,4,Cena,3,6,2,Sí,1,3,2,1,800,Alimentación;Transporte;Materiales de estudio,800,0,,,,,,
11/14/2022 18:00:52,19,Masculino,61,162,Ingeniería de la Energía,Lima Metropolitana o Provincia Constitucional del Callao,Barranco,No cuento con ningún tipo de Beca,Sí,Quería experimentar la independencia familiar,IV,17,No,Sí,16.1,16.55,0,5,"Excesiva carga académica, Pocas horas de sueño, Ansiedad, Estrés",7,5,Desayuno,5,10,5,Sí,4,1,1,1,1500,"Alimentación, Entretenimiento, Prendas de vestir, Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi), Alquiler",1100,400,,,,,,
9/23/2022 1:33:46,18,Femenino,60,150,Ingeniería Civil,Apurímac,Barranco,Beca 18,Sí,Soy de Provincia,IV,17,No,No,14,13,2,3,Procrastinación;Sentimientos de soledad;Ansiedad;Sentir que no encaja en la Universidad ni donde reside actualmente;El cambio a modo presencialidad;Problemas de salud,7,6,Cena,3,2,4,No,1,1,1,1,1000,"Alimentación;Prendas de vestir;Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi);Materiales de estudio;Gastos médicos",900,100,,,,,,
9/22/2022 6:58:38,20,Femenino,64,150,Ingeniería Civil,Apurímac,Barranco,Beca 18,Sí,Soy de Provincia,IV,17,No,No,14,13,2,3,Procrastinación;Sentimientos de soledad;Ansiedad;Sentir que no encaja en la Universidad ni donde reside actualmente;El cambio a modo presencialidad;Problemas de salud,7,6,Cena,3,2,4,No,1,1,1,1,1000,"Alimentación;Prendas de vestir;Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi);Materiales de estudio;Gastos médicos",900,100,,,,,,
11/14/2022 17:56:37,20,Femenino,52,155,Ingeniería Civil,Lima Metropolitana o Provincia Constitucional del Callao,Chorrillos,Beca 18,Sí,"Quería experimentar la independencia familiar, Pierdo mucho tiempo en el transporte desde mi casa a la universidad",IV,17,No,No,15.5,16.1,0,5,"Excesiva carga académica, Pocas horas de sueño, Estrés",7,6,Desayuno,5,6,2,No,7,1,1,3,920,"Alimentación, Transporte, Entretenimiento, Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi), Alquiler",920,0,,,,,,
9/22/2022 3:05:42,20,Femenino,68,151,Ingeniería Industrial,Tacna,Barranco,Beca BCP,Sí,Soy de Provincia;Para continuar mis estudios superiores.,VI,18,Sí,No,15.75,14.26,2,4,Quehaceres del hogar demandantes;Procrastinación;Pocas horas de sueño;Ansiedad,6,5,Desayuno,4,5,5,Sí,5,3,2,3,1500,Alimentación;Alquiler,300,500,,,,,,
9/23/2022 0:22:23,19,Femenino,57,151,Ingeniería Industrial,Tacna,Barranco,Beca BCP,Sí,Soy de Provincia;Para continuar mis estudios superiores.,VI,18,No,No,15.75,14.26,2,2,Quehaceres del hogar demandantes;Procrastinación;Pocas horas de sueño;Ansiedad,6,5,Desayuno,4,5,5,Sí,5,3,2,3,1500,Alimentación;Alquiler,300,500,,,,,,
9/23/2022 10:13:10,19,Femenino,50,150,Ingeniería Mecatrónica,La Libertad,Barranco,Beca Avanzando Juntos,Sí,Soy de Provincia;Para continuar mis estudios superiores.,X,17,Sí,No,16.4,15.9,0,2,Excesiva carga académica;Quehaceres del hogar demandantes;Procrastinación;Pocas horas de sueño;Sentimientos de soledad;Depresión;Ansiedad;Estrés,6,7,Cena,2,2,1,No,7,1,2,1,1500,Alimentación;Materiales de estudio,600,500,,,,,,
9/22/2022 7:37:40,22,Femenino,50,150,Ingeniería Mecatrónica,La Libertad,Barranco,Beca Avanzando Juntos,Sí,Soy de Provincia;Para continuar mis estudios superiores.,X,17,Sí,No,16.4,15.9,0,3,Excesiva carga académica;Quehaceres del hogar demandantes;Procrastinación;Pocas horas de sueño;Sentimientos de soledad;Depresión;Ansiedad;Estrés,6,7,Cena,2,2,1,No,7,1,2,1,1500,Alimentación;Materiales de estudio,600,450,,,,,,
11/4/2022 19:24:47,19,Masculino,65,170,Bioingeniería,Arequipa,La Victoria,Beca 18,Sí,"Quería experimentar la independencia familiar, Otro Motivo",IV,18,No,No,12.7,14.93,2,2,"Excesiva carga académica, Procrastinación, El cambio a modo presencialidad",6,6,Desayuno,2,0,1,No,2,1,1,3,1600,"Alimentación, Transporte, Entretenimiento, Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi), Alquiler",1100,500,,,,,,
10/8/2022 17:41:39,19,Masculino,68,174,Ingeniería Industrial,Huánuco,Villa María del Triunfo,Beca 18,Sí,"Soy de Provincia, Para continuar mis estudios superiores.",III,18,Sí,Sí,15,14.1,0,4,"Ansiedad, Estrés",6,4,Cena,4,5,3,Sí,2,2,2,2,1500,"Alimentación, Transporte, Alquiler",1100,400,,,,,,
9/25/2022 9:57:09,19,Masculino,70,172,Ciencia de Datos,Pasco,Barranco,No cuento con ningún tipo de Beca,Sí,Soy de Provincia;Para continuar mis estudios superiores.,IV,17,Sí,No,13.58,14.25,2,2,Sentimientos de soledad;Depresión;Ansiedad;Estrés;El cambio a modo presencialidad,6,5,Cena,4,5,4,Sí,7,2,2,2,0,"Alimentación;Transporte;Servicios Básicos (Luz, Agua, Gas y/o Wi-Fi);Materiales de estudio;Alquiler",1200,300,,,,,,
