País / Código,Número,Posición,Debut,Estatura,Peso,Nacimiento,Origen,Lugar de compra,Clase,Especial,Extra sticker
QAT,13,Mediocampista,2017,1.63,71,1996,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
ESP,5,Defensa,2020,1.82,79,2001,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
BEL ,15,Mediocampista,2008,1.86,81,1989,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
FWC,9,,,,,,Paquete ,Grifo 1,Estadio,FALSE ,FALSE 
JPN,15,Delantero,2019,1.70,63,1995,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
JPN,7,Defensa,2021,1.78,72,1993,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
ESP,19,Delantero,2019,1.74,70,1992,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
AUS,5,Defensa,2016,1.87,82,1994,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
ARG,16,Delantero,2017,1.65,68,1988,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
JPN,13,Mediocampista,2019,1.80,69,1998,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
GHA,1,,,,,,Paquete ,Grifo 1,Escudo,TRUE ,FALSE 
POR,18,Delantero,2019,1.78,73,1996,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
CMR,5,Defensa,2015,1.65,70,1992,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
SUI,14,Mediocampista,2016,1.90,80,1996,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
GER,5,Defensa,2020,1.83,76,1994,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
SRB,11,Mediocampista,2018,1.83,77,1996,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
URU,2,Arquero,2009,1.90,74,1986,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
BRA ,13,Mediocampista,2018,1.80,72,1997,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
MEX ,5,Defensa,2016,1.78,73,1994,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
MAR,13,Mediocampista,2021,1.78,65,1999,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
ESP,14,Mediocampista,2009,1.89,76,1988,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
KSA,5,Defensa,2018,1.85,80,1989,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
WAL,9,Defensa,2019,1.92,87,1997,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
CMR,4,Defensa,2017,1.86,78,1995,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
MEX ,13,Mediocampista,2016,1.78,70,1995,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
FRA,8,Defensa,2017,1.86,76,1996,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
IRN,17,Delantero,2014,1.86,79,1995,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
MAR,10,Mediocampista,2017,1.83,70,1996,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
MEX ,19,Delantero,2016,1.77,70,1995,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
FWC,25,,,,,,Paquete ,Grifo 1,Equipo,TRUE ,FALSE 
QAT,19,Delantero,2014,1.94,77,1993,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
TUN,12,Mediocampista,2013,1.82,76,1991,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
MEX ,15,Mediocampista,2018,1.68,58,2000,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
BEL,19,Delantero,2011,1.69,61,1987,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
DEN,14,Mediocampista,2011,1.81,74,1989,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
KSA,9,Defensa,2019,1.82,73,1999,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
CAN,12,Mediocampista,2019,1.75,66,1996,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
JPN,19,Delantero,2013,1.82,71,1990,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
SUI,2,Portero,2012,1.83,79,1988,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
NED,19,Delantero,2019,1.79,78,1999,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
ECU,1,,,,,,Paquete ,Grifo 1,Escudo,TRUE ,FALSE 
BEL,6,Defensa,2015,1.84,80,1995,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
POL,9,Defensa,2009,1.73,75,1989,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
BRA ,4,Defensa,2011,1.80,80,1991,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
ESP,12,Mediocampista,2021,1.74,60,2002,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
SEN,13,Mediocampista,2012,1.89,83,1989,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
POL,10,Mediocampista,2019,1.76,70,1998,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
CRO,4,Defensa,2018,1.92,89,1996,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
USA,15,Mediocampista,2020,1.75,68,2000,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
ENG,17,Delantero,2015,1.88,85,1993,Paquete ,Grifo 1,Jugador,FALSE ,FALSE 
GHA,19,Delantero,2020,1.75,70,2002,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
FWC,14,,,,,,Paquete ,Quisco 1,Estadio,FALSE ,FALSE 
SUI,10,Mediocampista,2017,1.81,77,1992,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
ARG,8,Defensa,2021,1.85,79,1998,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
SUI,19,Delantero,2019,1.79,68,1998,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
ENG,12,Mediocampista,2010,1.82,67,1990,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
URU,5,Defensa,2007,1.80,78,1987,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
DEN,18,Delantero,2020,1.87,75,1999,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
URU,17,Delantero,2019,1.87,78,1999,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
IRN,8,Defensa,2015,1.78,79,1993,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
POL,18,Delantero,2018,1.83,77,1995,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
CRC,4,Defensa,2010,1.70,65,1989,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
NED,5,Defensa,2017,1.88,96,1999,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
IRN,3,Portero,2015,1.95,79,1992,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
JPN,1,,,,,,Paquete ,Quisco 1,Escudo,TRUE ,FALSE 
DEN,3,Portero,2016,1.88,77,1992,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
WAL,19,Delantero,2019,1.96,83,1992,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
POR,3,Portero,2010,1.90,84,1988,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
CAN,7,Defensa,2019,1.75,68,1995,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
POR,6,Defensa,2021,1.76,70,2002,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
GHA,12,Mediocampista,2021,1.79,73,1996,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
GER,4,Defensa,2014,1.88,83,1994,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
JPN,9,Mediocampista,2015,1.78,76,1993,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
ENG,5,Defensa,2020,1.86,89,1993,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
TUN,5,Defensa,2018,1.78,74,1996,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
MEX ,17,Delantero,2021,1.90,74,1991,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
DEN,4,Defensa,2015,1.87,82,1996,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
FWC,4,,,,,,Paquete ,Quisco 1,Logo,TRUE ,FALSE 
FWC,1,,,,,,Paquete ,Quisco 1,Logo,FALSE ,FALSE 
POL,14,Mediocampista,2019,1.74,60,1999,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
CAN,12,Mediocampista,2019,1.75,66,1996,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
SRB,10,Mediocampista,2008,1.81,66,1990,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
WAL,7,Defensa,2018,1.91,84,1997,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
NED,19,Delantero,2019,1.79,78,1999,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
POL,13,Mediocampista,2020,1.88,78,1999,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
MEX ,15,Mediocampista,2018,1.68,58,2000,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
SEN,6,Defensa,2021,1.87,79,1996,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
POR,2,Portero,2021,1.87,81,1999,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
DEN,1,,,,,,Paquete ,Quisco 1,Escudo,TRUE ,FALSE 
SUI,6,Defensa,2018,1.84,83,1995,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
CAN,7,Defensa,2019,1.75,68,1995,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
MAR,5,Defensa,2016,1.81,73,1998,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
POR,17,Delantero,2003,1.87,83,1985,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
MAR,8,Defensa,2012,1.88,84,1990,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
CMR,15,Mediocampista,2010,1.84,78,1992,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
,,,,,,,Paquete ,Quisco 1,Leyenda,TRUE ,TRUE 
TUN,13,Mediocampista,2021,1.83,75,1996,Paquete ,Quisco 1,Jugador,FALSE ,FALSE 
