Edad (años cumplidos) ,Género,Carrera,Ciclo,Lugar de residencia,¿Qué método de estudio usas con más frecuencia?,¿De qué manera prefiere realizar sus apuntes para un examen?,¿Que zona es de su preferencia para aplicar su método de estudio?,¿Eres autodidacta?,¿Prefieres estudiar solo o con un grupo de amigos?,Días de anticipación que tomas para rendir un examen ,¿Cuántos días sueles estudiar a la semana? fuera de clases,Tiempo que le dedica a estudiar en horas al día - Ej. 1 o 15 (solo el número de horas),Moda de notas en los exámenes del ciclo regular anterior. Ej. 14 o 14.5 (máximo 1 decimal) ,Promedio general del ciclo regular anterior. Ej. 13 o 13.5 (máximo 1 decimal) 
18,Masculino,Ing. Electrónica,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Físico,Casa,Si,Con amigos,5,5,5,14,15.6
19,Femenino,Ing.Civil,2,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resaltado,Físico,Casa,Si,Con amigos,7,3,2,14,13.4
18,Femenino,Bioingeniería,2,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Resúmenes escritos,Físico,Biblioteca,Si,Solo,6,5,5,16.5,17
18,Femenino,Ing. Industrial,2,"Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)",Resúmenes escritos,Físico,Biblioteca,No,Ambos,10,6,5,16,16
20,Masculino,Ing.Civil,3,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Resúmenes escritos,Ambos,Casa,No,Con amigos,3,4,3,14,13
19,Femenino,Ing. Ambiental,2,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Resaltado,Físico,Casa,Si,Solo,7,3,3,15,15.95
19,Masculino,Ing. de la energía,3,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Resúmenes escritos,Físico,Casa,No,Con amigos,3,2,2,14,14
18,Femenino,Ing. Ambiental,2,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Resúmenes escritos,Físico,Casa,Si,Ambos,3,5,12,15,15.6
18,Masculino,Ing. Química,3,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Resúmenes escritos,Virtual,Casa,No,Ambos,9,6,3,15.5,15.5
19,Masculino,Ing. Industrial,2,Provincia,"Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Virtual,Casa,Si,Solo,4,3,2,15,17
18,Femenino,Ing. Ambiental,3,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Resúmenes escritos,Físico,Casa,Si,Ambos,4,5,2,15,14.75
18,Femenino,Ing. Industrial,3,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Resúmenes gráficos (mapas mentales, diagramas)",Virtual,Casa,Si,Ambos,10,7,7,15,16
20,Femenino,Ing. Ambiental,2,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Flashcards,Ambos,Biblioteca,Si,Solo,2,2,2,15,14
18,Masculino,Ing.Civil,2,Provincia,Resúmenes escritos,Virtual,Casa,Si,Con amigos,10,5,5,14.5,15.6
18,Masculino,Ing. Mecatrónica,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Flashcards,Ambos,Casa,No,Solo,4,5,3,14,13
17,Masculino,Ing.Civil,2,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Resúmenes escritos,Físico,Casa,Si,Solo,10,6,12,16.5,17.2
18,Masculino,Ciencia de la computación,3,Provincia,"Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Ambos,Casa,Si,Ambos,2,2,2,14,13
20,Masculino,Bioingeniería,3,Provincia,Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Ambos,Biblioteca,Si,Ambos,8,6,5,17,16
20,Femenino,Bioingeniería,3,"Balneareos del Sur (Pta. Hermosa, Pucusana, Pta. Negra, San Bartolo, Sta. María)",Resúmenes escritos,Ambos,Biblioteca,Si,Ambos,5,6,3,14,15.1
21,Masculino,Ing. Mecatrónica,9,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Flashcards,Virtual,Biblioteca,Si,Ambos,2,2,4,15,14.5
18,Masculino,Ciencia de la computación,2,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Resúmenes escritos,Ambos,Casa,Si,Con amigos,7,4,3,15,15
18,Masculino,Ing.Civil,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Físico,Casa,Si,Solo,1,2,1,11,15.5
22,Masculino,Ciencia de la computación,2,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Ambos,Casa,Si,Solo,3,3,4,17,14
19,Femenino,Ing.Civil,5,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Resúmenes escritos,Físico,Casa,Si,Ambos,5,5,3,15,15.
18,Masculino,Ing. Mecatrónica,3,Provincia,"Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Físico,Parque,Si,Con amigos,1,1,1,12,11.3
18,Femenino,Ing.Civil,3,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",Resúmenes escritos,Físico,Casa,Si,Ambos,3,2,1,14,14
21,Femenino,Ciencia de la computación,9,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Virtual,Cafetería,Si,Solo,5,2,2,18,18.4
19,Masculino,Ing. de la energía,5,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Físico,Biblioteca,Si,Con amigos,3,6,4,17.1,17.2
18,Femenino,Ciencia de la computación,3,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)",Resúmenes escritos,Físico,Casa,Si,Solo,3,3,12,15,15.23
19,Masculino,Ing. Mecatrónica,5,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Escucha activa : escuchar activamente la clase y repasando únicamente en el salón, estar listo para el examen",Físico,Casa,No,Solo,5,2,4,13,13.52
19,Masculino,Ing. Mecatrónica,4,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Resúmenes escritos,Físico,Casa,Si,Ambos,5,2,5,14,13
18,Masculino,Ing. Mecatrónica,3,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Físico,Casa,Si,Solo,3,7,2,15,16
18,Masculino,Ing. de la energía,4,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Ambos,Biblioteca,Si,Ambos,4,4,4,15,15
20,Masculino,Ing. Mecatrónica,7,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",No tengo un método de estudios,Ambos,Casa,Si,Ambos,3,4,3,7,14.8
18,Masculino,Administración y negocios digitales,3,"Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","Resúmenes gráficos (mapas mentales, diagramas)",Ambos,Casa,No,Ambos,7,4,4,16,14.5
19,Masculino,Ing. Mecatrónica,5,Provincia,Active Recall : Explicar claramente un tema como si lo estuvieras enseñando a otra persona. Se repite el proceso hasta comprenderlo totalmente.,Virtual,Biblioteca,Si,Solo,7,5,4,18,16.7
21,Femenino,Ing. Mecánica,5,"Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)",Resúmenes escritos,Ambos,Casa,No,Ambos,4,4,5,15,14.5
19,Masculino,Ciencia de la computación,3,"Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)",Resúmenes escritos,Ambos,Biblioteca,Si,Ambos,3,2,3,16,16
19,Masculino,Ing. Mecatrónica,5,"Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)",Resúmenes escritos,Físico,Casa,Si,Solo,3,4,4,16,16.55
