AÑO,MES,CONCESION,ENTIDAD PRESTADORA,TIPO DE VEHICULO,CV(k),PESO,EJES,PASAJEROS
C,JUNIO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,494.279,1051.57,2,1
C,DICIEMBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,572.422,1123.85,2,1
A,AGOSTO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,323.114,1145.28,2,1
C,ABRIL,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,230.755,1186.94,2,1
C,MARZO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,479.84,1285.9,2,1
B,FEBRERO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,241.069,1314.4,2,1
A,ABRIL,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,314.634,1351.84,2,1
B,ENERO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,396.366,1413.59,2,1
A,DICIEMBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,260.106,1420.01,2,1
A,JUNIO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,266.321,1425.88,2,1
C,JULIO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,590.66,1488.92,2,1
