Nombre de los paises,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,20,12,2,4,0,1,2,-2,-2,4,0,-1,5,-5,-5,0,6,0,0,1,0,-11,-4,3,-2,4,0,5,2,2,,,
Afganistán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-3,7,2,11,2,19,11,-3,9,2,-1,-2,-1,0,-1,2,-4
Angola,,,,,,,,,,,,,,,,,,,,,,-8,-3,1,2,0,-1,0,2,-3,-7,-2,-9,-26,-2,11,10,4,1,-1,0,1,10,0,7,11,8,10,7,-3,1,0,5,1,1,-2,-6,-3,-5,-4,-7
Albania,,,,,,,,,,,,,,,,,,,,,,4,1,-1,-3,0,4,-3,-3,7,-11,-28,-7,10,9,14,10,-10,10,14,8,9,5,6,6,6,7,7,8,4,4,3,2,1,2,3,3,4,4,3,-3
Andorra,,,,,,,,,,,,-1,3,3,1,-3,0,0,-1,-3,-1,-4,-3,-3,-3,-2,-1,1,1,1,0,-1,-3,-4,0,1,4,9,3,4,2,5,1,4,4,2,2,-1,-7,-6,-2,1,-3,-2,5,3,5,1,2,2,-12
El mundo árabe,,,,,,,,,,,,,,,,,12,5,-4,8,6,0,-12,-9,-1,-5,2,-3,3,-1,9,-1,3,0,1,0,2,2,3,0,4,-1,-2,2,7,3,4,2,3,-2,2,2,4,1,1,1,1,-1,0,0,-6
Emiratos Árabes Unidos,,,,,,,,,,,,,,,,,0,5,-13,8,13,-3,-12,-10,-1,-9,-20,-2,-8,6,12,-5,-2,-4,1,1,1,3,-5,-2,5,-4,-3,2,0,-7,-5,-11,-10,-15,-6,2,2,4,4,5,2,1,0,0,
Argentina,,4,-2,-7,8,9,-2,2,3,8,1,4,0,1,4,-2,-4,5,-6,9,0,-7,-2,3,0,-7,4,1,-3,-9,-4,8,6,7,5,-4,4,7,3,-4,-2,-5,-12,8,8,8,7,8,3,-7,9,5,-2,1,-4,2,-3,2,-4,-3,-11
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11,-41,-7,8,9,8,4,8,4,7,10,14,15,11,15,14,15,8,-14,3,5,7,3,3,3,0,7,5,7,-8
Samoa Americana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-3,3,-1,-3,1,1,-4,-3,2,3,-2,-7,4,-1,
Antigua y Barbuda,,,,,,,,,,,,,,,,,,,5,8,8,4,0,5,10,8,12,7,5,5,2,1,-1,3,4,-6,4,3,3,2,4,-6,0,5,4,5,11,8,-2,-13,-9,-3,2,-2,3,3,4,2,6,2,-17
Australia,,0,-1,4,5,4,0,5,3,5,5,1,2,1,2,0,2,2,0,3,2,2,2,-3,3,4,2,1,4,2,2,-2,-1,3,3,3,3,3,3,4,3,1,3,2,3,2,1,3,2,0,0,1,2,1,1,1,1,1,1,1,-2
Austria,,5,2,3,5,3,5,2,4,6,6,5,6,4,4,0,5,5,0,6,2,0,2,3,0,2,2,1,3,3,4,2,1,0,2,3,2,2,3,3,3,1,1,0,2,2,3,3,1,-4,2,3,0,-1,0,0,1,2,2,1,-7
Azerbaiyán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-24,-24,-21,-13,0,5,9,6,10,9,9,9,8,27,33,24,8,7,4,-3,1,4,2,0,-4,-1,1,2,-5
Burundi,,-15,7,2,4,2,2,11,-3,-4,19,1,-7,6,-2,-1,6,9,-3,-1,-2,9,-4,1,-3,9,0,3,2,-1,1,3,-1,-8,-5,-9,-9,-3,4,-2,-3,0,2,-4,2,-2,2,0,1,0,2,1,1,2,1,-7,-4,-3,-2,-1,-3
Bélgica,,5,5,4,6,3,2,3,4,6,5,4,5,6,4,-2,5,1,3,2,4,0,1,0,2,2,2,2,4,3,3,1,1,-1,3,2,1,4,2,3,3,1,1,1,3,2,2,3,0,-3,2,0,0,0,1,1,1,1,1,1,-7
Benin,,2,-5,3,5,3,2,-1,2,1,0,-4,4,1,1,-7,-2,2,-1,4,4,7,-1,-7,5,4,-1,-4,0,-6,6,1,-1,2,-1,3,1,3,1,2,3,2,2,0,1,-1,1,3,2,-1,-1,0,2,4,3,-1,1,3,4,4,1
Burkina Faso,,3,5,-3,1,2,-1,7,1,0,-2,0,1,-1,6,1,6,-2,2,1,-1,2,7,-2,-4,6,5,-3,3,-1,-3,6,-2,1,-1,3,8,3,4,4,-1,4,1,5,1,5,3,1,3,0,5,3,3,3,1,1,3,3,4,3,-1
