Marca temporal,Género,Edad,Carrera,Ciclo,Cantidad de curso,Promedio ponderado,Horas de sueño,Horas de estudio,Juegas videojuegos,Horas de videojuegos,Semana de examen,Plataforma,Area de juego,Modo de Jugar,Juego en Linea,Razon de Jugar,Importancia,Video Juego Rendimiento,Dependencia,Curso Desaprobado,Curso Repetido,Curso Desempenado
29/4/2022 17:16:34,Mujer,19,Bioingeniería,IV,7,17.86,8,5,siempre,8,0,Pc,Otros,Amigos,siempre,Ocio,con frecuencia,algunas veces,nunca,No,No eh jalado ningún curso,Cursos de carrera
29/4/2022 17:24:39,Hombre,19,Ingeniería Mecatrónica,IV,8,14.3,4,4,con frecuencia,14,0,Pc,Otros,Solo(a),con frecuencia,Ansiedad,algunas veces,con frecuencia,algunas veces,Sí,Ciencias generales,Proyectos interdisciplinarios
29/4/2022 17:24:58,Hombre,21,Ingeniería Mecánica,VII,7,13.43,5,5,algunas veces,1,0,Movil,Estrategia,Solo(a),rara vez,Ansiedad,rara vez,algunas veces,algunas veces,Sí,Cursos de carrera,Proyectos interdisciplinarios
29/4/2022 17:35:10,Hombre,18,Administración de Negocios Digitales,III,5,14,7,5,algunas veces,4,0,"Consola (PSP , Xbox ,etc)",Arcade,Amigos,con frecuencia,Ocio,nunca,nunca,nunca,Sí,Cursos de carrera,Cursos de carrera
29/4/2022 17:38:53,Hombre,19,Ingeniería Mecánica,VII,4,17.75,7,3,con frecuencia,4,0,Pc,Estrategia,Amigos,con frecuencia,Ocio,rara vez,rara vez,nunca,Sí,Ciencias generales,Proyectos interdisciplinarios
29/4/2022 17:40:30,Hombre,22,Ciencias de la Computación,IX,2,14,8,2,siempre,25,0,Pc,Estrategia,Amigos,con frecuencia,Ocio,siempre,algunas veces,algunas veces,Sí,Cursos de carrera,Cursos de gestión
29/4/2022 17:44:29,Hombre,22,Ingeniería Mecatrónica,VI,5,14.3,4,3,con frecuencia,20,0,Movil,Disparos,Amigos,algunas veces,Amigos,algunas veces,rara vez,rara vez,Sí,Ciencias generales,Cursos de carrera
29/4/2022 17:45:56,Mujer,29,Administración de Negocios Digitales,III,6,14.22,5,1,nunca,0,0,Movil,Otros,Solo(a),nunca,Otro,nunca,nunca,nunca,No,No eh jalado ningún curso,Cursos de gestión
29/4/2022 17:47:42,Hombre,20,Ingeniería Mecatrónica,VII,6,16,5,3,con frecuencia,10,0,Pc,Disparos,Amigos,siempre,Competición,con frecuencia,algunas veces,rara vez,Sí,Ciencias generales,Cursos de carrera
29/4/2022 17:50:19,Hombre,18,Ingeniería Industrial,III,5,14.04,8,6,con frecuencia,5,0,"Consola (PSP , Xbox ,etc)",Estrategia,Amigos,con frecuencia,Relajación,siempre,con frecuencia,nunca,Sí,Ciencias generales,Cursos de carrera
29/4/2022 18:09:42,Hombre,18,Ingeniería Civil,III,4,14,3,3,algunas veces,2,2,Pc,Disparos,Solo(a),rara vez,Amigos,rara vez,rara vez,nunca,Sí,Cursos de carrera,Proyectos interdisciplinarios
29/4/2022 18:18:01,Hombre,18,Ingeniería Civil,V,7,18,6,4,algunas veces,1,0,Pc,Disparos,Amigos,con frecuencia,Relajación,algunas veces,algunas veces,nunca,No,No eh jalado ningún curso,Ciencias generales
29/4/2022 18:26:58,Hombre,19,Ingeniería Mecatrónica,V,7,18.85,7,8,algunas veces,1,0,Pc,Estrategia,Amigos,siempre,Ocio,algunas veces,nunca,algunas veces,No,No eh jalado ningún curso,Cursos de carrera
29/4/2022 18:36:59,Hombre,21,Ingeniería Electrónica,IV,7,17.18,8,3,con frecuencia,10,0,Pc,Otros,Solo(a),con frecuencia,Relajación,algunas veces,nunca,nunca,No,No eh jalado ningún curso,Ciencias generales
29/4/2022 18:42:04,Mujer,21,Ingeniería Ambiental,III,6,16.03,8,8,rara vez,0,0,Pc,Otros,Amigos,rara vez,Relajación,nunca,rara vez,rara vez,No,No eh jalado ningún curso,Cursos de carrera
29/4/2022 18:42:27,Hombre,19,Ingeniería Civil,IV,8,16.53,7,2,con frecuencia,21,0,Pc,Estrategia,Solo(a),siempre,Ansiedad,con frecuencia,rara vez,siempre,No,No eh jalado ningún curso,Ciencias generales
29/4/2022 18:42:37,Hombre,18,Ingeniería Ambiental,III,6,17.4,8,2,con frecuencia,10,0,Pc,Deportivos,Solo(a),algunas veces,Ocio,siempre,nunca,siempre,No,No eh jalado ningún curso,Ciencias generales
29/4/2022 18:43:21,Mujer,17,Ingeniería Civil,III,6,13.56,4,12,rara vez,0,0,Movil,Estrategia,Solo(a),algunas veces,Relajación,nunca,rara vez,nunca,Sí,Ciencias generales,Cursos de carrera
29/4/2022 18:44:07,Mujer,18,Ingeniería Mecatrónica,III,4,16,9,3,algunas veces,3,0,Movil,Estrategia,Amigos,algunas veces,Relajación,rara vez,algunas veces,rara vez,No,No eh jalado ningún curso,Ciencias generales
29/4/2022 18:46:17,Hombre,17,Ciencias de la Computación,III,5,13.4,7,4,con frecuencia,15,0,"Consola (PSP , Xbox ,etc)",Disparos,Amigos,siempre,Ocio,algunas veces,algunas veces,rara vez,Sí,Ciencias generales,Proyectos interdisciplinarios
