"";"DOMINIO";"T_vivienda";"Número_de_Vivienda";"mat_paredes_ext";"agua_p";"asist_tec";"t_alumbrado";"serv_elect";"procedencia_agua";"emp_pago_agua";"viv_ocup";"num_hab";"acceso_agua";"num_hab_dormir";"precio_alquiler";"precio_gasto_mes_agua";"precio_gasto_mes_elect"
"1";"Lima Metropolitana";"Casa independiente";"016";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";3;"Si";2;200;242;242
"2";"Lima Metropolitana";"Casa independiente";"043";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";5;"Si";1;200;363;725
"3";"Lima Metropolitana";"Casa independiente";"070";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";7;"Si";3;160;472;544
"4";"Lima Metropolitana";"Casa independiente";"084";"Madera";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";3;160;423;580
"5";"Lima Metropolitana";"Casa independiente";"110";"Madera";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";3;"Si";2;120;605;846
"6";"Lima Metropolitana";"Casa independiente";"010";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";3;800;387;653
"7";"Lima Metropolitana";"Casa independiente";"041";"Ladrillo o bloque de cemento";"Si";"No sabe";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";3;200;967;1451
"8";"Lima Metropolitana";"Casa independiente";"087";"Madera";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";2;"Si";1;120;193;1330
"9";"Lima Metropolitana";"Casa independiente";"102";"Ladrillo o bloque de cemento";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";2;240;339;605
"10";"Lima Metropolitana";"Casa independiente";"131";"Madera";"Si";"No";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";4;"Si";3;120;206;846
"11";"Lima Metropolitana";"Casa independiente";"024";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";6;"Si";3;1500;725;1209
"12";"Lima Metropolitana";"Casa independiente";"036";"Ladrillo o bloque de cemento";"Si";"Si";"Electricidad";"Medidor de uso exclusivo";"Red pública, dentro de la vivienda";"Empresa prestadora de servicios";"Propia, totalmente pagada";6;"Si";3;900;967;1088
