"","Edad","Sexo","TotalCurso","PCiencias","CDCiencias","Atencion","Claridad","Reparacion"
"1",20,"Masculino",6,12,"Introduccion a la Mecanica","Adecuada","Baja","Adecuada"
"2",18,"Femenino",7,15,"Programación I","Demasiada","Adecuada","Adecuada"
"3",18,"Femenino",6,15,"Introduccion a la Mecanica","Adecuada","Adecuada","Adecuada"
"4",18,"Masculino",8,16,"Cálculo de una Variable","Adecuada","Adecuada","Adecuada"
"5",20,"Masculino",6,14.23,"Introduccion a la Mecanica","Baja","Adecuada","Adecuada"
"6",18,"Masculino",6,13.6,"Programacion II","Adecuada","Baja","Adecuada"
"7",18,"Masculino",6,11,"Programación I","Adecuada","Adecuada","Adecuada"
"8",19,"Masculino",6,15,"Cálculo de una Variable","Baja","Adecuada","Adecuada"
"9",18,"Masculino",6,15.35,"Óptica y Ondas","Baja","Baja","Baja"
"10",18,"Femenino",6,15.5,"Cálculo de una Variable","Adecuada","Adecuada","Adecuada"
"11",19,"Femenino",7,15,"Programación I","Baja","Baja","Baja"
"12",18,"Femenino",6,13,"Química General","Baja","Baja","Adecuada"
"13",18,"Femenino",6,18.7,"Cálculo de una Variable","Baja","Baja","Baja"
"14",18,"Femenino",7,16,"Programación I","Baja","Adecuada","Adecuada"
"15",22,"Masculino",5,14.5,"Ecuaciones Diferenciales","Adecuada","Baja","Baja"
"16",19,"Femenino",7,16,"Ciencia de los Materiales","Adecuada","Adecuada","Adecuada"
"17",22,"Femenino",7,14,"Programacion II","Adecuada","Adecuada","Adecuada"
"18",19,"Masculino",7,18,"Fundamentos de Electricidad y Magnetismo","Adecuada","Adecuada","Adecuada"
"19",17,"Masculino",7,9,"Cálculo de una Variable","Baja","Baja","Baja"
"20",19,"Masculino",7,12,"Cálculo de una Variable","Adecuada","Adecuada","Adecuada"
"21",18,"Masculino",6,13,"Cálculo de una Variable","Adecuada","Adecuada","Adecuada"
"22",20,"Masculino",6,15,"Programación I","Adecuada","Baja","Adecuada"
"23",18,"Femenino",4,11,"Cálculo de una Variable","Baja","Baja","Baja"
"24",20,"Masculino",7,14,"Programación I","Baja","Baja","Baja"
"25",17,"Masculino",6,14,"Programacion II","Demasiada","Excelente","Excelente"
"26",18,"Femenino",6,17,"Cálculo de una Variable","Adecuada","Adecuada","Adecuada"
"27",19,"Femenino",6,13,"Métodos Numéricos","Adecuada","Adecuada","Baja"
"28",18,"Masculino",6,16,"Cálculo de una Variable","Adecuada","Excelente","Adecuada"
"29",19,"Femenino",6,14,"Cálculo de una Variable","Baja","Baja","Baja"
"30",17,"Masculino",5,16,"Programacion II","Baja","Baja","Baja"
"31",19,"Masculino",6,13.9,"Introduccion a la Mecanica","Baja","Baja","Baja"
"32",18,"Masculino",6,12,"Cálculo de una Variable","Demasiada","Excelente","Excelente"
"33",20,"Femenino",7,14,"Química General","Baja","Baja","Baja"
"34",17,"Masculino",7,17,"Programacion II","Demasiada","Adecuada","Adecuada"
"35",19,"Masculino",6,11.5,"Ciencia de los Materiales","Adecuada","Adecuada","Adecuada"
"36",18,"Masculino",6,15.2,"Cálculo Vectorial","Adecuada","Adecuada","Adecuada"
"37",18,"Masculino",6,15,"Fundamentos de Electricidad y Magnetismo","Adecuada","Baja","Adecuada"
"38",18,"Masculino",5,13,"Cálculo Vectorial","Adecuada","Baja","Adecuada"
"39",17,"Masculino",6,16,"Programación I","Adecuada","Baja","Adecuada"
"40",17,"Femenino",5,15.5,"Álgebra lineal","Baja","Baja","Baja"
"41",18,"Masculino",5,14.32,"Ciencia de los Materiales","Baja","Adecuada","Adecuada"
"42",20,"Masculino",7,16.52,"Programacion II","Adecuada","Excelente","Adecuada"
"43",20,"Masculino",7,12.5,"Laboratorio de Química General","Baja","Baja","Adecuada"
"44",19,"Masculino",4,12,"Ecuaciones Diferenciales","Adecuada","Baja","Adecuada"
"45",17,"Masculino",6,12.5,"Programación I","Baja","Baja","Baja"
"46",18,"Femenino",7,16,"Cálculo de una Variable","Baja","Baja","Baja"
"47",20,"Femenino",7,14,"Programación I","Adecuada","Adecuada","Adecuada"
