Puntuacion,Colegio,Disponibilidad de recursos tecnologicos no materiales ,Disponibilidad de recursos tecnologicos materiales,Ingresos familiares por mes (soles),"Cantidad de horas diarias promedio frente a una pantalla (Laptop, Computadora, Tablet o Celular Inteligente) para fines academicos","Cantidad de horas diarias promedio frente a una pantalla (Laptop, Computadora, Tablet o Celular Inteligente) para fines de entretenimiento",Edad aprende a usar Internet,Grado ,Red social mas usada,Acceso a internet,Frecuencia de spam,Uso de addblock ,Numero de aplicaciones descargadas al mes,Sexo,Edad,Horas en internet (total),Número de recursos materiales,Número de recursos no materiales,Dispositivos con acceso a internet,Nivel de conectividad,Promedio escolar de ultimo trimestre,"Numero total de contenido multimedia visto, usado o descargado por dia. ",Interés en la ciberseguridad (%)
2,I.E. N° 57003 Almirante Miguel Grau,Conexión a internet,"Teléfono Inteligente, Laptop, Tablet, Módem",700,10,2,5,5,WhatsApp,Sí,25,No,10,f,17,12,4,1,2,33,9.8,7,35
4,I.E. N° 57003 Almirante Miguel Grau,Software  de algún videojuegos online,Módem,1200,12,12,5,4,WhatsApp ,Sí,75,No,10,f,16,24,1,1,3,52,11.9,19,50
6,I.E. N° 57003 Almirante Miguel Grau,"Conexión a internet, Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop, Módem",3000,6,5,7,3,"WhatsApp, facebook",Sí,0,Si,2,f,15,11,3,5,8,136,14.9,9,78
6,I.E. N° 57003 Almirante Miguel Grau,"Microsoft Word, Excel, PowerPoint",Laptop,150,8,2,14,3,Facebook ,Sí,50,Si,2,f,15,10,1,3,2,7,14.9,3,78
3,I.E. N° 57003 Almirante Miguel Grau,Antivirus y anti-malware,Teléfono Inteligente,2000,8,7,11,3,WhatsApp,Sí,50,Si,2,m,15,15,1,1,5,91,11.7,9,47
5,I.E. N° 57003 Almirante Miguel Grau,"Conexión a internet, Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop, Computadora personal, Tablet, Router",3000,10,3,9,4,WhatsApp,Sí,0,No,3,f,16,13,5,4,8,143,13.6,4,19
3,I.E. N° 57003 Almirante Miguel Grau,"Conexión a internet, Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono Inteligente, Laptop",3000,8,4,7,4,Facebook,Sí,50,Si,13,f,16,12,2,6,8,136,12.0,5,66
6,I.E. N° 57003 Almirante Miguel Grau,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop, Router",2000,5,2,11,5,Facebook,Sí,25,No,2,m,17,7,3,3,5,91,15.5,4,37
10,I.E. N° 57003 Almirante Miguel Grau,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop, Tablet",700,5,11,10,4,WhatsApp ,Sí,75,No,2,f,16,16,3,3,2,33,16.4,6,53
5,I.E. N° 57003 Almirante Miguel Grau,"Microsoft Word, Excel, PowerPoint",Teléfono básico,3500,5,1,7,3,"WhatsApp, facebook",Sí,0,Si,10,m,15,6,1,3,9,167,12.9,2,63
7,I.E. N° 57003 Almirante Miguel Grau,"Microsoft Word, Excel, PowerPoint",Tablet,1000,5,6,11,3,Facebook ,Sí,50,Si,10,F,15,11,1,3,3,48,14.0,6,64
8,I.E. N° 57003 Almirante Miguel Grau,"Microsoft Word, Excel, PowerPoint",Laptop,2560,3,1,10,3,WhatsApp,Sí,50,Si,2,F,15,4,1,3,6,111,15.3,1,34
9,I.E. N° 57003 Almirante Miguel Grau,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop, Computadora personal",3000,5,3,12,4,WhatsApp,Sí,0,No,2,F,16,8,3,4,8,130,16.7,5,69
6,I.E. N° 57003 Almirante Miguel Grau,"Microsoft Word, Excel, PowerPoint","Teléfono Inteligente, Laptop",2500,10,3,9,4,Facebook,Sí,50,Si,2,M,16,13,2,3,6,109,14.8,4,19
4,I.E. N° 57003 Almirante Miguel Grau,"Microsoft Word, Excel, PowerPoint","Teléfono básico, Laptop",200,8,2,11,4,Facebook,Sí,75,No,1,F,16,10,2,3,1,10,14.0,5,50
5,I.E. N° 57003 Almirante Miguel Grau,Software  de algún videojuegos online,Teléfono Inteligente,1200,6,15,11,4,Facebook,Sí,50,No,7,M,16,21,1,1,3,57,12.9,8,51
5,I.E. N° 57003 Almirante Miguel Grau,"Antivirus y anti-malware, Microsoft Word, Excel, PowerPoint, Software  de algún videojuegos online","Teléfono básico, Teléfono Inteligente, Módem",1500,5,4,6,3,"Facebook, Whatsapp",Sí,75,Si,2,M,15,9,3,5,4,68,14.4,5,18
