Marca temporal,Sexo,Edad,Ventaja,FrecuenciaAP,ProductoAP,DispositivoAP,CantidadAP,GastoAP,CantidadMesAP,GastoMesAP,MetodoPagaAP,MomentoDiaAP,EscalaAP,FrecuenciaAC,ProductoAC,DispositivoAC,CantidadAC,GastoAC,CantidadMesAC,GastoMesAC,MetodoPagaAC,MomentoDiaAC,EscalaAc
16/07/2021 1:53:17,Masculino,18,Comodidad,Poco frecuente,Comida,Computadora / laptop,5,100,10,200,Tarjeta,Tarde,3,Poco frecuente,Comida,PC / Laptop,5,100,10,200,Tarjeta,Tarde,3
16/07/2021 1:54:16,Femenino,18,Rapidez,Poco frecuente,Comida,Smartphone / tablet,3,50,3,50,Aplicación bancaria (Ejemplo: Yape),Noche,5,Poco frecuente,Ropa,Smartphone / Tablet,2,50,2,50,Aplicación bancaria (Ejemplo: Yape),Noche,5
16/07/2021 1:54:40,Masculino,17,Comodidad,Poco frecuente,Otros,Computadora / laptop,3,150,4,250,Tarjeta,Noche,8,Poco frecuente,Otro,PC / Laptop,3,150,3,350,Tarjeta,Noche,8
16/07/2021 1:56:06,Femenino,18,Rapidez,Poco frecuente,Comida,Otros,10,100,20,200,Tarjeta,Tarde,7,Regularmente,Comida,Otros,20,100,60,300,Tarjeta,Tarde,9
16/07/2021 1:58:56,Masculino,17,Comodidad,Regularmente,Comida,Computadora / laptop,5,60,24,400,Tarjeta,Tarde,5,Muy frecuente,Comida,Smartphone / Tablet,2,60,18,400,Tarjeta,Noche,9
16/07/2021 1:59:37,Masculino,17,Rapidez,Poco frecuente,Comida,Smartphone / tablet,4,30,7,250,Aplicación bancaria (Ejemplo: Yape),Noche,9,Muy frecuente,Comida,Smartphone / Tablet,4,50,10,350,Aplicación bancaria (Ejemplo: Yape),Noche,10
16/07/2021 2:05:17,Masculino,19,Rapidez,Poco frecuente,Otros,Smartphone / tablet,2,40,2,100,Efectivo,Tarde,7,Muy frecuente,Comida,Smartphone / Tablet,6,80,2,190,Tarjeta,Noche,10
16/07/2021 2:07:54,Masculino,18,Mejores precios,Poco frecuente,Comida,Computadora / laptop,2,50,6,120,Tarjeta,Tarde,6,Regularmente,Comida,Smartphone / Tablet,5,20,12,240,Tarjeta,Tarde,8
16/07/2021 2:08:04,Femenino,18,Mejores precios,Poco frecuente,Comida,Smartphone / tablet,3,20,6,45,Efectivo,Tarde,7,Regularmente,Comida,Smartphone / Tablet,4,35,7,60,Efectivo,Tarde,9
16/07/2021 2:08:48,Masculino,21,Ofertas,Regularmente,Comida,Smartphone / tablet,3,25,25,375,Tarjeta,Noche,10,Muy frecuente,Comida,Smartphone / Tablet,3,25,25,175,Tarjeta,Noche,10
16/07/2021 2:09:17,Masculino,18,Ofertas,Poco frecuente,Comida,Smartphone / tablet,3,15,8,30,Tarjeta,Tarde,8,Poco frecuente,Comida,PC / Laptop,2,10,2,20,Tarjeta,Tarde,7
16/07/2021 2:12:56,Masculino,27,Comodidad,Poco frecuente,Ropa,Smartphone / tablet,3,200,1,200,Tarjeta,Noche,5,Poco frecuente,Comida,Smartphone / Tablet,100,100,1,100,Tarjeta,Noche,3
16/07/2021 2:15:02,Masculino,18,Comodidad,Poco frecuente,Otros,Computadora / laptop,3,15,3,50,Tarjeta,Mañana,8,Regularmente,Otro,PC / Laptop,3,15,3,50,Tarjeta,Tarde,8
16/07/2021 2:16:12,Masculino,18,Comodidad,Poco frecuente,Comida,Computadora / laptop,4,50,16,150,Tarjeta,Noche,8,Muy frecuente,Comida,PC / Laptop,5,200,10,200,Tarjeta,Noche,10
16/07/2021 2:19:01,Femenino,17,Ofertas,Poco frecuente,Comida,Smartphone / tablet,3,45,3,45,Efectivo,Tarde,7,Regularmente,Comida,Smartphone / Tablet,6,35,6,110,Aplicación bancaria (Ejemplo: Yape),Tarde,8
16/07/2021 2:20:52,Masculino,19,Mejores precios,Nunca,Otros,No compro online,0,0,0,0,No compro online,No compro online,2,Poco frecuente,Otro,No compro online,0,0,0,0,No compro online,No compro online,6
16/07/2021 2:21:23,Masculino,18,Mejores precios,Poco frecuente,Comida,Smartphone / tablet,2,30,2,30,Efectivo,Tarde,7,Regularmente,Comida,Smartphone / Tablet,2,30,3,40,Efectivo,Tarde,10
16/07/2021 2:21:45,Femenino,17,Rapidez,Poco frecuente,Comida,Smartphone / tablet,3,20,1,20,Tarjeta,Tarde,8,Regularmente,Ropa,Smartphone / Tablet,4,150,1,150,Tarjeta,Tarde,10
16/07/2021 2:23:18,Masculino,18,Mejores precios,Muy frecuente,Comida,Smartphone / tablet,4,70,4,70,Tarjeta,Tarde,8,Muy frecuente,Comida,Smartphone / Tablet,4,70,4,70,Tarjeta,Tarde,8
16/07/2021 2:23:37,Femenino,19,Ofertas,Poco frecuente,Comida,Smartphone / tablet,5,50,15,500,Tarjeta,Noche,9,Regularmente,Ropa,Smartphone / Tablet,4,80,4,150,Aplicación bancaria (Ejemplo: Yape),Tarde,9
16/07/2021 2:25:06,Masculino,19,Otros,Nunca,Ninguno,No compro online,0,0,0,0,No compro online,No compro online,3,Nunca,Ninguno,No compro online,0,0,0,0,No compro online,No compro online,7
16/07/2021 2:29:32,Masculino,20,Comodidad,Poco frecuente,Comida,Smartphone / tablet,3,35,8,200,Aplicación bancaria (Ejemplo: Yape),Noche,6,Regularmente,Comida,Smartphone / Tablet,6,30,7,180,Aplicación bancaria (Ejemplo: Yape),Noche,8
16/07/2021 2:29:36,Masculino,22,Seguridad,Poco frecuente,Comida,Computadora / laptop,3,70,16,280,Aplicación bancaria (Ejemplo: Yape),Tarde,8,Regularmente,Comida,Smartphone / Tablet,4,67.8,16,290,Aplicación bancaria (Ejemplo: Yape),Noche,9
16/07/2021 2:29:42,Femenino,19,Mejores precios,Regularmente,Comida,Smartphone / tablet,4,30,10,300,Tarjeta,Noche,6,Muy frecuente,Comida,Smartphone / Tablet,5,25,15,350,Tarjeta,Noche,10
16/07/2021 2:31:23,Masculino,19,Rapidez,Regularmente,Comida,Computadora / laptop,2,20,1,30,Efectivo,Tarde,7,Regularmente,Comida,PC / Laptop,3,40,5,60,Aplicación bancaria (Ejemplo: Yape),Tarde,9
16/07/2021 2:31:49,Masculino,19,Ofertas,Poco frecuente,Comida,Smartphone / tablet,3,50,1,100,Efectivo,Noche,9,Poco frecuente,Comida,Smartphone / Tablet,3,50,1,100,Efectivo,Noche,9
16/07/2021 2:34:22,Femenino,18,Ofertas,Nunca,Ninguno,No compro online,3,80,3,0,Efectivo,Noche,6,Poco frecuente,Otro,PC / Laptop,2,120,2,200,Aplicación bancaria (Ejemplo: Yape),Tarde,3
16/07/2021 2:35:14,Masculino,19,Seguridad,Poco frecuente,Comida,Smartphone / tablet,1,25,3,70,Efectivo,Tarde,7,Regularmente,Comida,Smartphone / Tablet,2,40,4,170,Tarjeta,Tarde,8
16/07/2021 2:38:31,Femenino,20,Rapidez,Poco frecuente,Comida,Smartphone / tablet,5,30,5,30,Tarjeta,Tarde,6,Muy frecuente,Ropa,PC / Laptop,2,100,3,300,Tarjeta,Tarde,9
16/07/2021 2:45:43,Femenino,18,Seguridad,Nunca,Ninguno,No compro online,0,0,0,0,No compro online,No compro online,3,Regularmente,Otro,PC / Laptop,3,200,6,400,Aplicación bancaria (Ejemplo: Yape),Tarde,9
16/07/2021 2:58:17,Masculino,18,Otros,Regularmente,Electrónicos,Smartphone / tablet,2,10,2,10,Tarjeta,Tarde,8,Poco frecuente,Otro,Smartphone / Tablet,1,5,1,5,Tarjeta,Tarde,5
16/07/2021 3:08:48,Masculino,19,Mejores precios,Poco frecuente,Electrónicos,Smartphone / tablet,2,50,1,100,Tarjeta,Noche,8,Poco frecuente,Electrónicos,Smartphone / Tablet,1,30,2,40,Tarjeta,Noche,9
16/07/2021 3:44:56,Femenino,19,Ofertas,Nunca,Ninguno,No compro online,0,0,0,0,No compro online,No compro online,5,Regularmente,Ropa,PC / Laptop,2,50,1,50,Aplicación bancaria (Ejemplo: Yape),Noche,9
16/07/2021 5:14:36,Masculino,19,Mejores precios,Poco frecuente,Electrónicos,Computadora / laptop,5,150,2,0,Tarjeta,Noche,10,Poco frecuente,Electrónicos,PC / Laptop,3,20,4,300,Tarjeta,Noche,10
