"Edad","Sexo","Carrera","Ciclo","Distrito","DistanciaKM","Movilidad","Numvehiculos","Distanciamin","Sentimientoseguridad","Seguro","Inseguro","VictimaRobo","NumRobo","MomentoRobo","HoraRobo","PrimerRobo","SegundoRobo","RecuperasteAlgo","DinRoboUno","TrasporteRobo","Factores","Universidad","Manera","Ideas"
18,"Masculino","Ingeniería Mecatrónica",3,"San Juan De Miraflores",10.1,"Bus, Auto propio, Caminando",1,60,"Cauteloso","Mañana","Noche","Sí",1,"Tarde",14:00:00,"600",0,"No","0","Caminando","Llevaba muchas cosas en mi mochila, La inseguridad de las calles, Me distraje",8,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos","no"
18,"Masculino","Ingeniería Mecatrónica",3,"Ate Vitarte",9.9,"Metropolitano, Corredor, Bus, Colectivo, Taxi, Bicicleta",2,78,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
18,"Femenino","Ingeniería Mecatrónica",3,"Chorrillos",9.3,"Bus, Auto propio",1,48,"Cauteloso","Tarde","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos",NA
18,"Masculino","Ingeniería Mecatrónica",3,"Comas",38,"Metropolitano, Bus, Colectivo",2,90,"Cauteloso","Tarde","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)","Clases full virtuales"
18,"Femenino","Ing. Mecánica",3,"Pachacamac",27,"Metropolitano, Bus",2,120,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
18,"Masculino","Ingeniería Mecatrónica",3,"San Martin De Porres",21,"Metropolitano, Bus, Caminando",2,42,"Preocupado","Tarde","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
17,"Masculino","Ingeniería Mecatrónica",3,"San Martin De Porres",36,"Metropolitano, Bus, Taxi, Mototaxi, Caminando",5,100,"Seguro","Tarde","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
18,"Masculino","Ingeniería Mecatrónica",3,"Chorrillos",7,"Metropolitano, Colectivo",1,25,"Seguro","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
19,"Femenino","Ing. Civil",4,"Puente Piedra",2,"Metropolitano, Bus",2,120,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Promoviendo horarios virtuales para cursos nocturnos","Aumentar guardias de seguridad en los paraderos"
21,"Masculino","Ing. Civil",4,"San Juan De Miraflores",10.8,"Metropolitano, Taxi, Auto propio",2,60,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Medio de transporte privado (bus universitario)","Que a cada estudiante se le instaure un gps para saber su ubicacion en caso pase algo"
18,"Masculino","Ingeniería Mecatrónica",3,"Santiago De Surco",3.3,"Bus, Colectivo, Taxi",2,20,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Promoviendo horarios virtuales para cursos nocturnos","Que hayan mas serenazgos"
18,"Femenino","Bioingeniería",3,"Surquillo",4.5,"Metropolitano, Caminando",1,40,"Protegido","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
20,"Masculino","Ing. Civil",4,"San Juan De Miraflores",7.3,"Bus",2,60,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
21,"Femenino","Ing. Industrial",4,"Otro",17,"Metropolitano, Bus, Taxi",3,90,"Cauteloso","Tarde","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)",NA
18,"Masculino","Ing. Civil",4,"Chorrillos",29,"Metropolitano, Bus",1,60,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Más lockers en la universidad, Medio de transporte privado (bus universitario)",NA
21,"Masculino","Ing. Industrial",4,"Ate Vitarte",24.1,"Metropolitano, Corredor, Colectivo",3,130,"Cauteloso","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Más lockers en la universidad, Promoviendo horarios virtuales para cursos nocturnos, Medio de transporte privado (bus universitario)","Colocar seguridad en un diámetro de 1 km alrededor de la universidad"
18,"Femenino","Bioingeniería",3,"Barranco",1.1,"Caminando",0,10,"Protegido","Mañana","Noche","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Medio de transporte privado (bus universitario)",NA
