periodo;fproceso;anio_ing;id_df;distrito_fiscal;tipo_fiscalia;materia;especialidad;tipo_caso;sistema;tipo_especializada;ingresado;atendido
01/01/2019 - 31/12/2019;13/01/2020;2019;02;ANCASH;SUPERIOR;FAMILIA;FAMILIA CIVIL;EXPEDIENTE;SIATF;;97;97
01/01/2019 - 31/12/2019;13/01/2020;2019;02;ANCASH;SUPERIOR;FAMILIA;FAMILIA CIVIL;INCIDENTE;SIATF;;1;1
01/01/2019 - 31/12/2019;13/01/2020;2019;02;ANCASH;SUPERIOR;FAMILIA;FAMILIA PENAL;EXPEDIENTE;SIATF;;35;35
01/01/2019 - 31/12/2019;13/01/2020;2019;02;ANCASH;SUPERIOR;FAMILIA;FAMILIA TUTELAR;EXPEDIENTE;SIATF;;16;16
01/01/2019 - 31/12/2019;13/01/2020;2019;02;ANCASH;SUPERIOR;FAMILIA;VIOLENCIA FAMILIAR;EXPEDIENTE;SIATF;;137;135
01/01/2019 - 31/12/2019;13/01/2020;2019;02;ANCASH;SUPERIOR;PENAL;PENAL;APELACION DENUNCIA;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;86;86
01/01/2019 - 31/12/2019;13/01/2020;2019;02;ANCASH;SUPERIOR;PENAL;PENAL;APELACION DENUNCIA;SGF;;733;725
01/01/2019 - 31/12/2019;13/01/2020;2019;02;ANCASH;SUPERIOR;PENAL;PENAL;APELACION EXPEDIENTE;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;1;1
01/01/2019 - 31/12/2019;13/01/2020;2019;02;ANCASH;SUPERIOR;PENAL;PENAL;APELACION EXPEDIENTE;SGF;;16;16
01/01/2019 - 31/12/2019;13/01/2020;2019;02;ANCASH;SUPERIOR;PENAL;PENAL;CONSULTAS;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;105;105
01/01/2019 - 31/12/2019;13/01/2020;2019;02;ANCASH;SUPERIOR;PENAL;PENAL;CONSULTAS;SGF;;237;237
01/01/2019 - 31/12/2019;13/01/2020;2019;02;ANCASH;SUPERIOR;PENAL;PENAL;EXCLUSION FISCAL;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;1;1
01/01/2019 - 31/12/2019;13/01/2020;2019;02;ANCASH;SUPERIOR;PENAL;PENAL;EXCLUSION FISCAL;SGF;;34;34
01/01/2019 - 31/12/2019;13/01/2020;2019;02;ANCASH;SUPERIOR;PENAL;PENAL;EXPEDIENTE;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;22;18
01/01/2019 - 31/12/2019;13/01/2020;2019;02;ANCASH;SUPERIOR;PENAL;PENAL;EXPEDIENTE;SGF;;38;38
01/01/2019 - 31/12/2019;13/01/2020;2019;02;ANCASH;SUPERIOR;PENAL;PENAL;INCIDENTE-EXPEDIENTE;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;2;2
01/01/2019 - 31/12/2019;13/01/2020;2019;02;ANCASH;SUPERIOR;PENAL;PENAL;INCIDENTE-EXPEDIENTE;SGF;;8;8
01/01/2019 - 31/12/2019;13/01/2020;2019;02;ANCASH;SUPERIOR;PENAL;PENAL;QUEJAS;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;246;246
01/01/2019 - 31/12/2019;13/01/2020;2019;02;ANCASH;SUPERIOR;PENAL;PENAL;QUEJAS;SGF;;1114;1114
01/01/2019 - 31/12/2019;13/01/2020;2019;03;APURIMAC;PROVINCIAL;CIVIL;CIVIL;EXPEDIENTE;SIATF;;199;193
01/01/2019 - 31/12/2019;13/01/2020;2019;03;APURIMAC;PROVINCIAL;FAMILIA;ACTOS CONTRA LA LIBERTAD SEXUAL;DENUNCIA;SIATF;;65;51
01/01/2019 - 31/12/2019;13/01/2020;2019;03;APURIMAC;PROVINCIAL;FAMILIA;FAMILIA CIVIL;EXPEDIENTE;SIATF;;366;349
01/01/2019 - 31/12/2019;13/01/2020;2019;03;APURIMAC;PROVINCIAL;FAMILIA;FAMILIA PENAL;DENUNCIA;SIATF;;459;372
01/01/2019 - 31/12/2019;13/01/2020;2019;03;APURIMAC;PROVINCIAL;FAMILIA;FAMILIA PENAL;EXPEDIENTE;SIATF;;160;141
01/01/2019 - 31/12/2019;13/01/2020;2019;03;APURIMAC;PROVINCIAL;FAMILIA;FAMILIA TUTELAR;DENUNCIA;SIATF;;667;574
01/01/2019 - 31/12/2019;13/01/2020;2019;03;APURIMAC;PROVINCIAL;FAMILIA;FAMILIA TUTELAR;EXPEDIENTE;SIATF;;252;228
01/01/2019 - 31/12/2019;13/01/2020;2019;03;APURIMAC;PROVINCIAL;FAMILIA;VIOLENCIA FAMILIAR;DENUNCIA;SIATF;;198;193
01/01/2019 - 31/12/2019;13/01/2020;2019;03;APURIMAC;PROVINCIAL;FAMILIA;VIOLENCIA FAMILIAR;EXPEDIENTE;SIATF;;38;38
01/01/2019 - 31/12/2019;13/01/2020;2019;03;APURIMAC;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;286;269
01/01/2019 - 31/12/2019;13/01/2020;2019;03;APURIMAC;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;02 ESPECIALIZADA CONTRA LA CRIMINALIDAD ORGANIZADA;46;39
01/01/2019 - 31/12/2019;13/01/2020;2019;03;APURIMAC;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;10 ESPECIALIZADA EN MATERIA AMBIENTAL;196;189
01/01/2019 - 31/12/2019;13/01/2020;2019;03;APURIMAC;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;11 ESPECIALIZADA EN PREVENCION DEL DELITO;25;25
01/01/2019 - 31/12/2019;13/01/2020;2019;03;APURIMAC;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;12 ESPECIALIZADA EN DELITOS DE TRAFICOS ILICITO DE DROGAS;68;64
