periodo;fproceso;anio_ing;id_df;distrito_fiscal;tipo_fiscalia;materia;especialidad;tipo_caso;sistema;tipo_especializada;ingresado;atendido
01/01/2021 - 31/12/2021;11/01/2022;2021;01;AMAZONAS;PROVINCIAL;CIVIL;CIVIL;EXPEDIENTE;SIATF;;78;49
01/01/2021 - 31/12/2021;11/01/2022;2021;01;AMAZONAS;PROVINCIAL;FAMILIA;ACTOS CONTRA LA LIBERTAD SEXUAL;DENUNCIA;SIATF;;12;10
01/01/2021 - 31/12/2021;11/01/2022;2021;01;AMAZONAS;PROVINCIAL;FAMILIA;FAMILIA CIVIL;EXPEDIENTE;SIATF;;530;509
01/01/2021 - 31/12/2021;11/01/2022;2021;01;AMAZONAS;PROVINCIAL;FAMILIA;FAMILIA PENAL;DENUNCIA;SIATF;;353;328
01/01/2021 - 31/12/2021;11/01/2022;2021;01;AMAZONAS;PROVINCIAL;FAMILIA;FAMILIA PENAL;EXPEDIENTE;SIATF;;112;106
01/01/2021 - 31/12/2021;11/01/2022;2021;01;AMAZONAS;PROVINCIAL;FAMILIA;FAMILIA TUTELAR;DENUNCIA;SIATF;;468;453
01/01/2021 - 31/12/2021;11/01/2022;2021;01;AMAZONAS;PROVINCIAL;FAMILIA;FAMILIA TUTELAR;EXPEDIENTE;SIATF;;57;55
01/01/2021 - 31/12/2021;11/01/2022;2021;01;AMAZONAS;PROVINCIAL;FAMILIA;VIOLENCIA FAMILIAR;DENUNCIA;SIATF;;19;18
01/01/2021 - 31/12/2021;11/01/2022;2021;01;AMAZONAS;PROVINCIAL;FAMILIA;VIOLENCIA FAMILIAR;EXPEDIENTE;SIATF;;4;4
01/01/2021 - 31/12/2021;11/01/2022;2021;01;AMAZONAS;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;296;280
01/01/2021 - 31/12/2021;11/01/2022;2021;01;AMAZONAS;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;02 ESPECIALIZADA CONTRA LA CRIMINALIDAD ORGANIZADA;21;20
01/01/2021 - 31/12/2021;11/01/2022;2021;01;AMAZONAS;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;10 ESPECIALIZADA EN MATERIA AMBIENTAL;293;293
01/01/2021 - 31/12/2021;11/01/2022;2021;01;AMAZONAS;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;11 ESPECIALIZADA EN PREVENCION DEL DELITO;2;2
01/01/2021 - 31/12/2021;11/01/2022;2021;01;AMAZONAS;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;12 ESPECIALIZADA EN DELITOS DE TRAFICOS ILICITO DE DROGAS;45;45
01/01/2021 - 31/12/2021;11/01/2022;2021;01;AMAZONAS;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;18 ESPECIALIZADA EN VIOLENCIA CONTRA LA MUJER Y LOS INTEGRANTES DEL GRUPO FAMILIAR;1532;1053
01/01/2021 - 31/12/2021;11/01/2022;2021;01;AMAZONAS;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;;11195;10084
01/01/2021 - 31/12/2021;11/01/2022;2021;01;AMAZONAS;PROVINCIAL;PENAL;PENAL;EXPEDIENTE;SGF;;7;2
