periodo;fproceso;anio_ing;id_df;distrito_fiscal;tipo_fiscalia;materia;especialidad;tipo_caso;sistema;tipo_especializada;ingresado;atendido
01/01/2020 - 31/12/2020;8/01/2021;2020;27;SAN MARTIN;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;;8213;6224
01/01/2020 - 31/12/2020;8/01/2021;2020;08;CAÑETE;SUPERIOR;PENAL;PENAL;EXPEDIENTE;SGF;;3;1
01/01/2020 - 31/12/2020;8/01/2021;2020;01;AMAZONAS;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;11 ESPECIALIZADA EN PREVENCION DEL DELITO;1;1
01/01/2020 - 31/12/2020;8/01/2021;2020;01;AMAZONAS;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;12 ESPECIALIZADA EN DELITOS DE TRAFICOS ILICITO DE DROGAS;29;29
01/01/2020 - 31/12/2020;8/01/2021;2020;01;AMAZONAS;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;18 ESPECIALIZADA EN VIOLENCIA CONTRA LA MUJER Y LOS INTEGRANTES DEL GRUPO FAMILIAR;986;563
01/01/2020 - 31/12/2020;8/01/2021;2020;01;AMAZONAS;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;;8148;6842
01/01/2020 - 31/12/2020;8/01/2021;2020;01;AMAZONAS;PROVINCIAL;PENAL;PENAL;EXPEDIENTE;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;1;1
01/01/2020 - 31/12/2020;8/01/2021;2020;01;AMAZONAS;PROVINCIAL;PENAL;PENAL;EXPEDIENTE;SGF;;1;
01/01/2020 - 31/12/2020;8/01/2021;2020;01;AMAZONAS;PROVINCIAL;PENAL;PENAL;INVESTIGACION PREVENTIVA;SGF;10 ESPECIALIZADA EN MATERIA AMBIENTAL;36;36
01/01/2020 - 31/12/2020;8/01/2021;2020;01;AMAZONAS;PROVINCIAL;PENAL;PENAL;INVESTIGACION PREVENTIVA;SGF;11 ESPECIALIZADA EN PREVENCION DEL DELITO;101;98
01/01/2020 - 31/12/2020;8/01/2021;2020;01;AMAZONAS;PROVINCIAL;PENAL;PENAL;INVESTIGACION PREVENTIVA;SGF;;104;102
01/01/2020 - 31/12/2020;8/01/2021;2020;01;AMAZONAS;SUPERIOR;CIVIL;CIVIL;EXPEDIENTE;SIATF;;1;1
01/01/2020 - 31/12/2020;8/01/2021;2020;17;LIMA;SUPREMA;PENAL;PENAL;PROCESO PENAL;;;1176;1277
01/01/2020 - 31/12/2020;8/01/2021;2020;17;LIMA;SUPREMA;PENAL;PENAL;PROCESO PENAL;;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;383;155
01/01/2020 - 31/12/2020;8/01/2021;2020;01;AMAZONAS;SUPERIOR;FAMILIA;FAMILIA CIVIL;EXPEDIENTE;SIATF;;1;1
01/01/2020 - 31/12/2020;8/01/2021;2020;01;AMAZONAS;SUPERIOR;FAMILIA;FAMILIA PENAL;EXPEDIENTE;SIATF;;4;4
01/01/2020 - 31/12/2020;8/01/2021;2020;01;AMAZONAS;SUPERIOR;FAMILIA;FAMILIA PENAL;INCIDENTE;SIATF;;1;
01/01/2020 - 31/12/2020;8/01/2021;2020;01;AMAZONAS;SUPERIOR;FAMILIA;FAMILIA TUTELAR;EXPEDIENTE;SIATF;;3;2
01/01/2020 - 31/12/2020;8/01/2021;2020;01;AMAZONAS;SUPERIOR;FAMILIA;VIOLENCIA FAMILIAR;EXPEDIENTE;SIATF;;14;11
01/01/2020 - 31/12/2020;8/01/2021;2020;01;AMAZONAS;SUPERIOR;FAMILIA;VIOLENCIA FAMILIAR;INCIDENTE;SIATF;;10;6
01/01/2020 - 31/12/2020;8/01/2021;2020;01;AMAZONAS;SUPERIOR;PENAL;PENAL;APELACION DENUNCIA;SGF;;346;338
01/01/2020 - 31/12/2020;8/01/2021;2020;01;AMAZONAS;SUPERIOR;PENAL;PENAL;APELACION EXPEDIENTE;SGF;;2;2
01/01/2020 - 31/12/2020;8/01/2021;2020;01;AMAZONAS;SUPERIOR;PENAL;PENAL;CONSULTAS;SGF;;59;56
01/01/2020 - 31/12/2020;8/01/2021;2020;01;AMAZONAS;SUPERIOR;PENAL;PENAL;EXCLUSION FISCAL;SGF;;20;18
01/01/2020 - 31/12/2020;8/01/2021;2020;01;AMAZONAS;SUPERIOR;PENAL;PENAL;EXPEDIENTE;SGF;;188;151
01/01/2020 - 31/12/2020;8/01/2021;2020;02;ANCASH;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;666;546
01/01/2020 - 31/12/2020;8/01/2021;2020;02;ANCASH;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;10 ESPECIALIZADA EN MATERIA AMBIENTAL;180;180
01/01/2020 - 31/12/2020;8/01/2021;2020;02;ANCASH;PROVINCIAL;PENAL;PENAL;DENUNCIA;SGF;;12543;11762
01/01/2020 - 31/12/2020;8/01/2021;2020;02;ANCASH;PROVINCIAL;PENAL;PENAL;EXPEDIENTE;SGF;;18;10
01/01/2020 - 31/12/2020;8/01/2021;2020;02;ANCASH;PROVINCIAL;PENAL;PENAL;INVESTIGACION PREVENTIVA;SGF;10 ESPECIALIZADA EN MATERIA AMBIENTAL;235;235
01/01/2020 - 31/12/2020;8/01/2021;2020;02;ANCASH;PROVINCIAL;PENAL;PENAL;INVESTIGACION PREVENTIVA;SGF;11 ESPECIALIZADA EN PREVENCION DEL DELITO;262;262
01/01/2020 - 31/12/2020;8/01/2021;2020;02;ANCASH;SUPERIOR;CIVIL;CIVIL;EXPEDIENTE;SIATF;;5;5
01/01/2020 - 31/12/2020;8/01/2021;2020;02;ANCASH;SUPERIOR;FAMILIA;FAMILIA CIVIL;EXPEDIENTE;SIATF;;28;28
01/01/2020 - 31/12/2020;8/01/2021;2020;02;ANCASH;SUPERIOR;FAMILIA;FAMILIA PENAL;EXPEDIENTE;SIATF;;18;18
01/01/2020 - 31/12/2020;8/01/2021;2020;02;ANCASH;SUPERIOR;FAMILIA;FAMILIA TUTELAR;EXPEDIENTE;SIATF;;10;10
01/01/2020 - 31/12/2020;8/01/2021;2020;02;ANCASH;SUPERIOR;FAMILIA;VIOLENCIA FAMILIAR;EXPEDIENTE;SIATF;;85;85
01/01/2020 - 31/12/2020;8/01/2021;2020;02;ANCASH;SUPERIOR;PENAL;PENAL;APELACION DENUNCIA;SGF;01 ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS;52;44
01/01/2020 - 31/12/2020;8/01/2021;2020;02;ANCASH;SUPERIOR;PENAL;PENAL;APELACION DENUNCIA;SGF;;397;393
