Edad,Genero,Carrera,Realizacion_actividad_extra,Tipo_actividad_extra,Deportivas,Recreacionales,Acad√©micas,Trabajo,Cantidad_actividad_extra,Tiempo_semanal_actividad,Influencia_actividad,Facilidad_actividad,Promedio_2022.2,Facilidades_UTEC,Ninguna,Instalaciones,Horarios flexibles,Becas,Cursos_2022.2
21,Femenino,Ingenier√≠a Ambiental,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,1,2,1,3,12,Ninguna,SÌ,No,No,No,3
21,Masculino,Ingenier√≠a Industrial,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",No,SÌ,No,No,2,8,2,4,15,Ninguna,SÌ,No,No,No,3
19,Masculino,Ingenier√≠a Industrial,S√≠,Acad√©micas (cursos fuera de la universidad como idiomas o inform√°tica),No,No,SÌ,No,2,2,2,3,16,Ninguna,SÌ,No,No,No,7
19,Masculino,Ingenier√≠a Industrial,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto), Trabajo",No,SÌ,No,SÌ,2,1,3,1,11,Ninguna,SÌ,No,No,No,10
18,Femenino,Ingenier√≠a Mecatr√≥nica,No,,No,No,No,No,0,0,,,14,,No,No,No,No,6
20,Femenino,Ingenier√≠a Civil,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,1,2,1,3,16,Ninguna,SÌ,No,No,No,3
18,Masculino,Ciencia de Datos,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol)",SÌ,No,No,No,2,"18,5",2,4,13.84,Ninguna,SÌ,No,No,No,2
18,Masculino,Ingenier√≠a Qu√≠mica,S√≠,"Deportivas (f√∫tbol, artes marciales, ajedrez, baloncesto, arquer√≠a, nataci√≥n, tenis o voleibol), Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto)",SÌ,SÌ,No,No,2,4,1,5,19,Ninguna,SÌ,No,No,No,10
18,Masculino,Ingenier√≠a Civil,S√≠,"Recreacionales (danza, arte, videojuegos, tocar instrumentos o canto), Trabajo",No,SÌ,No,SÌ,2,7,2,3,15.5,Ninguna,SÌ,No,No,No,10
19,Femenino,Ingenier√≠a Industrial,No,,No,No,No,No,0,0,2,1,16,Ninguna,SÌ,No,No,No,6
