Edad,Genero,Profesion,Ciclo,Modalidad_Preferenci,Horas_de_sueno_al_dia_semana_presencial,Horas_de_sueno_al_dia_semana_virtual,Costo_transporte,Tiempo_de_traslado,Tiempo_en_la_universidad,Costo_alimentacion,Tiemppo_en_cada_curso,Numero_de_cursos,Satisfaccion_de_horario,Riesgo_de_robo,Satisfaccion_de_Modalidad
19,Masculino,ambiental,5,Presencial,8,9.5,0,0.1,6,10,3.5,4,7,3,2
22,Masculino,quimica,3,Hibrida,7,8,0,0.15,5,20,5,4,6,4,5
18,Masculino,cs,3,Presencial,5,5,10,0.27,3,0,4,6,7,8,1
18,Femenino,ambiental,3,Presencial,7,8,25,0.4,3,10,4.5,6,7,4,6
18,Femenino,bioingeneria,3,Presencial,6,8,3,0.25,6,12,3,6,6,3,7
19,Masculino,industrial,2,Presencial,6.3,6,3.5,1,6,15,6.5,7,7,3,6
18,Femenino,ambiental,3,Hibrida,6.3,7.3,6,1.3,5,30,3,6,6,5,4
19,Masculino,energia,3,Presencial,8,8,4.5,1.3,6,5,3,4,7,9,7
18,Femenino,ambiental,3,Hibrida,7,7,10,0.5,3.3,15.5,10,6,8,7,7
21,Masculino,industrial,3,Presencial,6,6,7,1.25,9,12,50,6,8,8,7
19,Masculino,cs,5,Hibrida,6,8,7,1.3,6,15,4,6,2,8,7
18,Masculino,civil,3,Hibrida,9,7,5,0.4,6,10,6,5,9,3,10
19,Masculino,industrial,3,Presencial,5.3,6.3,4.5,1.3,4,9,3,6,6,5,8
19,Masculino,cs,4,Virtual,5,7,10,2.3,5,12,4,4,6,5,7
18,Masculino,mecatronica,3,Presencial,6,5,15,0.3,6,10,2,5,5,5,7
19,Masculino,mecatronica,4,Hibrida,6,7.3,6,2.5,4,12.5,4,5,6,7,9
19,Masculino,quimica,4,Hibrida,6.3,4,7.2,2.4,16,15,4,4,10,6,8
20,Masculino,mecatronica,6,Presencial,3.3,2.1,3.4,1.3,3.4,15,5,4,5,5,5
18,Masculino,cs,2,Hibrida,7.3,6,5,2.3,9.45,10,1.3,5,8,10,9
19,Femenino,industrial,5,Presencial,6.3,7.5,1.5,0.5,7,0,5,5,8,8,6
19,Masculino,electronica,5,Hibrida,7,7,3,0.4,5,0,8,5,7,8,9
