Marca temporal,¿Cuántos años tienes? (Ingrese un valor entero),Año de egreso del colegio (Ingrese un valor entero. Ejem 2020),"Ciclo de ingreso a la universidad (Ejem. 2022.1, 2021.2)",Género biológico , ¿En qué ciclo estás actualmente? (del 2 al 10),¿Qué carrera estudias?,¿Tuviste orientación vocacional antes de elegir la carrera que actualmente estudias?, ¿Qué influyó en la elección de tu carrera? (Puedes marcar más de una),¿Cuánto tiempo le dedicas a estudiar al dia ? (Escribir en horas y si requiere de decimales usar el punto.  Ejem: 2.5 => 2 h 30min),¿Cuál es el monto mensual de salario que esperas después de graduarte? (Usa punto decimal),¿Te encuentras en riesgo académico?,¿Alguna vez pensaste en retirarte de la carrera que actualmente estudias en UTEC?,Si tuvieras la oportunidad de volver a estudiar una carrera.¿Estudiarías tu carrera actual de UTEC? ,Del 1 al 10 qué tan satisfecho te encuentras con la carrera que estudias?, ¿Cuál es tu promedio ponderado exacto del semestre pasado? Use punto decimal (0 al 20),Según la siguiente escala. ¿Cómo consideras que se encuentra tu salud mental?
24/04/2023 15:58:01,50,1950,Ninguno,Gey,10,Ingeniería Civil,No,"Campo laboral, Soy gey",2.5,1000000,No,Sí,Si,1,20,Muy bueno
24/04/2023 15:58:32,19,2020,2022-1,Masculino,2,Ingeniería Industrial,Si,"Salario, Campo laboral, ",1,3000,No,No,Si,8,16,Regular
24/04/2023 16:00:20,20,2019,2022-1,Masculino,2,Ingeniería Civil,Si,"Test vocacional, Habilidades",6,5000,No,No,Si,9,16.5,Bueno
24/04/2023 16:00:49,17,2021,2022-2,Masculino,2,Ingeniería Industrial,Si,"Habilidades, Intereses",2,12000,No,Sí,Si,7,18.70,Bueno
24/04/2023 16:01:40,18,2020,2022-1,Masculino,2,Ingeniería Industrial,Si,"Campo laboral, Test vocacional, Habilidades, Intereses",4.5,1.500,No,No,Si,10,13.8,Bueno
24/04/2023 16:02:11,18,2021,2022-2,Masculino,2,Ingeniería Civil,No,"Salario, Intereses, Posibilidad de obtener una beca",12,3000.00,No,No,Si,10,14,Regular
24/04/2023 16:02:35,20,2019,2022-2,Femenino,2,Ingeniería Industrial,No,Intereses,3.5,2.500,No,No,No,8,15,Bueno
24/04/2023 16:08:50,20,2019,2022-2,Femenino,2,Ingeniería Química,Si,"Campo laboral, Habilidades, Intereses",2.5,3000,No,Sí,Si,7,15.85,Regular
24/04/2023 16:12:20,17,2021,2022-2,Masculino,2,Ingeniería Civil,No,"Salario, Campo laboral, Posibilidad de obtener una beca",3,5000,No,Sí,No,8,17,Bueno
24/04/2023 16:14:12,18,2020,2022-2,Femenino,2,Ingeniería Industrial,Si,"Salario, Test vocacional, Intereses",5,2000,No,No,No,7,17,Regular
24/04/2023 16:14:21,19,2019,2022-1,Femenino,2,Ingeniería Civil,Si,Intereses,3,8000,No,No,Si,10,19,Muy bueno
24/04/2023 16:15:06,19,2019,2021-2,Femenino,4,Ciencia de la computación,Si,"Campo laboral, Test vocacional, Intereses, Posibilidad de obtener una beca",4.5,3500,No,Sí,No,7,13.15,Regular
24/04/2023 16:17:55,19,2019,2022-2,Femenino,2,Ingeniería Industrial,No,"Campo laboral, Posibilidad de obtener una beca",3,8000,No,No,No,5,14.8,Bueno
24/04/2023 16:19:11,18,2021,2022-2,Femenino,2,Ingeniería Industrial,Si,"Intereses, Posibilidad de obtener una beca",8,5000,No,No,Si,10,15,Regular
24/04/2023 16:19:35,19,2020,2022-1,Masculino,2,Ciencia de la computación,No,"Habilidades, Intereses, Ubicación de la universidad",3,10000,No,No,Si,10,14,Regular
24/04/2023 16:19:49,20,2019,2020-2,Masculino,5,Ingeniería Civil,No,"Salario, Habilidades, Intereses",4,2500,No,Sí,Si,9,14.2,Bueno
24/04/2023 16:19:50,21,2018,2019-1,Masculino,9,Ingeniería de la Energía,Si,"Intereses, Ubicación de la universidad",5,1800,No,No,Si,8,17,Bueno
24/04/2023 16:22:53,20,2019,2022-2,Masculino,2,Ingeniería Industrial,No,"Habilidades, Intereses",4,1500,No,No,Si,8,15,Bueno
24/04/2023 16:24:22,18,2021,2022-2,Masculino,2,Ingeniería Química,No,"Habilidades, Intereses, Ubicación de la universidad",4,3000,No,No,Si,7,14.6,Malo
24/04/2023 16:27:54,21,2007,2020-1,Femenino,5,Ingeniería Ambiental,Si,"Campo laboral, Test vocacional, Intereses",3,5000,Si,Sí,Si,6,11,Malo
24/04/2023 16:28:00,18,2021,2022-2,Femenino,2,Ingeniería Industrial,Si,"Ubicación de la universidad, Posibilidad de obtener una beca",4,2000,No,No,No,7,14,Bueno
24/04/2023 16:29:21,19,2019,2022-1,Masculino,4,Ingeniería Mecatrónica,No,"Presión familiar, Campo laboral, Habilidades, Intereses",8,7.000,No,Sí,Si,8,13.6,Regular
24/04/2023 16:30:25,19,2019,2022-2,Masculino,2,Ingeniería Industrial,Si,Intereses,3,4000,No,No,Si,9,15,Bueno
24/04/2023 16:30:53,19,2020,2022-2,Masculino,2,Ingeniería Industrial,Si,"Salario, Campo laboral, Habilidades, Intereses, Ubicación de la universidad, Posibilidad de obtener una beca",2,3000,No,No,Si,10,13.5,Bueno
24/04/2023 16:31:13,18,2021,2022-2,Femenino,2,Ciencia de datos,Si,"Salario, Campo laboral, Test vocacional, Habilidades, Intereses, Ubicación de la universidad",6.5,2000,No,No,Si,9,14.5,Regular
24/04/2023 16:31:17,17,16,2022-2,Femenino,2,Ingeniería Mecatrónica,No,"Presión familiar, Posibilidad de obtener una beca",3,5000,No,Sí,No,5,13,Regular
24/04/2023 16:31:38,18,2021,2022,Masculino,2,Ingeniería Civil,No,"Habilidades, Intereses",3,5000,No,No,Si,10,14,Bueno
24/04/2023 16:31:58,19,2020,2021-2,Femenino,4,Ingeniería Civil,Si,Posibilidad de obtener una beca,4,3000,No,Sí,No,5,13.54,Regular
24/04/2023 16:32:30,20,2019,2022-2,Femenino,2,Ingeniería Industrial,Si,"Campo laboral, Habilidades, Intereses",5,2000,No,No,Si,8,15,Bueno
24/04/2023 16:32:36,19,2019,2020-1,Femenino,6,Ingeniería Industrial,Si,"Salario, Campo laboral, Habilidades, Intereses",6,1500,No,No,Si,10,14,Regular
24/04/2023 16:33:48,19,2020,2021-1,Helicóptero,5,Ingeniería Civil,No,"Salario, Intereses, Posibilidad de obtener una beca",2,10000,Si,Sí,No,6,15.86,Regular
24/04/2023 16:34:35,50,2003,2004-1,Masculino,10,Ingeniería Industrial,No,Salario,2,4000,No,No,No,1,11,Muy bueno
24/04/2023 16:34:48,18,2021,2022-2,Femenino,2,Ciencia de la computación,No,"Salario, Campo laboral, Habilidades, Intereses",5,1700.0,No,No,Si,10,15.85,Regular
24/04/2023 16:35:59,19,2020,2022-2,Masculino,2,Ingeniería Industrial,Si,"Salario, Campo laboral, Posibilidad de obtener una beca",2,3500,No,No,Si,3,17.1,Bueno
24/04/2023 16:37:34,18,2021,2022-2,Femenino,2,Ingeniería Industrial,Si,"Salario, Campo laboral, Posibilidad de obtener una beca",5.5,3000,No,Sí,No,7,16.9,Bueno
24/04/2023 16:37:41,20,2019,2020-1,Masculino,7,Ingeniería Industrial,No,"Salario, Campo laboral, Habilidades, Intereses",10,30000,No,Sí,Si,6,14.13,Muy bueno
24/04/2023 16:38:21,18,2021,2022-1,Asexual,2,Ingeniería Mecatrónica,No,Intereses,4,3000,No,Sí,No,6,16,Muy malo
24/04/2023 16:38:38,18,2021,2022-2,Femenino,2,Ingeniería Industrial,Si,"Salario, Campo laboral, Habilidades, Posibilidad de obtener una beca",4.5,6000,No,Sí,No,6,16.9,Bueno
24/04/2023 16:39:11,18,2021,2022-2,Masculino,2,Bioingeniería,Si,"Campo laboral, Test vocacional, Habilidades, Intereses",6,10.000,No,No,Si,10,14.29,Muy bueno
24/04/2023 16:39:42,19,2020,2021-2,Femenino,4,Ingeniería Industrial,No,"Campo laboral, Ubicación de la universidad, Posibilidad de obtener una beca",6,3000,No,Sí,No,6,15,Regular
24/04/2023 16:40:20,20,2018,2022-2,Femenino,2,Ingeniería Industrial,Si,"Campo laboral, Test vocacional, Habilidades, Intereses",5,2000,No,No,Si,8,15.69,Bueno
