Edad,Ciclo,Carrera,Numero_billeteras,Billetera_principal,Dias_billetera,Compras_diaria_billetera,Gasto_diario_billetera,Disponible_semanal_billetera,Tiempo_billetera,Percepcion_seguridad_billetera,Satisfaccion_billetera,Razon_billetera,Dificultad_billetera,Dias_efectivo,Compras_diaria_efectivo,Gasto_diario_efectivo,Disponible_semanal_efectivo,Tiempo_efectivo,Satisfaccion_efectivo,Razon_efectivo
18,3,Ingeniería Mecatrónica,1,Yape,3,2,12.5,50,1,Seguro,Neutro,Rapidez,Posible situación de peligro,5,3,15.5,60,1,Satisfecho,Mayor costumbre
17,3,Ingeniería Mecatrónica,0,No uso billeteras digitales,0,0,0,0,0,Neutro,No uso,NA,No uso billeteras digitales,6,4,18,80,1,Satisfecho,Mayor costumbre
18,3,Ingeniería Mecatrónica,1,Yape,1,1,12,0.4,1.5,Neutro,Satisfecho,Rapidez,Problemas con la conexión a internet,7,3,20,100,0.5,Insatisfecho,Mayor costumbre
18,5,Ingeniería Mecatrónica,1,Yape,7,3,15,69,1,Seguro,Satisfecho,Registrar gastos,No aceptan la billetera digital,7,5,10,69,1,Neutro,Prefiero no sacar mi celular
17,5,Ciencias de la Computación,1,Yape,5,2,15,80,2,Seguro,Satisfecho,Más costumbre,Problemas con la conexión a internet,2,1,4,15,2,Neutro,El pago a realizar es pequeño
19,4,Bioingeniería,1,Yape,1,4,20.5,50,1,Neutro,Satisfecho,Rapidez,Posible situación de peligro,4,3,30.5,80,2,Satisfecho,El pago a realizar es pequeño
19,4,Ingeniería Civil,0,No uso billeteras digitales,0,0,0,0,0,Seguro,No uso,NA,No uso billeteras digitales,3,2,12,100,5,Neutro,Mayor costumbre
18,4,Bioingeniería,1,Plin,5,1,10,100,2,Seguro,Satisfecho,Rapidez,No aceptan la billetera digital,2,1,10,100,2,Neutro,Mayor costumbre
20,5,Ingeniería ambiental,1,Yape,7,2,3,20,5,Neutro,Neutro,Rapidez,Problemas con la conexión a internet,7,2,3,20,3,Neutro,Prefiero no sacar mi celular
19,6,Ingeniería Civil,2,Yape,7,2,20,140,2,Neutro,Neutro,Rapidez,Problemas con la conexión a internet,4,3,10,50,5,Neutro,Mayor costumbre
18,3,Bioingeniería,2,Yape,5,2,15,100,2,Neutro,Satisfecho,Rapidez,Problemas con la conexión a internet,1,1,2,5,1,Satisfecho,El pago a realizar es pequeño
18,3,Ingeniería Electrónica,1,Yape,7,4,30,200,2,Neutro,Satisfecho,Más costumbre,Problemas con la conexión a internet,7,4,20,100,1,Satisfecho,No aceptan pagos con billeteras digitales
18,3,Ciencias de la Computación,1,Yape,2,1,10,40,2,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,5,1,15,50,4,Satisfecho,El pago a realizar es pequeño
21,3,Ciencias de la Computación,2,Yape,3,1,2,20,1,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,6,2,6,40,1,Satisfecho,Mayor costumbre
22,9,Ciencias de la Computación,2,Yape,5,3,30,300,5,Seguro,Satisfecho,Rapidez,Problemas con la conexión a internet,5,5,9,50,3,Neutro,El pago a realizar es pequeño
20,4,Ingeniería Civil,1,Yape,4,2,15,100,3,Neutro,Satisfecho,Rapidez,Problemas con la conexión a internet,7,5,25,200,1,Satisfecho,Mayor costumbre
19,4,Ingeniería Civil,1,Yape,7,3,20,100,1,Seguro,Satisfecho,Rapidez,No aceptan la billetera digital,3,1,5,20,5,Neutro,El pago a realizar es pequeño
19,3,Ciencias de la Computación,2,Yape,3,2,15.5,109.5,1.5,Seguro,Neutro,Más costumbre,No aceptan la billetera digital,1,1,5,50,1,Neutro,No aceptan pagos con billeteras digitales
