Depatamento,POBLACIÓN ECONÓMICAMENTE ACTIVA OCUPADA 2018 (Miles de personas),POBLACIÓN ECONÓMICAMENTE ACTIVA OCUPADA 2019 (Miles de personas),POBLACIÓN ECONÓMICAMENTE ACTIVA OCUPADA 2020 (Miles de personas),POBLACIÓN ECONÓMICAMENTE ACTIVA OCUPADA 2021 (Miles de personas),POBLACIÓN EN EDAD DE TRABAJAR PORCENTAJE 2018,POBLACIÓN EN EDAD DE TRABAJAR PORCENTAJE 2019,POBLACIÓN EN EDAD DE TRABAJAR PORCENTAJE 2020,POBLACIÓN EN EDAD DE TRABAJAR PORCENTAJE 2021,POBLACION POR DEPARTAMENTO CENSO 2017,POBLACIÓN ECONÓMICAMENTE ACTIVA  POR DEPARTAMENTO 2018,POBLACIÓN ECONÓMICAMENTE ACTIVA  POR DEPARTAMENTO 2019,POBLACIÓN ECONÓMICAMENTE ACTIVA  POR DEPARTAMENTO 2020,POBLACIÓN ECONÓMICAMENTE ACTIVA  POR DEPARTAMENTO 2021,,,,,,,,,,,,
AMAZONAS, 238.5, 249.1, 237.4, 258.8,71.0,69.9,71.6,71.9, 457 137, 241.3, 251.6, 243.1, 263.4,,,,,,,,,,,,
ANCASH, 618.1, 638.8, 567.3, 640.8,73.1,73.9,74.4,75.5,1 373 004, 637.9, 655.2, 598.5, 667.5,,,,,,,,,,,,
APURIMAC, 262.9, 266.6, 258.9, 285.7,69.6,68.8,68.6,70.2, 601 201, 267.9, 272.8, 264.3, 292.9,,,,,,,,,,,,
AREQUIPA, 701.4, 708.6, 550.9, 685.3,76.9,77.9,78.2,78.6,1 182 212, 729.2, 733.8, 628.2, 735.9,,,,,,,,,,,,
AYACUCHO, 372.9, 374.7, 352.5, 395.2,68.9,69.7,70.5,70.2, 867 275, 380.9, 383.3, 368.4, 405.0,,,,,,,,,,,,
CAJAMARCA, 857.6, 870.5, 848.9, 916.0,72.2,72.4,73.6,74.6,1 910 764, 879.1, 891.2, 891.1, 940.4,,,,,,,,,,,,
CALLAO, 531.2, 546.8, 425.9, 521.3,77.5,79.0,79.1,78.9, 722 305, 571.3, 576.8, 484.4, 574.3,,,,,,,,,,,,
CUSCO, 736.5, 769.9, 727.0, 792.3,73.4,73.9,74.3,74.6,1 410 946, 758.3, 781.8, 754.7, 822.1,,,,,,,,,,,,
HUANCAVELICA, 265.6, 270.9, 280.8, 301.4,64.5,65.1,66.5,66.2, 622 548, 273.4, 279.3, 290.7, 306.4,,,,,,,,,,,,
HUANUCO, 461.4, 462.5, 439.6, 492.2,69.9,70.5,71.1,71.9, 943 074, 470.4, 473.6, 458.5, 506.5,,,,,,,,,,,,
ICA, 421.7, 441.2, 376.0, 430.7,75.3,76.9,77.4,77.8, 816 219, 430.6, 451.9, 397.1, 443.0,,,,,,,,,,,,
JUNIN, 726.0, 751.8, 654.0, 746.8,70.8,70.7,71.9,72.2,1 483 077, 744.1, 765.8, 685.8, 773.9,,,,,,,,,,,,
LA LIBERTAD, 997.6,1 017.9, 844.7, 978.3,73.7,74.8,75.1,75.9,1 770 922,1 033.3,1 070.6, 925.2,1 055.3,,,,,,,,,,,,
LAMBAYEQUE, 654.9, 664.9, 569.3, 663.2,75.1,76.0,76.9,77.4,1 237 398, 676.5, 683.5, 601.1, 686.5,,,,,,,,,,,,
LIMA,5 249.8,5 344.8,4 222.7,5 023.6,76.7,78.4,78.5,78.6,6 841 680,5 582.8,5 699.0,4 804.5,5 552.4,,,,,,,,,,,,
LORETO, 513.9, 514.9, 500.3, 554.4,69.0,71.0,71.9,72.8,1 055 595, 527.0, 526.3, 518.2, 570.4,,,,,,,,,,,,
MADRE DE DIOS, 86.0, 83.7, 80.0, 93.2,72.6,73.7,75.6,76.5, 96 845, 87.3, 85.2, 83.3, 95.3,,,,,,,,,,,,
MOQUEGUA, 102.9, 106.0, 94.1, 107.4,78.8,79.7,80.3,81.1, 157 922, 106.9, 110.8, 102.3, 113.8,,,,,,,,,,,,
PASCO, 167.5, 162.2, 164.7, 177.2,71.3,71.8,71.8,72.1, 358 165, 173.8, 169.7, 176.5, 186.1,,,,,,,,,,,,
PIURA, 945.9, 990.4, 889.4,1 012.5,71.9,73.0,73.6,73.6,2 124 065, 974.7,1 019.1, 930.1,1 040.3,,,,,,,,,,,,
PUNO, 795.1, 800.9, 796.0, 887.9,71.2,71.3,71.3,72.1,1 492 471, 821.6, 829.9, 827.9, 922.2,,,,,,,,,,,,
SAN MARTIN, 470.9, 491.2, 484.5, 538.0,72.0,73.4,73.8,74.6, 769 569, 475.7, 497.6, 497.1, 550.1,,,,,,,,,,,,
TACNA, 186.2, 186.2, 152.7, 182.1,76.0,77.3,77.2,77.9, 240 611, 191.7, 192.4, 161.9, 195.5,,,,,,,,,,,,
TUMBES, 134.1, 135.7, 114.4, 136.3,75.7,76.7,76.9,78.2, 215 199, 141.2, 140.9, 126.0, 144.4,,,,,,,,,,,,
UCAYALI, 277.9, 282.8, 269.8, 299.7,72.2,74.1,74.5,75.5, 452 531, 285.7, 288.4, 276.2, 305.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
