wp;activity;start_date;Duracion;end_date
Etapa 1;Definir objetivos;5/09/2022;3;8/09/2022
Etapa 1;Definir poblacion, muestra y muestreo;6/09/2022;2;8/09/2022
Etapa 1;Definir variables;7/09/2022;1;8/09/2022
Etapa 2;Elaboracion de encuesta;8/09/2022;4;12/09/2022
Etapa 2;Correccion de encuesta por feedback;10/09/2022;1;11/09/2022
Etapa 2;Recepcion de respuestas;12/09/2022;10;22/09/2022
Etapa 3;Limpieza de datos;25/09/2022;1;26/09/2022
Etapa 3;Recodificacion de data;25/09/2022;1;26/09/2022
Etapa 4;Definicion relacion entre variables;26/09/2022;1;27/09/2022
Etapa 4;Elaboracion de descriptores;27/09/2022;2;29/09/2022
Etapa 4;Organizacion de presentacion;29/09/2022;1;30/09/2022
Etapa 5;Levantar las observaciones;30/09/2022;14;14/10/2022
Etapa 5;Identificacion de posibles probabilidades;21/10/2022;7;28/10/2022
Etapa 6;Elaboracion de tablas probabilisticas;28/10/2022;9;6/11/2022
Etapa 6;Elaboracion de tablas de frecuencia;6/11/2022;5;11/11/2022
Etapa 6;Elaboracion de graficas probabilisticas;11/11/2022;9;20/11/2022
Etapa 7;Levantar las observaciones;21/11/2022;2;23/11/2022
Etapa 8;Organizacion de la presentacion;23/11/2022;2;25/11/2022
