ID,CODIGO DE LA ENTIDAD,CODIGO UBIGEO INEI,CODIGO PAIS ,NOMBRE DE LA UO,Fecha,Hora,CO (ug/m3),H2S (ug/m3),NO2 (ug/m3),O3 (ug/m3),PM10 ,PM2.5 ,SO2 (ug/m3),Ruido (dB),UV,Humedad (%),Latitud,Longitud,Presion (Pa),Temperatura (C)
1,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,0,0,0,85.21,0,40.8,18.59,7.27,72.48,0,91.64,-12.10972,-77.05194,100750.77,15.71
2,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,1,0,0,84.51,0,48.19,21.02,7.28,69.67,0,91.32,-12.10972,-77.05194,100739.41,15.73
3,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,2,0,0,83.38,0,40.88,18.83,7.25,72.05,0,92.59,-12.10972,-77.05194,100743.13,15.44
4,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,3,0,0,82.5,0,33.65,17.38,7.26,70.18,0,92.89,-12.10972,-77.05194,100725.32,15.29
5,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,4,0,0,84.14,0,23.4,13.8,7.27,70.77,0,92.35,-12.10972,-77.05194,100696.99,15.24
6,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,5,0,0,89.76,0,16.79,11.06,7.29,77.13,0,91,-12.10972,-77.05194,100709.17,15.4
7,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,6,0,0,96.53,0,15.4,9.57,7.33,88.63,0,90.42,-12.10972,-77.05194,100752.86,15.59
8,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,7,14.18,0,114.16,0,41.47,15.21,7.41,94.35,0,93.38,-12.10972,-77.05194,100795.21,15.48
9,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,8,253.98,2.64,116.49,0,21.24,11.08,7.56,94.62,0.06,93.46,-12.10972,-77.05194,100849.11,15.64
10,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,9,32.63,0,109.47,0,31.15,12.82,7.52,97.2,0.28,89.9,-12.10972,-77.05194,100917.31,16.44
11,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,10,22.94,0,102.73,0,45.64,16.62,7.53,99.97,0.47,90.37,-12.10972,-77.05194,100926.97,16.98
12,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,11,94.38,0,90.28,0,32.68,12.54,7.91,97.17,0.74,85.4,-12.10972,-77.05194,100878.16,18.06
13,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,12,0,0,71.71,0,31.02,9.95,7.81,96.61,0.9,85.23,-12.10972,-77.05194,100833.7,18.06
14,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,13,0,0,56.61,0,27.55,8.1,7.96,97.21,1.27,82.4,-12.10972,-77.05194,100785.33,18.75
15,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,14,0,0,36.22,0,27.64,8.41,8.26,100.71,1.58,76.28,-12.10972,-77.05194,100713.66,19.66
16,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,15,0,0,59.44,0,28.79,9.04,8.08,96.48,1.15,76.88,-12.10972,-77.05194,100661.1,19.25
17,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,16,0,0,92.41,0,30.63,10.25,7.74,98.2,0.66,82.76,-12.10972,-77.05194,100654.58,17.8
18,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,17,0,0,97.36,0,37.85,10.92,7.44,96.79,0.26,89.5,-12.10972,-77.05194,100663.94,16.64
19,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,18,18.3,0,112.39,0,36.71,10.71,7.34,97.2,0.01,90.9,-12.10972,-77.05194,100691.41,16.4
20,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,19,0.01,0,117.04,0,72.07,15.75,7.27,102.51,0,92.45,-12.10972,-77.05194,100733.45,16.26
21,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,20,0,0,102.42,0,82.8,14.95,7.25,100.71,0,92.08,-12.10972,-77.05194,100762.77,16.12
22,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,21,0.85,0,95.52,0,81.13,15.97,7.26,100.1,0,91.67,-12.10972,-77.05194,100778.05,15.96
23,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,22,0,0,89.73,0,85.42,17.12,7.25,99.25,0,92.57,-12.10972,-77.05194,100790.39,15.99
24,10069,150122,PE,Subgerencia de Desarrollo Ambiental,1/07/2020,23,0,0,83.09,0,112.84,20.5,7.23,80.84,0,93.1,-12.10972,-77.05194,100805.95,15.93
25,10069,150122,PE,Subgerencia de Desarrollo Ambiental,2/07/2020,0,0,0,80.21,0,82.19,17.12,7.24,79.58,0,92.2,-12.10972,-77.05194,100784.44,15.98
26,10069,150122,PE,Subgerencia de Desarrollo Ambiental,2/07/2020,1,0,0,77.54,0,108.86,20.83,7.24,76.57,0,91.01,-12.10972,-77.05194,100734.48,15.93
27,10069,150122,PE,Subgerencia de Desarrollo Ambiental,2/07/2020,2,0,0,77.04,0,115.78,21.49,7.22,84.38,0,91.02,-12.10972,-77.05194,100688.81,15.89
