Marca temporal,Puntuación,"¿Cuántos años tienes?
ingresar un número entero",Sexo,Ciclo,¿Cuántas materias estas llevando este ciclo 2023-1?,¿Haces uso de las instalaciones de recreación disponibles en la Universidad UTEC para disfrutar de tu tiempo libre?,¿Qué nivel de estrés has experimentado durante este ciclo académico 2023-1?,¿Cuál ha sido tu nivel de ansiedad durante este ciclo académico 2023-1?,"¿Cuántas horas al día, en promedio, dedicas a actividades de ocio, recreación o diversión durante tu tiempo libre?
ingresar un número entero y sin unidades, ejemplo: Una hora = 1",¿Qué calificación le darías a los espacios de recreación en términos de su impacto en la mejora de tu salud mental?
26/05/2023 6:50:12,,19,Masculino,5,6,Sí,3,3,4,2
26/05/2023 6:50:58,,20,Masculino,4,5,Sí,4,3,6,1
26/05/2023 6:52:40,,19,Masculino,5,6,Sí,3,4,3,2
26/05/2023 6:53:15,,21,Masculino,7,5,Sí,3,3,4,3
26/05/2023 6:54:24,,20,Masculino,6,4,Sí,2,2,4,2
26/05/2023 6:55:04,,18,Femenino,4,5,Sí,4,3,5,1
26/05/2023 6:55:57,,19,Femenino,5,6,Sí,3,3,5,3
26/05/2023 6:57:06,,20,Masculino,6,5,Sí,1,2,6,2
26/05/2023 6:57:55,,18,Masculino,4,5,Sí,3,3,4,2
26/05/2023 7:00:27,,19,Masculino,5,5,Sí,4,3,4,2
26/05/2023 7:03:14,,19,Femenino,5,5,Sí,1,1,5,4
26/05/2023 7:03:46,,20,Masculino,5,6,Sí,4,2,1,4
26/05/2023 7:05:28,,18,Femenino,4,4,Sí,3,3,4,2
26/05/2023 7:06:05,,21,Masculino,7,5,Sí,4,3,4,3
26/05/2023 7:07:43,,20,Femenino,6,5,Sí,3,4,3,2
26/05/2023 7:15:59,,19,Masculino,5,6,Sí,3,2,2,2
26/05/2023 7:16:30,,20,Femenino,6,4,Sí,2,3,1,4
26/05/2023 7:16:57,,20,Masculino,6,5,Sí,3,3,2,1
26/05/2023 7:17:20,,19,Masculino,5,6,Sí,4,4,2,2
26/05/2023 7:23:52,,19,Femenino,5,6,No,5,5,3,2
26/05/2023 9:21:43,,20,Masculino,3,5,No,5,5,2,3
26/05/2023 9:33:55,,20,Femenino,4,6,No,4,4,2,2
26/05/2023 9:34:38,,21,Masculino,6,6,No,3,2,4,3
26/05/2023 9:36:43,,19,Masculino,4,6,No,3,3,3,3
26/05/2023 9:41:22,,21,Masculino,7,4,Sí,4,3,5,3
26/05/2023 9:42:08,,20,Masculino,5,5,Sí,3,3,3,2
26/05/2023 9:42:30,,21,Masculino,5,6,No,4,4,3,2
26/05/2023 9:43:27,,23,Femenino,7,6,Sí,4,4,4,2
26/05/2023 9:44:01,,20,Femenino,6,6,Sí,4,3,3,4
26/05/2023 9:44:31,,22,Femenino,6,4,No,2,3,4,2
26/05/2023 9:45:24,,22,Masculino,7,5,Sí,4,4,5,2
26/05/2023 9:46:28,,21,Masculino,5,5,Sí,3,4,4,2
26/05/2023 9:47:57,,22,Masculino,5,6,Sí,2,3,5,2
26/05/2023 9:48:24,,19,Masculino,2,5,No,3,4,3,1
26/05/2023 9:49:09,,19,Masculino,4,6,Sí,4,4,4,3
26/05/2023 9:50:48,,20,Femenino,3,5,No,5,5,5,3
26/05/2023 9:52:55,,24,Masculino,6,7,Sí,5,5,4,2
26/05/2023 9:53:30,,21,Masculino,7,5,Sí,4,1,5,3
26/05/2023 9:54:47,,19,Masculino,3,6,Sí,5,4,5,3
26/05/2023 9:55:40,,20,Masculino,4,6,Sí,4,5,8,4
