Marca temporal,Puntuación,Ciclo,Edad (años),Sexo,"¿Qué tan sociable eras antes de la pandemia?
1. Poco Sociable  
2. Sociable  
3.Muy Sociable","¿Qué tan sociable eres después de la pandemia?
1. Poco Sociable  2. Sociable  3.Muy Sociable  ",¿De qué manera prefieres socializar?,¿Sientes que te desenvuelves mejor en un salón de clases o por una reunión de zoom?,"¿Antes de la pandemia tu personalidad era introvertida o extrovertida ?
",¿Me podrías indicar la cantidad de amigos  que tienes en total (Online y presencialmente)?,"¿Me podrías indicar  la cantidad de  redes sociales  que usas para conocer personas nuevas?
",¿Cuál es la cantidad   de amigos a los que  les hablas frecuentemente por whatsap ?,¿Me podrías indicar la cantidad  de amigos a los que  les hablas frecuentemente por telegram?,¿Cuánto tiempo dialogas con tus  amigos de forma presencial a la semana ?(Horas:Minutos),"¿Del 1 al  5 qué tan necesarias crees que son las redes sociales para la formación de tu grupo social?
donde 1 es nada y 5 total mente necesario ",¿Cuál es  tiempo que  dialogas de forma virtual a la semana ? (Horas:Minutos),¿Cuánto tiempo usas  telegram al día?  (Horas:Minutos),¿Me podrías indicar la cantidad  de   tiempo que  usas  whatsapp al día ?  (Horas:Minutos),¿Cuántas tiempo usas  instagram al día ?  (Horas:Minutos),¿Cuál es la cantidad  de  tiempo que usas  facebook al día ?  (Horas:Minutos),"¿Cuántos seguidores tienes  por instagram  ?
",¿Me podrías indicar la cantidad de contactos de amigos tienes en tu celular?  ,"¿Cuántos amigos tienes por facebook tienes ?
","¿De cuántas personas componen tu grupo social(amigos cercanos)?
","Es muy necesario la redes sociales  para la formación de los grupos sociales.
(1 en desacuerdo , 5 muy de acuerdo ) [1 al 5 ]","Soy muy sociable después  de la pandemia. 
(1 poco sociable , 5 muy sociable ) [1 a 5 ]","Me desenvuelvo mejor en un salón de clases que en un salón virtual.
(1 en desacuerdo , 5 muy de acuerdo ) [1 a 5 ]","Antes de la pandemia mi personalidad era muy introvertida.
 (1 en desacuerdo , 5 muy de acuerdo ) [1 a 5 ]"
29/04/2023 11:26:49,,2,19,Mujer,3,2,Presencial,Salón de clases,Introvertida,5,2,6,5,2,3,1:00:00,0:00:00,2:00:00,1:00:00,0:30:00,432,130,710,10,2,3,4,3
29/04/2023 11:37:34,,2,18,Varon,1,2,Presencial,Salón de clases,Introvertida,8,20,15,2,2,3,3:50:00,0:30:00,6:30:00,0:00,0:00:00,30,80,400,20,3,3,3,3
29/04/2023 11:48:42,,1,18,Varon,2,2,Presencial,Salón de clases,Introvertida,100,3,20,2,6,2,6:30:00,0:00:00,2:30:00,0:00:00,5:00:00,20,30,40,5,3,3,2,3
29/04/2023 13:26:04,,4,19,Mujer,2,2,Presencial,Salón de clases,Extrovertida,7,2,5,0,3,3,5:00:00,0:00:00,6:00:00,0:00:00,0:00:00,180,116,420,5,3,3,3,2
29/04/2023 13:27:49,,4,18,Mujer,3,2,Presencial,Salón de clases,Extrovertida,30,2,6,0,2,5,2:00:00,0:00:00,3:00:00,2:00:00,0:00:00,1167,100,600,5,4,4,4,1
29/04/2023 13:28:05,,4,18,Mujer,1,1,Virtual,Reunión de zoom,Introvertida,12,1,5,0,5,3,1:00:00,0:30:00,4:00:00,0:15:00,0:00:00,50,30,20,8,3,3,3,3
29/04/2023 14:20:19,,2,18,Varon,2,2,Presencial,Salón de clases,Introvertida,300,2,20,0,5,4,9:00:00,0:00:00,8:00:00,2:00:00,5:00:00,115,200,2182,30,4,3,5,5
29/04/2023 14:41:41,,2,20,Varon,2,2,Presencial,Salón de clases,Extrovertida,6,2,5,0,2,3,2:08:00,1:20:00,13:00:00,1:00:00,1:00:00,2,204,1200,4,2,2,2,3
29/04/2023 14:48:56,,2,20,Mujer,2,2,Presencial,Reunión de zoom,Introvertida,18,3,7,0,5,1,4:00:00,0:20:00,6:00:00,3:00:00,3:00:00,106,39,205,7,1,3,2,4
29/04/2023 14:51:26,,5,19,Varon,1,2,Presencial,Salón de clases,Introvertida,100,1,5,0,4,3,1:00:00,0:00:00,6:00:00,1:30:00,0:00:00,120,107,198,6,3,2,4,3
29/04/2023 14:52:31,,5,19,Mujer,2,2,Presencial,Salón de clases,Extrovertida,16,3,13,4,7,3,4:00:00,0:00:00,6:00:00,4:00:00,0:00:00,184,80,100,6,3,3,4,2
29/04/2023 15:09:10,,2,17,Mujer,2,3,Presencial,Salón de clases,Introvertida,12,3,6,0,6,3,20:00:00,2:00:00,15:00:00,2:00:00,1:00:00,48,57,122,7,3,4,4,4
29/04/2023 15:22:15,,2,18,Mujer,3,1,Presencial,Salón de clases,Introvertida,50,5,20,10,1,3,10:00:00,2:00:00,12:00:00,2:00:00,1:00:00,35,50,756,7,3,4,2,3
29/04/2023 16:30:39,,2,18,Mujer,1,2,Presencial,Reunión de zoom,Introvertida,13,3,6,0,10,3,7:00:00,0:30:00,4:00:00,0:20:00,3:20:00,23,125,288,3,2,2,4,1
29/04/2023 16:34:40,,2,19,Varon,1,3,Presencial,Salón de clases,Extrovertida,1000,1,67,100,3,4,4:00:00,1:00:00,5:00:00,10:00:00,2:00:00,1000,1000,2000,4,3,3,3,3
29/04/2023 17:08:21,,2,19,Varon,1,1,Presencial,Salón de clases,Introvertida,4,1,4,0,2,2,0:30:00,0:05:00,5:00:00,0:30:00,2:00:00,30,30,1000,5,2,1,4,2
29/04/2023 19:54:34,,2,18,Mujer,2,1,Virtual,Salón de clases,Introvertida,15,2,5,1,10,3,12:00:00,1:00:00,2:00:00,2:00:00,0:00:00,650,50,110,5,3,2,4,3
30/04/2023 12:36:56,,2,19,Varon,1,1,Presencial,Reunión de zoom,Introvertida,10,1,2,0,7,3,1:00:00,5:00:00,3:00:00,0:00:00,0:20:00,10,30,50,3,3,2,2,4
30/04/2023 14:49:14,,5,21,Varon,2,2,Presencial,Salón de clases,Introvertida,15,2,10,0,15,3,15:00:00,0:00:00,2:00:00,0:30:00,0:45:00,20,50,110,10,3,4,4,3
30/04/2023 16:03:04,,4,19,Mujer,3,3,Presencial,Salón de clases,Extrovertida,50,1,5,0,5,3,7:00:00,1:00:00,4:00:00,4:00:00,0:30:00,837,434,583,5,3,4,4,1
