"EDAD","GÉNERO","CARRERA","DISTRITO","CICLO DE ESTUDIO","NIVEL DE SU EDUCACIÓN FINANCIERA","CURSO DE FINANZAS","CANTIDAD DE AHORRO","CANTIDAD DE VECES QUE COME FUERA DE CASA","CONTROL DE FINANZAS PERSONALES","INVERSIÓN","TARJETA DE CRÉDITO","SOLICITO PRESTAMO","ESTABLECE PRESUPUESTO MENSUAL","CONTABILIZA GASTOS EN TRANSPORTE Y COMIDA","TIEMPO QUE LLEVA AHORRANDO","CANTIDAD DE AHORROS AL DÍA DE HOY"
19,"Masculino","Ciencias de la Computación","Santiago de Surco","5","1",FALSE,25,"3-5",FALSE,TRUE,TRUE,FALSE,"Nunca",TRUE,2,12
22,"Femenino","Ingeniería Industrial","Barranco","2","3",FALSE,75,"5-10",TRUE,TRUE,FALSE,TRUE,"A veces",TRUE,2,80
17,"Femenino","Ingeniería Industrial","Barranco","2","2",FALSE,150,">10",TRUE,FALSE,FALSE,FALSE,"A veces",TRUE,10,0.1
21,"Femenino","Ingeniería Industrial","Puente Piedra","4","3",FALSE,75,">10",TRUE,FALSE,FALSE,FALSE,"A veces",TRUE,10,400
18,"Femenino","Ciencias de Datos","Santiago de Surco","2","3",FALSE,150,"5-10",TRUE,FALSE,FALSE,FALSE,"Nunca",TRUE,8,300
17,"Masculino","Bioingeniería","Lince","3","4",FALSE,75,">10",TRUE,FALSE,TRUE,FALSE,"A veces",TRUE,6,90
18,"Femenino","Ciencias de Datos","Miraflores","2","3",FALSE,25,"<3",FALSE,FALSE,FALSE,FALSE,"Nunca",FALSE,24,1500
19,"Masculino","Ingeniería Industrial","San Borja","2","3",FALSE,150,"3-5",TRUE,TRUE,TRUE,FALSE,"A veces",TRUE,4,0.46
17,"Masculino","Ingeniería Ambiental","Santiago de Surco","1","3",FALSE,250,">10",TRUE,FALSE,FALSE,FALSE,"A veces",TRUE,2,800
19,"Femenino","Ingeniería Industrial","San Miguel","5","3",TRUE,150,"3-5",TRUE,TRUE,TRUE,FALSE,"A veces",TRUE,6,1500
20,"Masculino","Ciencias de la Computación","Jesús María","5","4",TRUE,75,">10",TRUE,TRUE,FALSE,FALSE,"A veces",TRUE,4,400
18,"Masculino","Ingeniería Industrial","Miraflores","1","2",FALSE,75,">10",TRUE,TRUE,TRUE,FALSE,"A veces",TRUE,2,200
18,"Femenino","Ciencias de la Computación","Lince","4","3",FALSE,150,"3-5",TRUE,TRUE,TRUE,FALSE,"A veces",TRUE,4,400
19,"Femenino","Ciencias de la Computación","San Miguel","5","3",FALSE,75,"<3",TRUE,FALSE,FALSE,FALSE,"Nunca",TRUE,12,50
19,"Femenino","Ciencias de la Computación","Comas","4","3",FALSE,25,"5-10",TRUE,TRUE,TRUE,FALSE,"A veces",TRUE,4,50
19,"Femenino","Ingeniería Química","Puente Piedra","5","3",FALSE,75,"<3",TRUE,TRUE,TRUE,TRUE,"Siempre",TRUE,4,140
19,"Femenino","Ingeniería Mecánica","Los Olivos","4","3",FALSE,0,"3-5",FALSE,TRUE,TRUE,FALSE,"Nunca",TRUE,0,1
20,"Masculino","Ingeniería Mecatrónica","Santiago de Surco","7","5",TRUE,25,">10",TRUE,TRUE,TRUE,TRUE,"Siempre",TRUE,53,1022.5
22,"Masculino","Ingeniería Civil","Ate","4","1",FALSE,0,"<3",TRUE,TRUE,TRUE,FALSE,"Nunca",TRUE,1,100
19,"Masculino","Ciencias de la Computación","Villa el Salvador","5","2",FALSE,75,">10",TRUE,FALSE,FALSE,FALSE,"A veces",TRUE,1,80
19,"Masculino","Ingeniería Ambiental","Comas","3","3",FALSE,75,">10",TRUE,FALSE,FALSE,FALSE,"Siempre",TRUE,5,200
21,"Masculino","Ciencias de la Computación","El Agustino","5","4",FALSE,25,">10",FALSE,TRUE,FALSE,FALSE,"Nunca",TRUE,4,10
20,"Femenino","Ingeniería Civil","Chorrillos","2","2",FALSE,250,">10",FALSE,TRUE,TRUE,TRUE,"A veces",FALSE,12,500
22,"Masculino","Ingeniería Civil","La Molina","4","5",FALSE,75,"<3",TRUE,TRUE,TRUE,TRUE,"Nunca",TRUE,2,1800
20,"Masculino","Ingeniería de la Energía","San Miguel","7","4",TRUE,75,">10",FALSE,FALSE,FALSE,TRUE,"A veces",TRUE,2,5
24,"Masculino","Ingeniería Mecatrónica","Carabayllo","5","4",TRUE,0,">10",TRUE,TRUE,FALSE,FALSE,"A veces",FALSE,0,100
