Edad,Genero,Carrera,Ciclo,Estado.animo,Situacion.economica,Salud,Desempenho,Efecto.desempenho,Efecto.carrera,Horas.estudio,Pre.pandemia,Cursos.jalados.retirados,Actividades
21,Femenino,Ingeniería Ambiental,3,4,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,4,Se mantuvo igual,Perjudico un poco mi carrera,6,No,1,"Deporte/ejercicio, Otras actividades"
19,Femenino,Ingeniería Civil,3,3,Clase Media,Me contagié de Covid-19,2,Se mantuvo igual,No afecto mi carrera,3,Si,2,Deporte/ejercicio
18,Masculino,Ingeniería Industrial,3,5,Clase Media,Pasé por un deceso de un amigo cercano,4,Se mantuvo igual,Perjudico un poco mi carrera,8,No,5,Ver series/películas
18,Masculino,Ingeniería Civil,3,3,Clase Media,No sufrí ninguna enfermedad durante el periodo 2021-1,3,Lo empeoró,No afecto mi carrera,3,No,0,Deporte/ejercicio
19,Masculino,Ingeniería de la Energía,5,2,Clase Media,Me contagié de Covid-19,3,Lo empeoró,Perjudico mucho mi carrera,5,No,1,"Lectura (Aparte de las de la Universidad), Jugar videojuegos, Otras actividades"
18,Femenino,Ingeniería Química,3,2,Clase Media,Algún familiar se vio afectado con el Covid-19,2,Lo empeoró,Perjudico un poco mi carrera,3,No,4,"Jugar videojuegos, Ver series/películas"
19,Femenino,Ingeniería Electrónica,3,2,Clase Media,Algún familiar se vio afectado con el Covid-19,3,Lo empeoró,Perjudico un poco mi carrera,5,No,1,"Ver series/películas, Otras actividades"
19,Femenino,Ingeniería Civil,3,3,Clase Media,Algún familiar se vio afectado con el Covid-19,3,Lo empeoró,Perjudico un poco mi carrera,5,No,0,"Jugar videojuegos, Ver series/películas, Otras actividades"
24,Masculino,Ingeniería de la Energía,4,4,Clase Media,Algún familiar se vio afectado con el Covid-19,4,Lo empeoró,Beneficio un poco mi carrera,4,No,1,"Deporte/ejercicio, Ver series/películas, Trabajar"
18,Femenino,Bioingeniería,3,2,Clase Media,Pasé por un deceso familiar,2,Lo empeoró,Perjudico un poco mi carrera,5,No,2,"Lectura (Aparte de las de la Universidad), Ver series/películas, Otras actividades"
