CCDD,DEPARTAMENTO,CCPP,PROVINCIA,CCDI,DISTRITO,CIUDAD,CONGLOMERADO,NSELV,VIVIENDA,THOGAR,NHOGAR,ESTRATO,VRESFIN,RESFIN,P15,P15_N,P200_N,INF_500,P501A,P501,P501B,P502,P503,P504_1,P504_2,P504_3,P504_4,P505,P506,P506A,P507_1,P507_2,P507_3,P507_4,P508_1,P508_2,P508_3,P508_4,P509_1,P509_2,P509_3,P509_4,P509_5,P509_6,P509_7,P509_8,P510,P511,P512,P513,P514,P515,P516,factorfinal
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00034,00240,21,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,4,1,1,1.VENEZUELA,10.Superior Universitaria Completa, ,441056,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , ,1.Sí,2.No,3.No tengo dinero,3.Moreno,1.Heterosexual,9.21107902336571
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00034,00240,21,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,4,2,2,1.VENEZUELA,10.Superior Universitaria Completa, ,199016,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , ,1.Sí,2.No,3.No tengo dinero,5.Mestizo,1.Heterosexual,9.21107902336571
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00034,00240,21,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,4,3,3,2.PERU, ,5.Secundaria incompleta, ,1.Sí,3.Secundaria,3, ,1.Estatal,1.Sí,1.Sí,2.Remota,3.Secundaria,4, ,1.Estatal,0,0,3.¿Plataforma virtual /página Web (Computadora o Tablet o celular)?,0,0,0,0,0,5.El profesor no interactuaba continuamente con el niño/a,0,0,0,1.¿Aprobado?, , , , ,3.Moreno,1.Heterosexual,9.21107902336571
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00034,00240,21,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,4,4,2,2.PERU, ,3.Primaria incompleta, ,1.Sí,2.Primaria, ,1,1.Estatal,1.Sí,1.Sí,2.Remota,2.Primaria, ,2,1.Estatal,1.¿Televisión?,0,3.¿Plataforma virtual /página Web (Computadora o Tablet o celular)?,0,0,0,0,0,0,0,0,8.NO TUVO DIFICULTADES,1.¿Aprobado?, , , , , , ,9.21107902336571
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00036,00200,25,1,1,3.Medio,1.Completa,1.Completa,1.Sí,4,1,1,1.VENEZUELA,3.Educación Básica Incompleta, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,5.Mestizo,1.Heterosexual,18.4221580467314
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00036,00200,25,1,1,3.Medio,1.Completa,1.Completa,1.Sí,4,2,2,1.VENEZUELA,10.Superior Universitaria Completa, ,111046,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , ,1.Sí,2.No,2.No traje mis diplomas,3.Moreno,1.Heterosexual,18.4221580467314
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00036,00200,25,1,1,3.Medio,1.Completa,1.Completa,1.Sí,4,3,1,2.PERU, ,3.Primaria incompleta, ,1.Sí,2.Primaria, ,4,1.Estatal,1.Sí,1.Sí,2.Remota,2.Primaria, ,5,1.Estatal,1.¿Televisión?,0,3.¿Plataforma virtual /página Web (Computadora o Tablet o celular)?,0,0,0,0,0,0,0,0,8.NO TUVO DIFICULTADES,1.¿Aprobado?, , , , , , ,18.4221580467314
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00036,00200,25,1,1,3.Medio,1.Completa,1.Completa,1.Sí,4,4,4,1.VENEZUELA,8.Técnico Superior Completa, ,714035,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,5.Mestizo,1.Heterosexual,18.4221580467314
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00038,00229,16,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,1,1,1,1.VENEZUELA,5.Educación Media Diversificada Incompleta, , ,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , , , , ,3.Moreno,1.Heterosexual,18.4221580467314
24,TUMBES,01,TUMBES,01,TUMBES,Tumbes,00038,00230,17,1,1,2.Medio bajo,1.Completa,1.Completa,1.Sí,5,1,1,1.VENEZUELA,10.Superior Universitaria Completa, ,714016,2.No, , , , ,2.No, , , , , , , , , , , , , , , , , , , , ,1.Sí,2.No,1.No conozco el procedimiento,3.Moreno,1.Heterosexual,18.4221580467314
