"","Genero","Carrera","Ciclo_2022_2","Cursos_2022_1","Cursos_2022_2","Sueño_2022_1","Sueño_2022_2","Clases_promedio_2022_1","Clases_promedio_2022_2","Promedio_2022_1","Promedio_2022_2","Cursos_aprobados_2022_1","Cursos_aprobados_2022_2","Horas_libres_2022_1","Horas_libres_2022_2","Estrés_2022_1","Estrés_2022_2","Interes_2022_2","Conocimiento","Uso","Razones_no_uso","Sesiones_minimas","Modalidad","Medios"
"1","Femenino","INGENIERÍA CIVIL","3er ciclo",6,6,6,5.5,6,6,16.03,15.3,6,5,3,4,"Alto","Muy alto","Muy interesado","No","No","No estaba enterado, No contaba con tiempo",3,"Presenciales","Volantes en la universidad"
"2","Masculino","CIENCIA DE LA COMPUTACIÓN","2do ciclo",6,6,8,7.6,6,6,16.9,16.1,6,6,5.5,4.5,"Medio","Medio","Nada interesado","Si","No","No contaba con tiempo, Miedo y vergüenza, Considero que no lo necesito",2,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad"
"3","Masculino","INGENIERÍA CIVIL","3er ciclo",6,6,10,9,6,6,15.7,15.3,6,6,6,6,"Medio","Medio","Poco interesado","No","No","No estaba enterado, No contaba con tiempo, Miedo y vergüenza",3,"Virtuales","Redes sociales, CHARLAS"
"4","Masculino","INGENIERÍA AMBIENTAL","2do ciclo",6,6,6.5,5.5,4,4,14.56,14.34,6,5,2.5,2,"Alto","Alto","Nada interesado","No","No","No estaba enterado, No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"5","Femenino","INGENIERÍA INDUSTRIAL","6to ciclo",3,4,7,6,3,4,17.5,17.83,3,4,5,4,"Medio","Alto","Poco interesado","Si","No","Malas referencias",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"6","Masculino","INGENIERÍA QUÍMICA","4rto ciclo",4,4,7,7,6,5,11.67,14.08,3,3,3,4,"Alto","Medio","Poco interesado","No","No","No estaba enterado",5,"Presenciales","Redes sociales, Correo Institucional, CHARLAS"
"7","Femenino","INGENIERÍA AMBIENTAL","3er ciclo",6,6,6,6,6,6,14.3,14,6,6,4,4,"Medio","Medio","Nada interesado","Si","No","No contaba con tiempo",1,"Presenciales","Redes sociales, Volantes en la universidad"
"8","Masculino","INGENIERÍA CIVIL","4rto ciclo",7,6,4,4,7,7,14.56,13.4,7,5,2,4,"Muy alto","Alto","Nada interesado","No","No","No estaba enterado, No contaba con tiempo",5,"Presenciales","Redes sociales, Correo Institucional"
"9","Masculino","CIENCIA DE LA COMPUTACIÓN","3er ciclo",5,6,8,6,3,4,17.05,16.04,5,6,6,3,"Bajo","Medio","Nada interesado","Si","No","Considero que no lo necesito",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"10","Masculino","INGENIERÍA AMBIENTAL","4rto ciclo",7,6,5,5.5,8,5,15.5,16.6,6,7,4.2,4.2,"Medio","Alto","Poco interesado","No","No","No estaba enterado",1,"Presenciales","Redes sociales"
"11","Masculino","INGENIERÍA MECÁNICA","2do ciclo",7,6,7,7.5,4,4,14.4,12.33,7,4,4.5,4,"Alto","Medio","Poco interesado","Si","No","Considero que no lo necesito",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"12","Masculino","INGENIERÍA MECÁNICA","2do ciclo",7,6,7.5,7.5,4,4,17.45,17.34,7,5,5.5,4,"Medio","Medio","Nada interesado","Si","No","Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"13","Femenino","INGENIERÍA INDUSTRIAL","2do ciclo",7,6,4,5,7,6,18,16,7,6,4,5,"Muy alto","Muy alto","Nada interesado","Si","No","No había horarios disponibles acorde a mi tiempo libre",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"14","Masculino","BIOINGENIERÍA","4rto ciclo",7,7,6,6,5,4,16,12,7,5,2,3,"Medio","Alto","Poco interesado","Si","No","No contaba con tiempo",3,"Presenciales","Redes sociales, Correo Institucional"
"15","Femenino","BIOINGENIERÍA","3er ciclo",7,5,4,5,6,4,14.16,13.5,4,4,3,3,"Alto","Alto","Poco interesado","No","No","No estaba enterado",3,"Presenciales","Redes sociales, CHARLAS"
"16","Femenino","INGENIERÍA CIVIL","4rto ciclo",6,6,6,5.5,6,8,13.4,14.3,4,6,4,4.5,"Muy alto","Alto","Muy interesado","No","No","No contaba con tiempo",3,"Presenciales","Correo Institucional, Volantes en la universidad"
"17","Masculino","CIENCIA DE LA COMPUTACIÓN","3er ciclo",3,3,8,7,4,4,12,11,3,3,3,3,"Medio","Alto","Poco interesado","No","No","No estaba enterado",2,"Presenciales","Redes sociales, Correo Institucional"
"18","Masculino","INGENIERÍA CIVIL","3er ciclo",6,6,7,6.5,4,4,17.57,16.75,6,6,3,4,"Medio","Medio","Poco interesado","Si","No","No contaba con tiempo, Miedo y vergüenza",2,"Presenciales","Redes sociales, Correo Institucional"
"19","Masculino","INGENIERÍA MECATRÓNICA","2do ciclo",7,6,5,6,7,6,14.5,13.07,7,5,2,4,"Medio","Muy alto","Poco interesado","No","No","No estaba enterado, No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",5,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad, Anuncios del Canvas"
"20","Otros","INGENIERÍA INDUSTRIAL","4rto ciclo",6,6,9,3,9,3,13,11,6,6,6,6,"Bajo","Bajo","Poco interesado","No","No","No contaba con tiempo",2,"Virtuales","Correo Institucional"
"21","Masculino","BIOINGENIERÍA","3er ciclo",7,6,7.5,6.5,7,6,15.25,13.86,7,5,2.5,3.5,"Medio","Medio","Nada interesado","No","No","No estaba enterado, No contaba con tiempo",2,"Virtuales","Redes sociales, Correo Institucional, CHARLAS"
"22","Femenino","INGENIERÍA QUÍMICA","2do ciclo",7,5,6,5,5,4,17.1,15.59,7,5,2,3,"Medio","Alto","Muy interesado","Si","No","No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",3,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad"
"23","Masculino","INGENIERÍA MECATRÓNICA","2do ciclo",7,5,7,8,6,5,15.23,14.32,7,5,4,3,"Alto","Muy alto","Muy interesado","No","No","No estaba enterado, No contaba con tiempo",3,"Presenciales","Redes sociales, Volantes en la universidad"
"24","Masculino","CIENCIA DE DATOS","2do ciclo",5,5,6,7,4,4,16.5,16.2,5,5,3,2,"Muy alto","Alto","Poco interesado","Si","No","No contaba con tiempo",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"25","Femenino","BIOINGENIERÍA","3er ciclo",7,5,6,4,6,4,11,12.2,4,5,2,4,"Alto","Alto","Nada interesado","Si","No","No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",5,"Presenciales","Volantes en la universidad"
"26","Femenino","INGENIERÍA INDUSTRIAL","2do ciclo",6,6,1,7,6,6,19,18,6,6,0,0,"Muy alto","Muy alto","Muy interesado","No","No","No contaba con tiempo",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"27","Masculino","CIENCIA DE LA COMPUTACIÓN","2do ciclo",6,6,6,6,6,6,18.35,17.35,6,6,2,1,"Alto","Muy alto","Poco interesado","No","No","Miedo y vergüenza",5,"Presenciales","Redes sociales, Correo Institucional"
"28","Otros","BIOINGENIERÍA","2do ciclo",6,5,4,5,6,7,13.4,14.2,4,5,5,4.5,"Alto","Medio","Poco interesado","Si","No","Malas referencias, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",5,"Presenciales","Redes sociales, Correo Institucional, CHARLAS"
