"","Codigo","Sexo","Edad","CicloActual","HaciaActividadBool","NumActividadesRealizadas","TipoActividadRealizada","ActividadFavorita","TiempoDedicadoAE","EscalaSentimiento","EscalaAbrumado","CantidadCursos","Promedio","AbrumadoPorCursosBool","RetiroBool","TiempoDedicadoCursos"
"1",201910084,"Mujer",20,5,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3,5,3,6,17,"Sí","No",5
"2",201910401,"Mujer",20,5,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades de Ocio",1,3,3,7,16,"Sí","No",6
"3",201910250,"Mujer",18,5,"Sí",3,"Actividades de Ocio, Actividades Académicas","Actividades Académicas",4,4,2,7,18,"Sí","No",5
"4",201910310,"Mujer",19,5,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades de Ocio",3,5,2,7,18,"Sí","No",6
"5",201910356,"Hombre",19,5,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",2,3,3,7,14,"No","No",4
"6",201620001,"Hombre",22,6,"Sí",1,"Actividades Académicas","Actividades Académicas",1,4,5,4,12,"Sí","No",5
"7",201910028,"Hombre",19,5,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades de Ocio",2,4,1,5,14,"Sí","Sí",4
"8",201910354,"Hombre",19,4,"Sí",1,"Actividades de Ocio","Actividades de Ocio",3,5,1,5,13,"Sí","Sí",5
"9",201910154,"Mujer",19,5,"Sí",2,"Actividades de Ocio","Actividades de Ocio",6,4,2,5,14,"No","No",5
"10",201910166,"Mujer",19,5,"Sí",2,"Actividades de Ocio, Emprendimiento/Trabajo","Actividades de Ocio",2,4,3,5,15,"No","No",5
"11",201810510,"Hombre",19,7,"Sí",5,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades Deportivas/Físicas",4,5,2,5,17,"No","No",1
"12",201910291,"Hombre",19,5,"Sí",1,"Actividades de Ocio","Actividades de Ocio",3,5,2,5,14,"Sí","No",3
"13",201910301,"Hombre",19,5,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades de Ocio",5,5,3,6,16,"No","Sí",5
"14",201910276,"Mujer",18,4,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",5,5,3,7,13,"Sí","Sí",3
"15",201900455,"Hombre",20,3,"Sí",2,"Actividades Deportivas/Físicas, Emprendimiento/Trabajo","Emprendimiento/Trabajo",4,4,4,5,16,"Sí","No",4
"16",201910131,"Hombre",19,5,"Sí",1,"Actividades de Ocio","Actividades de Ocio",3,5,2,6,17,"Sí","No",5
"17",201910412,"Hombre",19,5,"Sí",1,"Actividades Académicas","Actividades Académicas",1,4,4,5,18,"No","No",3
