Sexo,Edad:,Ciclo académico que cursas:,"¿El ciclo pasado realizabas alguna actividad extracurricular? (Dirigir un emprendimiento, realizar deportes, estudiar un nuevo idioma, videojuegos, etc.)",¿Cuántas actividades extracurriculares realizaste el ciclo pasado?,¿ Qué tipo de actividades extracurriculares realizabas?  ,¿A qué tipo de actividad extracurricular le dedicaste más tiempo? ,"Tiempo diario dedicado, en horas, a las actividades extracurriculares:","¿Qué tan bien te sentías al realizar las actividades extracurriculares? (1: me sentía mal (las realizaba contra mi voluntad, no me agradaban, etc.) , 3: me sentía igual que al no realizarlas, 5: me sentía excelente)","¿Qué tan abrumado/a te sentías al realizar las actividades extracurriculares? (1: no tan abrumado, 5: muy abrumado)",Cantidad de cursos que llevaste el ciclo pasado,Promedio académico aproximado del ciclo pasado,¿Te sentías abrumado por la cantidad de cursos?,"En el ciclo pasado, ¿te retiraste de algún curso por falta de tiempo?","¿Qué tiempo le dedicaste a tus cursos diariamente? (horas) , sin contar las horas de clases "
Mujer,17,1,Sí,4,"Actividades Deportivas/Físicas, Actividades Académicas, Emprendimiento/Trabajo",Actividades Académicas,7.1,5,2,9,17.87,Sí,No,5
Hombre,18,1,Sí,2,"Actividades Deportivas/Físicas, Actividades Académicas",Emprendimiento/Trabajo,2.91,4,2,2,11.98,Sí,No,5
Mujer,19,1,Sí,3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas",Actividades Deportivas/Físicas,4.02,5,1,2,17.64,No,No,6
Hombre,20,1,Sí,3,"Actividades Deportivas/Físicas, Actividades de Ocio, Emprendimiento/Trabajo",Actividades Académicas,4.22,5,1,6,16.44,No,Sí,5
Mujer,18,2,Sí,1,Actividades Académicas,Actividades Académicas,3.55,3,2,5,13.49,No,No,4
Hombre,19,2,Sí,1,Actividades Académicas,Actividades Académicas,4.49,3,1,6,13.68,No,No,4
Mujer,20,2,Sí,1,Actividades de Ocio,Actividades de Ocio,4.05,5,1,2,16.6,No,No,2
Hombre,22,2,Sí,2,"Actividades Deportivas/Físicas, Actividades de Ocio, Emprendimiento/Trabajo",Emprendimiento/Trabajo,9.36,4,2,3,10.5,Sí,Sí,5
Hombre,17,3,Sí,1,Actividades de Ocio,Actividades de Ocio,4.13,5,1,8,12.25,Sí,Sí,3
Mujer,17,3,Sí,2,"Actividades de Ocio, Actividades Académicas",Actividades Académicas,2.73,2,5,7,16.75,Sí,No,6
Hombre,18,3,Sí,2,"Actividades de Ocio, Actividades Académicas",Actividades de Ocio,4.91,4,1,8,15.3,Sí,No,5
Hombre,18,3,Sí,2,"Actividades de Ocio, Actividades Académicas",Actividades de Ocio,3.62,4,3,8,17.95,No,No,4
Hombre,18,3,Sí,2,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades de Ocio,2.65,4,3,7,16.38,Sí,No,6
Hombre,18,3,Sí,1,Actividades Académicas,Actividades Académicas,3.89,4,3,7,16.11,No,No,4
Mujer,18,3,Sí,2,Actividades Académicas,Actividades Académicas,8.54,3,3,7,16.48,Sí,No,3
Hombre,18,3,Sí,2,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades Deportivas/Físicas,4.55,4,1,8,15.44,No,No,3
Hombre,18,3,Sí,1,Actividades Académicas,Actividades Académicas,2.74,3,3,7,16.36,Sí,No,2
Mujer,19,3,Sí,2,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades de Ocio,1.94,4,2,8,18.1,Sí,Sí,4
Hombre,19,3,Sí,2,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades Deportivas/Físicas,3.09,5,1,4,15.86,Sí,No,2
Hombre,19,3,Sí,2,"Actividades Deportivas/Físicas, Emprendimiento/Trabajo",Actividades Deportivas/Físicas,3.26,5,2,4,13.43,No,Sí,4
Hombre,19,3,Sí,3,"Actividades Deportivas/Físicas, Actividades Académicas, Emprendimiento/Trabajo",Emprendimiento/Trabajo,6.97,5,1,4,13.4,No,No,3
Hombre,20,3,Sí,2,"Actividades Deportivas/Físicas, Emprendimiento/Trabajo",Emprendimiento/Trabajo,4.51,4,4,5,16.23,Sí,No,4
Mujer,20,3,Sí,4,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo",Actividades de Ocio,5.91,2,5,6,13.79,Sí,Sí,4
Hombre,21,3,Sí,5,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo",Actividades Deportivas/Físicas,7.99,4,2,8,19.87,Sí,No,1
Mujer,18,4,Sí,3,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades Deportivas/Físicas,5.27,5,3,7,13.96,Sí,Sí,3
Hombre,18,4,Sí,3,Actividades de Ocio,Actividades de Ocio,2.1,4,1,6,14.94,No,No,5
Hombre,19,4,Sí,1,Actividades de Ocio,Actividades de Ocio,3.8,5,1,5,13.16,Sí,Sí,5
Hombre,19,4,Sí,2,Actividades Académicas,Actividades Académicas,1.71,4,3,7,18.33,Sí,No,4
Hombre,19,4,Sí,4,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas",Actividades Académicas,5.62,5,3,5,16.3,No,No,4
Mujer,19,4,Sí,1,Actividades Académicas,Actividades Académicas,2.9,4,3,6,14.09,No,No,2
Hombre,19,4,Sí,1,Actividades de Ocio,Actividades de Ocio,4.63,4,1,5,14.25,Sí,No,5
Hombre,19,4,Sí,3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas",Actividades Deportivas/Físicas,2.82,5,1,7,17.73,Sí,No,4
Hombre,19,4,Sí,1,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,1.63,4,2,6,15.73,No,Sí,4
Hombre,19,4,Sí,2,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades Deportivas/Físicas,1.72,4,3,6,17.34,No,No,2
Hombre,19,4,Sí,2,"Actividades de Ocio, Actividades Académicas",Actividades Académicas,2.53,4,2,5,15.42,Sí,Sí,4
Mujer,19,4,Sí,3,"Actividades Deportivas/Físicas, Emprendimiento/Trabajo",Emprendimiento/Trabajo,7,5,4,5,14.88,No,Sí,4
Hombre,19,4,Sí,2,"Actividades de Ocio, Emprendimiento/Trabajo",Actividades de Ocio,5.79,4,2,5,14.89,No,No,4
Hombre,20,4,Sí,1,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,2.01,5,3,7,12.35,Sí,No,4
Hombre,20,4,Sí,2,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,4.89,5,3,7,15.78,Sí,Sí,3
Mujer,20,4,Sí,2,"Actividades de Ocio, Actividades Académicas",Actividades de Ocio,3.56,5,1,2,6.3,Sí,No,3
Hombre,20,4,Sí,3,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades Deportivas/Físicas,2.34,5,1,5,13.72,Sí,Sí,6
Hombre,20,4,Sí,3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas",Actividades Académicas,4.36,4,4,7,13.97,Sí,No,5
Hombre,20,4,Sí,3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas",Actividades de Ocio,3.04,3,5,7,16.4,Sí,Sí,5
Mujer,20,4,Sí,3,Actividades Académicas,Actividades Académicas,4.92,2,4,4,13.96,Sí,No,5
Mujer,20,4,Sí,2,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades de Ocio,3.66,4,1,5,15.56,No,No,6
Mujer,20,4,Sí,1,Actividades Académicas,Actividades Académicas,2.88,4,2,5,17.73,No,No,2
Hombre,21,4,Sí,3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas",Actividades Académicas,6.6,3,5,7,15.32,Sí,Sí,5
Hombre,21,4,Sí,1,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,5.55,4,3,3,13.77,Sí,Sí,3
Hombre,22,4,Sí,2,"Actividades Deportivas/Físicas, Actividades Académicas",Actividades Deportivas/Físicas,1.72,3,3,4,11.56,No,No,4
Hombre,22,4,Sí,1,Actividades de Ocio,Actividades de Ocio,2.42,4,1,8,13.57,Sí,No,4
Mujer,18,5,Sí,3,"Actividades de Ocio, Actividades Académicas",Actividades Académicas,4.84,4,2,7,18.67,Sí,No,5
Mujer,18,5,Sí,2,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades Deportivas/Físicas,2.02,5,1,5,14.09,Sí,Sí,6
Hombre,18,5,Sí,4,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo",Actividades de Ocio,3.11,4,2,7,19.81,Sí,No,5
Hombre,18,5,Sí,2,Actividades Académicas,Actividades Académicas,5.2,5,5,5,14.79,Sí,Sí,5
Mujer,18,5,Sí,2,"Actividades Deportivas/Físicas, Actividades Académicas",Actividades Académicas,3.29,4,3,6,16.79,Sí,No,3
Hombre,18,5,Sí,4,"Actividades Académicas, Emprendimiento/Trabajo",Actividades Académicas,6.6,4,4,7,17.83,Sí,No,5
Mujer,18,5,Sí,1,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas",Actividades de Ocio,2.3,3,4,5,14.76,No,No,2
Hombre,18,5,Sí,2,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades Deportivas/Físicas,2.26,4,1,6,19.17,Sí,No,3
Mujer,18,5,Sí,2,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades Deportivas/Físicas,1.77,5,3,7,18.11,No,No,2
Hombre,18,5,Sí,2,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades Deportivas/Físicas,2.44,5,1,6,17.7,No,No,5
Hombre,18,5,Sí,2,"Actividades de Ocio, Actividades Académicas",Actividades Académicas,3.4,4,3,7,17.48,Sí,No,4
Mujer,19,5,Sí,3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas",Actividades de Ocio,3.44,5,2,7,18.33,Sí,No,6
Hombre,19,5,Sí,2,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades Deportivas/Físicas,2.52,3,3,7,14.84,No,No,4
Hombre,19,5,Sí,3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas",Actividades de Ocio,2.42,4,1,5,14.67,Sí,Sí,4
Mujer,19,5,Sí,2,Actividades de Ocio,Actividades de Ocio,6.23,4,2,5,14.37,No,No,5
Mujer,19,5,Sí,2,"Actividades de Ocio, Emprendimiento/Trabajo",Actividades de Ocio,2.01,4,3,5,15.66,No,No,5
Hombre,19,5,Sí,1,Actividades de Ocio,Actividades de Ocio,4,5,2,5,14.06,Sí,No,3
Hombre,19,5,Sí,3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas",Actividades de Ocio,5.94,5,3,6,16.2,No,Sí,5
Hombre,19,5,Sí,1,Actividades de Ocio,Actividades de Ocio,3.99,5,2,6,17.46,Sí,No,5
Hombre,19,5,Sí,1,Actividades Académicas,Actividades Académicas,1.17,4,4,5,18.93,No,No,3
Hombre,19,5,Sí,4,"Actividades Deportivas/Físicas, Actividades Académicas, Emprendimiento/Trabajo",Actividades Académicas,4.45,4,5,5,18.77,Sí,No,5
Mujer,19,5,Sí,2,"Actividades Académicas, Emprendimiento/Trabajo",Actividades Académicas,5.56,5,3,7,15.15,No,No,5
Hombre,19,5,Sí,2,"Actividades Deportivas/Físicas, Actividades Académicas",Actividades Académicas,7.9,4,2,5,13.83,Sí,Sí,4
Hombre,19,5,Sí,1,"Actividades de Ocio, Actividades Académicas",Actividades Académicas,1.16,4,2,7,14.86,Sí,No,5
