Marca temporal,Ciclo de ingreso,"Según su apreciación, ¿en qué parte del día tiene la peor conectividad a internet?",Cantidad de cursos matriculados en el ciclo 2022-1,¿Cuántas personas viven con usted?,Distrito de Lima Metropolitana,"Si no reside en Lima, escriba en qué Departamento o País se encuentra. De otro modo, por favor no responda y proceda a la siguiente pregunta","Mayormente, ¿qué tipo de conexión utiliza?",Opinión sobre la calidad del internet en relación a su desempeño académico,"Aproximadamente, ¿cuántos equipos electrónicos en promedio permanecen conectados al internet de su hogar?","En promedio, ¿cuántas horas al día utiliza internet con fines académicos? (Estudio, clases, investigación, etc)","En promedio, ¿cuántas horas al día utiliza internet como medio de entretenimiento?",¿Alguna vez ha sido incapaz de asistir a una clase o participar en la misma debido a una mala conectividad?,"En promedio, ¿cuántas veces ha sido incapaz de rendir una prueba debido a una mala conexión?",¿Cuenta con alguna conexión alternativa a internet en casos de emergencia?,Operador de su internet,"Resultado de la variable ""PING"" (ms)","Resultado de la variable ""DOWNLOAD"" (Mbps)","Resultado de la variable ""UPLOAD"" (Mbps)",¿Cuál es el menor ciclo correspondiente a los cursos que actualmente lleva o le quedan por aprobar?,Cantidad de cursos matriculados en el último ciclo regular que participó,Cantidad de cursos aprobados en el último ciclo regular que participó,Promedio ponderado del último ciclo que culminó
24/04/2022 19:45:50,2015-1,Noche,10,Más de 10,MIRAFLORES,,Red wifi,0,Más de 20,16,12,Sí,Más de 10,Sí,Otro,2000,3,.5,1,10,1,1.05
27/04/2022 11:58:39,2021-1,Tarde,6,3,SAN ISIDRO,,Red wifi,2,6,6,6,Sí,1,Sí,Movistar,10,167.88,27.72,3,6,6,16.79
29/04/2022 12:37:59,2021-1,Noche,4,4,SAN MARTÍN DE PORRES,,Cable Ethernet,4,7,8,2,Sí,2,Sí,Otro,1,67.63,39.20,2,4,4,15.8
29/04/2022 12:50:37,2021-1,Tarde,5,4,SAN MARTÍN DE PORRES,,Red wifi,5,5,6,6,Sí,2,Sí,Claro,11,103.44,12.95,3,5,6,17.37
29/04/2022 12:54:07,2021-1,Tarde,6,3,ATE,,Cable Ethernet,3,13,5,5,Sí,2,Sí,Movistar,9,94.79,33.49,1,6,5,157.777
29/04/2022 14:59:18,2021-1,Mañana,4,4,CARABAYLLO,,Red wifi,3,6,8,2,Sí,2,No,Movistar,80,32,16,2,4,2,13
29/04/2022 15:00:25,2021-1,Madrugada,4,3,SAN JUAN DE LURIGANCHO,,Red wifi,5,11,5,4,Sí,1,No,Otro,5,231.33,239.15,2,5,4,14.65
29/04/2022 15:17:52,2021-1,Tarde,5,5,No vivo en Lima provincia,Departamento - Arequipa,Red wifi,6,5,12,2,Sí,Nunca me ha pasado,No,Movistar,22,108.5,33.44,3,6,6,16.02
29/04/2022 15:47:46,2020-1,Noche,6,3,SANTIAGO DE SURCO,,Red wifi,4,15,6,7,Sí,1,Sí,Claro,5,136.40,125.78,3,5,5,14.09
29/04/2022 16:14:47,2019-1,Tarde,6,3,LIMA,,Red wifi,5,2,6,2,Sí,1,Sí,Otro,4,54.42,43.84,6,6,6,17.41
29/04/2022 17:17:06,2020-1,Mañana,5,Vivo solo,MIRAFLORES,,Red wifi,2,4,5,3,Sí,Nunca me ha pasado,Sí,Entel,13,132.09,21.91,2,6,6,14.47
29/04/2022 17:21:24,2020-1,Mañana,5,6,VILLA MARÍA DEL TRIUNFO,,Red wifi,5,Más de 20,8,7,Sí,8,Sí,Movistar,8,19.91,16.57,4,5,5,14.93
29/04/2022 17:33:37,2021-1,Tarde,5,7,SANTA ANITA,,Cable Ethernet,6,8,8,4,Sí,2,Sí,Movistar,9,55.55,16.68,3,7,6,14.04
29/04/2022 18:54:53,2020-1,Noche,6,7,LOS OLIVOS,,Red wifi,4,14,3,5,Sí,4,No,Movistar,11,228,33,2,6,6,14.32
29/04/2022 19:13:46,2021-1,Tarde,5,3,LA MOLINA,,Red wifi,6,12,8,2,No,Nunca me ha pasado,Sí,Claro,8,80.26,15.87,3,7,7,14
