Ingreso,Peor_Conectividad,Actuales_Cursos,Convivientes,Distrito,Residencia,Tipo_Conexion,Opinion,Equipos_Conectados,Estudio_Horas,Ocio_Horas,Inasistencia,Pruebas_Perdidas,Alternativa,Operador,Ping,Download,Upload,Menor_Ciclo,Pasados_Cursos,Pasados_A_Cursos,Promedio
2021-1,Tarde,6,3,SAN ISIDRO,NA,Red wifi,2,6,6,6,Sí,1,Sí,Movistar,10,167.88,27.72,3,6,6,16.79
2021-1,Noche,4,4,SAN MARTÍN DE PORRES,NA,Cable Ethernet,4,7,8,2,Sí,2,Sí,Otro,1,67.63,39.2,2,4,4,15.8
2021-1,Tarde,5,4,SAN MARTÍN DE PORRES,NA,Red wifi,5,5,6,6,Sí,2,Sí,Claro,11,103.44,12.95,3,5,6,17.37
2021-1,Tarde,6,3,ATE,NA,Cable Ethernet,3,13,5,5,Sí,2,Sí,Movistar,9,94.79,33.49,1,6,5,15.777
2021-1,Mañana,4,4,CARABAYLLO,NA,Red wifi,3,6,8,2,Sí,2,No,Movistar,80,32,16,2,4,2,13
2021-1,Madrugada,4,3,SAN JUAN DE LURIGANCHO,NA,Red wifi,5,11,5,4,Sí,1,No,Otro,5,231.33,239.15,2,5,4,14.65
2021-1,Tarde,5,5,No vivo en Lima provincia,Departamento - Arequipa,Red wifi,6,5,12,2,Sí,0,No,Movistar,22,108.5,33.44,3,6,6,16.02
2020-1,Noche,6,3,SANTIAGO DE SURCO,NA,Red wifi,4,15,6,7,Sí,1,Sí,Claro,5,136.4,125.78,3,5,5,14.09
2019-1,Tarde,6,3,LIMA,NA,Red wifi,5,2,6,2,Sí,1,Sí,Otro,4,54.42,43.84,6,6,6,17.41
2020-1,Mañana,5,0,MIRAFLORES,NA,Red wifi,2,4,5,3,Sí,0,Sí,Entel,13,132.09,21.91,2,6,6,14.47
2020-1,Mañana,5,6,VILLA MARÍA DEL TRIUNFO,NA,Red wifi,5,Atipico,8,7,Sí,8,Sí,Movistar,8,19.91,16.57,4,5,5,14.93
2021-1,Tarde,5,7,SANTA ANITA,NA,Cable Ethernet,6,8,8,4,Sí,2,Sí,Movistar,9,55.55,16.68,3,7,6,14.04
2020-1,Noche,6,7,LOS OLIVOS,NA,Red wifi,4,14,3,5,Sí,4,No,Movistar,11,228,33,2,6,6,14.32
2021-1,Tarde,5,3,LA MOLINA,NA,Red wifi,6,12,8,2,No,0,Sí,Claro,8,80.26,15.87,3,7,7,14
2021-1,Madrugada,4,5,MIRAFLORES,NA,Red wifi,2,5,10,2,Sí,0,Sí,Movistar,11,121.65,14.75,1,6,6,17.61
2018-2,Noche,5,4,CHORRILLOS,NA,Red wifi,5,15,3,5,No,0,Sí,Claro,15,73,20,5,4,4,15.6
2020-2,Tarde,8,4,SAN JUAN DE LURIGANCHO,NA,Red wifi,5,4,6.5,1.5,Sí,2,Sí,Claro,13,108.84,33.15,1,7,5,13.64
2020-2,Tarde,5,2,COMAS,NA,Red wifi,4,7,12,4,No,0,No,Otro,4,31.03,31.84,3,6,6,15
2021-1,Tarde,5,4,MAGDALENA DEL MAR,NA,Red wifi,5,15,5,2,No,0,Sí,Claro,6,32.52,31.78,5,5,4,13.36
2019-2,Mañana,5,3,SAN MIGUEL,NA,Red wifi,3,6,9,7,Sí,0,Sí,Claro,9,151.8,31.62,4,5,5,16.07
2021-1,Noche,6,3,VILLA EL SALVADOR,NA,Cable Ethernet,6,6,10,4,Sí,0,Sí,Movistar,8,75.94,33.33,3,6,6,17.85
2021-1,Mañana,5,4,CHORRILLOS,Departamento - Lima,Cable Ethernet,6,8,8,6,Sí,0,Sí,Movistar,10,78.53,33.48,3,7,5,12.27
2020-2,Mañana,7,5,PUEBLO LIBRE,NA,Cable Ethernet,5,9,8,3,Sí,2,Sí,Otro,1,95,94,3,7,7,15.5
2020-2,Noche,7,5,PUEBLO LIBRE,NA,Cable Ethernet,5,9,5,2,Sí,3,Sí,Otro,1,171,178,3,7,7,17.4
2018-1,Tarde,5,3,LOS OLIVOS,NA,Red wifi,5,6,8,3,Sí,1,Sí,Claro,10,105.55,13.19,4,4,4,17
2021-1,Madrugada,6,0,MIRAFLORES,NA,Red wifi,3,2,7,2,Sí,5,Sí,Movistar,34,33.1,28.8,3,7,7,15.5
2020-2,Mañana,6,0,BARRANCO,NA,Red wifi,6,3,6,6,Sí,2,Sí,Movistar,20,73.05,13.55,3,6,6,15.17
2020-2,Mañana,7,5,LOS OLIVOS,NA,Red wifi,6,8,7,3,Sí,1,Sí,Claro,10,70.35,20.32,3,7,6,15.17
2021-1,Mañana,7,2,SURQUILLO,Departamento - Lima,Red wifi,4,6,10,3,Sí,1,No,Movistar,13,46.19,33.32,2,6,4,15.29
2021-1,Tarde,5,4,LIMA,NA,Red wifi,6,10,8,4,Sí,2,No,Claro,11,94.37,33.14,2,5,5,18.41
2021-1,Mañana,7,4,SURQUILLO,NA,Red wifi,5,5,6,4,Sí,2,Sí,Movistar,6,73.84,33.2,2,5,5,17.33
2021-1,Tarde,5,2,LINCE,Departamento - Lima,Red wifi,4,6,3,6,Sí,5,Sí,Movistar,90,15,19,3,6,6,17.55
2021-1,Mañana,5,3,SURQUILLO,NA,Red wifi,3,4,6,3,Sí,2,Sí,Movistar,28,20.62,20.62,3,5,6,16.53
2021-1,Tarde,5,1,BARRANCO,NA,Red wifi,2,9,6,4,Sí,0,Sí,Movistar,15,27.34,27.34,3,5,5,16.71
2020-2,Noche,5,3,JESÚS MARÍA,NA,Red wifi,4,6,16,2,Sí,0,Sí,Claro,35,12.16,12.16,3,7,7,17.7
2021-1,Tarde,6,3,SAN JUAN DE MIRAFLORES,NA,Red wifi,6,8,5,2,Sí,1,Sí,Movistar,18,25.05,26.63,3,6,5,15
2019-1,Tarde,4,2,MIRAFLORES,NA,Red wifi,0,4,4,8,Sí,4,No,Otro,30,27.46,12.3,4,4,3,13.46
2020-2,Tarde,5,3,SAN BORJA,NA,Red wifi,2,7,8,4,No,0,Sí,Movistar,14,43.21,30.01,4,6,6,18.42
2021-1,Tarde,5,4,SAN ISIDRO,NA,Red wifi,3,4,7,2,Sí,4,No,Movistar,2,2,2,4,5,4,20
