Aula,Tipo,Piso,Hora,Fecha,Limpio,Ordenado,Aforo,Dispositivos,Pizarra,Alumnos,Ventanas,Tacho,UltimaClase,UltimaLimpieza,SiguienteClase,Uclaseh,Sclaseh,Intervalo
A903,Aula normal,9,12,02/05/2023,5,Si,Si,4,Si,9,3,si,1,02/05/2023,114,"0,02","1,9","1,88"
A906,Aula normal,9,10,26/04/2023,5,No,Si,0,Si,6,3,si,2,25/04/2023,58,"0,03","0,97","0,94"
M601,Laboratorio,6,15,25/04/2023,5,Si,Si,10,Si,0,3,no,15,21/04/2023,165,"0,25","2,75","2,5"
A905,Aula normal,9,12,02/05/2023,3,Si,Si,2,Si,2,2,si,2,02/05/2023,122,"0,03","2,03",2
A202,Aula normal,2,17,03/05/2023,4,Si,Si,3,Si,8,2,si,2,03/05/2023,197,"0,03","3,28","3,25"
A704,Aula normal,7,20,03/05/2023,3,No,No,2,Si,0,2,si,2,03/05/2023,662,"0,03","11,03",11
A705,Aula normal,7,16,03/05/2023,3,No,Si,4,No,1,3,si,3,02/05/2023,83,"0,05","1,38","1,33"
A901,Aula normal,9,12,26/04/2023,4,No,Si,3,No,7,2,no,5,26/04/2023,235,"0,08","3,92","3,84"
A702,Aula normal,7,15,27/04/2023,5,No,No,3,No,0,3,si,5,27/04/2023,10,"0,08","0,17","0,09"
A1002,Aula normal,10,12,02/05/2023,3,Si,Si,4,Si,10,2,si,5,02/05/2023,238,"0,08","3,97","3,89"
A601,Aula pequeña,6,16,03/05/2023,5,Si,No,1,Si,4,1,si,7,02/05/2023,218,"0,12","3,63","3,51"
A401,Aula pequeña,4,20,03/05/2023,5,No,Si,1,No,2,4,si,7,03/05/2023,727,"0,12","12,12",12
A906,Aula normal,9,11,02/05/2023,4,Si,Si,3,Si,8,3,si,8,02/05/2023,8,"0,13","0,13",0
A803,Aula mixta,8,17,03/05/2023,2,Si,Si,4,Si,10,4,si,9,03/05/2023,189,"0,15","3,15",3
A804,Aula mixta,8,16,25/04/2023,4,No,Si,2,Si,8,3,si,10,24/04/2023,50,"0,17","0,83","0,66"
A102,Aula normal,1,15,28/04/2023,1,No,Si,5,Si,3,1,no,10,27/04/2023,50,"0,17","0,83","0,66"
A902,Aula normal,9,12,26/04/2023,4,Si,Si,1,No,1,2,no,11,26/04/2023,109,"0,18","1,82","1,64"
A601,Aula pequeña,6,20,27/04/2023,4,No,No,2,No,6,0,si,11,26/04/2023,769,"0,18","12,82","12,64"
A907,Aula normal,9,13,29/04/2023,3,No,No,4,No,0,2,si,11,28/04/2023,1380,"0,18",23,"22,82"
A908,Aula normal,9,17,03/05/2023,3,Si,Si,2,Si,11,2,si,11,03/05/2023,19,"0,18","0,32","0,14"
A907,Aula normal,9,17,03/05/2023,1,Si,Si,3,Si,13,5,si,12,03/05/2023,182,"0,2","3,03","2,83"
A401,Aula pequeña,4,15,25/04/2023,4,No,No,0,Si,12,3,no,13,24/04/2023,97,"0,22","1,62","1,4"
A804,Aula mixta,8,12,26/04/2023,5,Si,Si,2,Si,2,2,no,16,26/06/2023,104,"0,27","1,73","1,46"
A203,Aula normal,2,16,28/04/2023,1,Si,Si,5,Si,4,6,si,16,27/04/2023,164,"0,27","2,73","2,46"
