Código,Descripción del producto,Valor importado en 2002,Valor importado en 2003,Valor importado en 2004,Valor importado en 2005,Valor importado en 2006,Valor importado en 2007,Valor importado en 2008,Valor importado en 2009,Valor importado en 2010,Valor importado en 2011,Valor importado en 2012,Valor importado en 2013,Valor importado en 2014,Valor importado en 2015,Valor importado en 2016,Valor importado en 2017,Valor importado en 2018,Valor importado en 2019,Valor importado en 2020,Valor importado en 2021
TOTAL,Todos los productos,1788094,1904588,2249686,2535550,2740661,3537991,4744430,3478611,4190756,5047260,6029660,5498844,5746418,5877625,7475806,7707930,7351014,6985509,6545027,10163198
271019,Aceites medios y preparaciones; de petróleo o de mineral bituminoso; que no contienen biodiesel; ...,20247,97918,134607,151163,211873,254917,296285,278121,283940,276736,750754,298376,273944,242429,228684,219681,341392,454612,252384,1058671
270900,Aceites crudos de petróleo o de mineral bituminoso,142675,196061,234654,221275,362305,409435,446800,371936,475516,617492,440510,505501,508071,300751,195146,255278,397616,267439,188128,384422
711890,Monedas de oro; monedas de curso legal (exc. condecoraciones; artículos de joyería hechos con ...,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,4093,13,1,0,340016
600622,"""Tejidos de punto; de anchura > 30 cm; de algodón; teñidos (exc. tejidos de punto por urdimbre; ...",32,41,70,75,315,421,225,218,220,381,255,231,305,408,224707,251066,303166,241959,252956,327623
610910,T-shirts y camisetas; de punto; de algodón,1439,1314,1201,1726,1953,2404,2881,2885,3744,4902,5794,5876,5565,5897,251457,241469,267871,313802,190035,313993
300490,"""Medicamentos constituidos por productos mezclados o sin mezclar; preparados para usos terapéuticos ...",79913,80243,96659,103132,118562,139591,191498,220130,264639,229355,232090,240822,244164,251785,291271,321402,261148,249979,260993,273560
271012,"""Aceites ligeros y preparaciones; de petróleo o de minerales bituminosos que> = 90% en volumen ...",0,0,0,0,0,0,0,0,0,0,209598,158652,155827,145544,135315,119015,220871,159789,121807,201436
621790,"""Partes de prendas o de complementos """"accesorios"""" de vestir; de todo tipo de materia textil; ...",21,6,20,14,8,46,9,10,2,10,18,27,21,30,12612,25929,36972,43182,62166,164183
854449,Conductores eléctricos; para una tensión <= 80 V; sin piezas de conexión; n.c.o.p.,92,121,89,79,165,19566,23751,14197,19597,25759,26086,28433,28422,30791,122414,144230,130298,121522,109212,163608
100590,Maíz (exc. ??las de siembra para siembra),2647,1892,3215,1471,9454,28268,30045,24613,27940,41442,43288,32364,40362,37623,47215,43447,45068,58120,84038,153419
850239,Grupos electrógenos con motor distinto de los de émbolo (exc. de energía eólica),188,78,240,86,471,218,121,76,13186,12662,106,1270,3132,242,132,1121,75,571,3034,146653
870421,"""Vehículos automóviles para el transporte de mercancías; con solo motor de émbolo (pistón) ...",22660,24310,31211,46357,46878,57192,53228,35613,45666,58709,84074,95976,96005,126662,128600,115635,51594,35630,60450,102822
210690,Preparaciones alimenticias; n.c.o.p.,19917,24859,21631,19990,9871,34284,38530,42285,40098,52312,58879,64534,68984,73806,73474,73799,72014,76631,81217,101826
300220,Vacunas para medicina humana,1261,3839,6912,1549,2543,7271,6052,5928,19646,30341,38111,9032,8392,10130,7752,9139,8525,11536,13917,96024
610990,T-shirts y camisetas; de punto; de materia textil (exc. de algodón),329,266,281,272,428,554,442,500,338,460,656,480,630,970,25345,82744,106687,93861,58040,90102
630900,Artículos de prendería,4344,3797,4274,6011,6457,8705,7786,12326,20105,22706,27733,31091,34402,38905,48160,57773,55242,60887,70694,88505
271112,Propano; licuado,7169,8472,9993,17079,18241,28755,40981,29621,43278,50439,52691,61714,66344,43159,48623,60793,72109,50224,55157,86650
853670,Conectores para fibras opticas; o cables,0,0,0,0,0,397,1097,659,769,1367,1198,1635,1301,1967,93265,88413,80932,84229,63478,83693
