Código,Descripción del producto,Valor importado en 2002,Valor importado en 2003,Valor importado en 2004,Valor importado en 2005,Valor importado en 2006,Valor importado en 2007,Valor importado en 2008,Valor importado en 2009,Valor importado en 2010,Valor importado en 2011,Valor importado en 2012,Valor importado en 2013,Valor importado en 2014,Valor importado en 2015,Valor importado en 2016,Valor importado en 2017,Valor importado en 2018,Valor importado en 2019,Valor importado en 2020,Valor importado en 2021
TOTAL,Todos los productos,5329778,4208657,4703854,6804052,8421973,10594387,12167110,12054439,15138223,18156133,17430206,17844951,17751695,18964691,17788808,19564514,22187864,22202313,18537603,26942694
271012,"""Aceites ligeros y preparaciones; de petróleo o de minerales bituminosos que> = 90% en volumen ...",0,0,0,0,0,0,0,0,0,0,2480467,2833697,2192659,2014926,1436461,1849217,2361728,2360708,1259522,2090444
270900,Aceites crudos de petróleo o de mineral bituminoso,0,0,11,14,8,0,2,435345,863925,979488,1021873,1226365,941276,313293,344481,414442,680795,599444,181928,666354
300490,"""Medicamentos constituidos por productos mezclados o sin mezclar; preparados para usos terapéuticos ...",111613,101872,118319,142920,199265,207087,319431,320554,351823,377172,373348,416694,403726,463616,479502,481659,570738,584111,555621,652675
870323,"""Automóviles de turismo; incl. los del tipo familiar """"break"""" o """"station wagon"""" y los de ...",558100,207278,280325,638089,405266,333206,212467,100513,206366,149643,202958,251586,350036,510276,507209,515201,507611,522937,393018,624166
392690,Artículos de plástico y manufacturas de las demás materias de las partidas 3901 a 3914; ncop ...,103051,91554,82345,116231,129497,117338,181411,249132,179768,347396,294816,321483,352109,400341,428976,400360,368240,409685,481098,616068
711319,"""Artículos de joyería y sus partes; de metales preciosos distintos de la plata; incl. revestidos ...",205,786,92,88,38066,148675,175192,109008,102183,82399,101721,98595,135147,170035,240385,338162,364605,407647,331198,572679
271111,Gas natural; licuado,0,0,0,0,0,0,0,76580,126842,171777,300949,241243,314530,182541,204277,273427,286107,326777,296151,507979
271112,Propano; licuado,0,0,0,0,15,0,0,294596,421514,532358,325293,372817,372995,326108,193044,434225,488853,302172,99986,460697
720720,Productos intermedios de hierro o acero sin alear; con un contenido de carbono >= 0;25% en ...,1,1,1,1,0,0,0,11,37075,239755,12995,5196,0,230,659,154164,229025,219718,196350,458368
100590,Maíz (exc. ??las de siembra para siembra),114670,110017,85844,97407,145310,202849,257917,159048,235333,321394,287931,278570,212917,234224,202583,250292,278653,286153,259912,426476
300220,Vacunas para medicina humana,3853,2942,5801,4249,6671,10041,4983,6148,6842,26797,10578,20368,21471,16779,17676,20149,25053,27077,12227,407879
870324,"""Automóviles de turismo; incl. los del tipo familiar """"break"""" o """"station wagon"""" y los de ...",2557,209,12,0,43241,262464,299172,217639,295916,190941,184047,176249,153401,215303,291056,263949,261812,247922,209420,308253
847130,Máquinas automáticas para tratamiento o procesamiento de datos; digitales; portátiles; de peso ...,17981,6410,8343,12058,24746,49879,55211,42836,53520,55102,51857,53009,66123,53858,64053,61336,71956,130164,153936,302281
270112,Hulla bituminosa ; incl. pulverizada; pero sin aglomerar,5961,12791,21384,19555,37393,0,68,72346,90063,142370,71475,69390,76373,75773,54675,106392,115959,142522,138775,284585
851712,"""Telefonía celular """"teléfonos móviles"""" o radiotelefonía""",0,0,0,0,0,144663,227053,170579,249847,174548,171636,205476,201885,191919,221027,250290,262508,273354,292079,267279
240110,Tabaco; sin desvenar o desnervar,72313,77296,91553,125852,150290,62494,74273,72183,57932,78942,93425,93957,91348,105239,101821,133029,158691,199741,260823,218082
150710,"""Aceite de soja """"soya"""" en bruto; incl. desgomado""",45371,57547,56036,55131,63658,101711,146541,105804,131451,167254,159483,145273,128948,125808,119761,149486,133158,127745,140698,206537
732690,Manufacturas de hierro o acero; n.c.o.p. (exc. moldeadas; o forjadas o estampadas pero sin ...,23577,25046,13234,19926,21169,31529,33752,26750,26447,53326,46814,38267,53773,64634,90705,72651,87914,117658,124272,199978
100119,Trigo duro (exc. ??las de siembra para siembra),0,0,0,0,0,0,0,0,0,0,167948,144837,150784,141867,107146,129906,132162,136062,123385,196049
210690,Preparaciones alimenticias; n.c.o.p.,31656,25686,23026,37381,51488,59996,65636,73833,94232,107082,102877,113511,121598,127842,128336,139195,155147,165932,156357,168950
710813,Oro; incl. el oro platinado; semilabrado; para uso no monetario,0,0,1,142,51643,105227,47574,66354,58630,112237,61262,81200,87049,104131,42709,44347,27413,86995,94147,167259
240120,Tabaco; total o parcialmente desvenado o desnervado pero sin elaborar de otro modo,3663,3452,4954,3556,4534,87201,108130,91124,74792,83811,63186,76277,58622,62711,41476,52162,76405,94936,95735,153082
870421,"""Vehículos automóviles para el transporte de mercancías; con solo motor de émbolo (pistón) ...",36685,15171,6454,2225,25895,86050,81782,60415,65312,35410,73824,76593,96698,123832,112545,106529,131784,135748,88985,140138
120810,"""Harina de habas de soja """"soya""""""",63574,65293,63538,81110,95033,123584,147734,159547,168413,152804,61909,82834,95536,90703,80105,94383,113005,102481,97394,138603
520710,Hilados de algodón; con un contenido de algodón >= 85%; acondicionados para la venta al por ...,17,13,28,65,19574,71414,89489,90481,16709,133678,217155,126309,158092,134532,114738,113778,135931,143567,87479,137887
690722,Baldosas y losas para pavimentos; chimeneas o muros; de un coeficiente de absorción de agua ...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30120,37936,45724,48975,130427
440711,"""Pino """"Pinus spp."""" aserrados o desbastados longitudinalmente; cortados o desenrollados; incluso ...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53216,74844,54503,59333,128359
520511,"""Hilados de algodón; sencillos; de fibras sin peinar; con un contenido de algodón >= 85% en ...",3935,3192,1709,1912,11160,5995,9121,6191,144746,247520,80973,92038,107945,103858,87848,109259,123975,107572,82772,128325
220830,Whisky,16482,15359,12780,16846,31176,32563,38550,32330,34381,45050,50199,74605,82826,88227,78982,75574,78912,82618,48650,119569
330210,Mezclas de sustancias odoríferas y mezclas; incl. las disoluciones alcohólicas; a base de una ...,7132,5537,7860,4288,3470,6090,14775,12350,17452,33525,41614,42850,74697,82273,93535,84194,70082,117525,81129,115626
390110,Polietileno de densidad < 0;94; en formas primarias,13572,15858,17491,22578,30193,40632,47155,36169,49496,52815,48553,54466,65379,61253,61001,60433,68025,55128,51423,110526
854449,Conductores eléctricos; para una tensión <= 80 V; sin piezas de conexión; n.c.o.p.,8822,9036,7966,10963,12025,57070,83987,46322,53073,87278,72740,50804,67187,73565,61353,72652,78819,79960,67290,109331
871120,"""Motocicletas; incl. los ciclomotores; con motor de émbolo """"pistón"""" alternativo de cilindrada ...",24128,12762,6139,11466,21996,31698,30325,13957,25232,29784,40179,37474,56576,63247,62495,64285,70625,81991,59782,107616
850164,"""Generadores de corriente alterna """"alternadores""""; de potencia> 750 kVA (exc. ​​Generadores ...",3122,4790,23533,493,1058,3553,319,3994,3273,7708,454,715,2696,1060,710,1154,5527,1788,141,106944
300290,Sangre humana; Sangre animal preparada para usos terapéuticos; profilácticos o de diagnóstico.,3529,3931,5563,6241,7067,7954,12168,13865,16171,19962,22376,26602,30966,36407,38533,42000,45654,39711,60144,105201
271113,Butanos; licuados (exc. de pureza >= 95% de n-butano o de isobutano),169,264,499,267,326,520,902,65167,79180,97071,94621,92224,69139,86525,48857,82296,76114,44913,182139,102880
480411,"""Papel y cartón para caras """"cubiertas"""" [""""kraftliner""""]; sin estucar ni recubrir; en bobinas ...",94,41,249,1,149,1010,393,705,1647,2711,5785,19285,15648,25468,33450,43326,55530,58299,54733,99501
701090,"""Bombonas """"damajuanas""""; botellas; frascos; bocales; tarros; envases tubulares y demás recipientes ...",0,0,0,0,12954,19531,31200,27041,46223,67961,51611,74293,66430,91210,74585,86170,96051,93841,100911,99304
230400,Tortas y demás residuos sólidos de la extracción del aceite de soja (soya); incluso molidos ...,0,0,0,0,0,0,10,0,12,29,31648,46858,45452,37300,39740,19545,45429,69924,92551,97114
961900,Compresas y tampones higiénicos; pañales para bebés y artículos similares; de cualquier materia,0,0,0,0,0,0,0,0,0,0,68942,62765,67060,83386,79484,86523,82462,86669,77298,91879
390120,Polietileno de densidad >= 0;94; en formas primarias,18297,16199,23681,23232,33762,38020,34165,26289,32286,36784,42796,43036,52713,49078,43788,48173,68535,49351,49182,91144
020714,Trozos y despojos comestibles; de gallo o de gallina; de especies domésticas; congelados,300,451,919,1734,2086,2690,5030,9061,14740,18278,21090,26685,30467,43913,41702,37611,55595,56991,60166,89810
220299,bebidas no alcohólicas (exc. agua; jugos de frutas o vegetales; leche y cerveza),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39345,56902,61424,59908,89391
020329,Carne de porcinos; congelada (exc. canales o medias canales; así como piernas; paletas y sus ...,704,95,180,1267,1665,3936,7773,10533,14614,14130,14001,23921,31828,33435,26718,42933,58566,46988,55732,88454
631090,Trapos de todo tipo de materia textil; así como cordeles; cuerdas y cordajes; de materia textil; ...,5118,7833,10579,33778,15479,22969,21629,26774,19679,35669,35919,44271,152296,72957,47135,69824,69182,72118,57055,88370
390319,Poliestireno; en formas primarias (exc. expandible),5450,4957,5028,8553,8699,17451,16770,25427,27556,39913,40292,42829,48159,39866,33641,42474,48498,41504,35363,87436
