Código,Descripción del producto,Valor importado en 2002,Valor importado en 2003,Valor importado en 2004,Valor importado en 2005,Valor importado en 2006,Valor importado en 2007,Valor importado en 2008,Valor importado en 2009,Valor importado en 2010,Valor importado en 2011,Valor importado en 2012,Valor importado en 2013,Valor importado en 2014,Valor importado en 2015,Valor importado en 2016,Valor importado en 2017,Valor importado en 2018,Valor importado en 2019,Valor importado en 2020,Valor importado en 2021
TOTAL,Todos los productos,1966844,2190370,3118631,3878882,4806056,5627663,9069360,6906725,8621758,10726378,11652108,11642380,10762297,9246512,7476190,8514436,9001622,8313649,7667928,12803319
270900,Aceites crudos de petróleo o de mineral bituminoso,183026,370138,594265,796085,864572,708795,1638170,815668,1151205,948222,1685091,1564140,1341005,850239,425528,280418,1182400,990612,731598,1046081
999999,Materias no a otra parte especificadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,697053
300490,"""Medicamentos constituidos por productos mezclados o sin mezclar; preparados para usos terapéuticos ...",38084,32504,38796,40338,46479,50202,58814,59952,69503,79069,91162,95806,94684,102807,102886,103666,111571,111821,113437,397605
300215,Productos inmunológicos acondicionados en dosis medidas o en formas o envases para la venta ...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31565,28208,32576,38057,201522
300220,Vacunas para medicina humana,10454,2610,3213,3329,3566,4667,3262,1485,6968,8250,10128,4519,17614,11951,9896,11186,8883,16873,18684,172495
843991,Partes de máquinas para la fabricación de pasta de materias celulósicas; nep,50,22,221,170,134,248,350,244,219,274,305,440,377,291,352,137,205,53,61,153455
310540,"""Dihidrogenoortofosfato de amonio """"fosfato monoamónico""""; incl. mezclado con el hidrogenoortofosfato ...",5679,12223,18161,23323,17528,44641,58707,39425,43615,68721,74761,57707,49891,44009,40215,32092,38023,38200,29468,147705
380893,Herbicidas; inhibidores de germinación y reguladores del crecimiento de las plantas; presentados ...,0,0,0,0,0,54143,99835,57220,74662,83441,108538,137341,136729,84645,72040,96130,112257,112091,102754,145260
300439,"""Medicamentos; que contengan hormonas o esteroides utilizados como hormonas pero sin antibióticos; ...",6688,5406,5967,6376,8510,9112,11004,8479,11750,13769,15074,16033,11871,13977,15751,13937,16384,15035,14754,124825
851712,"""Telefonía celular """"teléfonos móviles"""" o radiotelefonía""",0,0,0,0,0,98058,155453,80293,103802,118524,136885,169722,247675,198184,213989,232541,223618,200876,171687,124411
271019,Aceites medios y preparaciones; de petróleo o de mineral bituminoso; que no contienen biodiesel; ...,86579,71926,64724,83259,253041,376095,806414,536370,341841,959293,1055073,472122,303840,373258,157327,404730,42302,32935,73291,119998
020130,Carne deshuesada; de bovinos; fresca o refrigerada,966,34,1607,9286,4447,4229,5171,284,0,0,0,3391,6962,7067,14389,21966,55729,110234,115003,113340
271012,"""Aceites ligeros y preparaciones; de petróleo o de minerales bituminosos que> = 90% en volumen ...",0,0,0,0,0,0,0,0,0,0,117060,22712,50674,5167,503,280658,11225,1896,9880,104819
870431,Vehículos automóviles para el transporte de mercancías; con solo motor de émbolo (pistón) de ...,174,81,386,2530,7090,17203,56708,57877,128698,101591,128080,139471,111591,94866,90725,128505,81654,93606,70231,104445
950300,Triciclos; patinetes; coches de pedal y juguetes similares con ruedas; coches y sillas de ruedas ...,0,0,0,0,0,12077,15976,13223,19643,21675,25383,24326,25752,21732,23085,27684,27664,23441,18986,103404
870899,Partes y accesorios de tractores; vehículos automóviles para transporte de >= 10 personas; ...,33712,20620,35419,44815,80304,85446,115757,72286,141653,209267,95227,197159,147794,80029,16164,60561,97911,92876,57132,102253
390761,"""Poli""""tereftalato de etileno""""; en formas primarias; con un índice de viscosidad >= 78 ml/g""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65609,105555,97660,81578,101510
870323,"""Automóviles de turismo; incl. los del tipo familiar """"break"""" o """"station wagon"""" y los de ...",4466,6622,18109,34206,56178,83502,119177,106707,175547,208984,229935,207973,190026,150230,150512,186255,123284,114112,95436,98751
020329,Carne de porcinos; congelada (exc. canales o medias canales; así como piernas; paletas y sus ...,6595,8345,11360,12404,13942,18250,25469,25277,37362,51393,59845,73821,75901,71878,72958,89705,83120,95758,97376,95628
870321,"""Automóviles de turismo; incl. los del tipo familiar """"break"""" o """"station wagon"""" y los de ...",615,1142,3691,9451,7096,7374,11008,11904,19408,43073,54300,65890,49531,80698,64994,103177,98251,80376,63120,91490
730890,Construcciones y partes de construcciones; de fundición; hierro o acero (exc. puentes y partes ...,2118,992,1496,1880,3558,5109,12987,25307,11195,15641,22574,30625,37685,38467,19119,20487,26111,30970,21750,90512
330300,Perfumes y aguas de tocador,2122,2141,2996,3252,3958,4512,5826,6322,7505,9240,10422,10766,10150,12309,10965,11067,11466,10774,8800,84580
851762,Máquinas para la recepción; conversación y transmisión o regeneradores de voz; imagenes; incl. ...,0,0,0,0,0,25757,45110,41745,42614,46275,46704,55613,72815,38635,41433,54241,51931,53873,54357,83382
