From HS 2017,To SITC Rev. 3
010121,00151
010129,00151
010130,00151
010190,00151
010221,00111
010229,00119
010231,00111
010239,00119
010290,00119
010310,00131
010391,00139
010392,00139
010410,00121
010420,00122
010511,00141
010512,00141
010513,00141
010514,00141
010515,00141
010594,00149
010599,00149
010611,0019
010612,0019
010613,0019
010614,0019
010619,0019
010620,0019
010631,0019
010632,0019
010633,0019
010639,0019
010641,0019
010649,0019
010690,0019
020110,01111
020120,01111
020130,01112
020210,01121
020220,01121
020230,01122
020311,01221
020312,01221
020319,01221
020321,01222
020322,01222
020329,01222
020410,01211
020421,01211
020422,01211
020423,01211
020430,01212
020441,01212
020442,01212
020443,01212
020450,01213
020500,0124
020610,01251
020621,01252
020622,01252
020629,01252
020630,01253
020641,01254
020649,01254
020680,01255
020690,01256
020711,01231
020712,01232
020713,01234
020714,01235
020724,01231
020725,01232
020726,01234
020727,01235
020741,01231
020742,01232
020743,01233
020744,01234
020745,01235
020751,01231
020752,01232
020753,01233
020754,01234
020755,01235
020760,0123
020810,01291
020830,01299
020840,01299
020850,01299
020860,01299
020890,01299
020910,41131
020990,41131
021011,01611
021012,01612
021019,01619
021020,01681
021091,01689
021092,01689
021093,01689
021099,01689
030111,03411
030119,03411
030191,03411
030192,03411
030193,03411
030194,03411
030195,03411
030199,03411
030211,03412
030213,03412
030214,03412
030219,03412
030221,03413
030222,03413
030223,03413
030224,03413
030229,03413
030231,03414
030232,03414
030233,03414
030234,03414
030235,03414
030236,03414
030239,03414
030241,03415
030242,03418
030243,03415
030244,03417
030245,03418
030246,03418
030247,03418
030249,03418
030251,03416
030252,03418
030253,03418
030254,03418
030255,03418
030256,03418
030259,03418
030271,03418
030272,03418
030273,03418
030274,03418
030279,03418
030281,03418
030282,03418
030283,03418
030284,03418
030285,03418
030289,03418
030291,03419
030292,03418
030299,0341
030311,03421
030312,03421
030313,03421
030314,03421
030319,03421
030323,03428
030324,03428
030325,03428
030326,03428
030329,03428
030331,03422
030332,03422
030333,03422
030334,03422
030339,03422
030341,03423
030342,03423
030343,03423
030344,03423
030345,03423
030346,03423
030349,03423
030351,03424
030353,03424
030354,03426
030355,03428
030356,03428
030357,03428
030359,03428
030363,03425
030364,03428
030365,03428
030366,03427
030367,03428
030368,03428
030369,03428
030381,03428
030382,03428
030383,03428
030384,03428
030389,03428
030391,03429
030392,03428
030399,0342
030431,03451
030432,03451
030433,03451
030439,03451
030441,03451
030442,03451
030443,03451
030444,03451
030445,03451
030446,03451
030447,03451
030448,03451
030449,03451
030451,03451
030452,03451
030453,03451
030454,03451
030455,03451
030456,03451
030457,03451
030459,03451
030461,0344
030462,0344
030463,0344
030469,0344
030471,0344
030472,0344
030473,0344
030474,0344
030475,0344
030479,0344
030481,0344
030482,0344
030483,0344
030484,0344
030485,0344
030486,0344
030487,0344
030488,0344
030489,0344
030491,03455
030492,03455
030493,03455
030494,03455
030495,03455
030496,03455
030497,03455
030499,03455
030510,0355
030520,0354
030531,03512
030532,03512
030539,03512
030541,0353
030542,0353
030543,0353
030544,0353
030549,0353
030551,03511
030552,03513
030553,03513
030554,03513
030559,03513
030561,03529
030562,03521
030563,03522
030564,03529
030569,03529
030571,035
030572,035
030579,035
030611,037
030612,037
030614,037
030615,037
030616,036
030617,036
030619,037
030631,037
030632,037
030633,037
030634,037
030635,037
030636,037
030639,037
030691,037
030692,037
030693,037
030694,037
030695,037
030699,037
030711,03631
030712,03722
030719,03722
030721,03635
030722,036
030729,036
030731,03635
030732,036
030739,036
030742,03635
030743,0363
030749,0363
030751,03633
030752,036
030759,036
030760,03722
030771,03635
030772,036
030779,036
030781,03635
030782,03635
030783,036
030784,036
030787,036
030788,036
030791,03635
030792,036
030799,036
030811,03635
030812,036
030819,036
030821,03635
030822,036
030829,036
030830,036
030890,036
040110,02211
040120,02212
040140,02213
040150,02213
040210,02221
040221,02222
040229,02222
040291,02223
040299,02224
040310,02231
040390,02232
040410,02241
040490,02249
040510,0230
040520,0230
040590,0230
040610,02491
040620,0241
040630,0242
040640,0243
040690,02499
040711,0251
040719,0251
040721,0251
040729,0251
040790,0251
040811,02521
040819,02522
040891,02521
040899,02522
040900,0616
041000,09892
050100,29191
050210,29192
050290,29192
050400,29193
050510,29195
050590,29195
050610,29111
050690,29111
050710,29116
050790,29116
050800,29115
051000,29198
051110,29194
051191,29196
051199,29199
060110,29261
060120,29261
060210,29269
060220,29269
060230,29269
060240,29269
060290,29269
060311,29271
060312,29271
060313,29271
060314,29271
060315,29271
060319,29271
060390,29271
060420,29272
060490,29272
070110,0541
070190,0541
070200,0544
070310,05451
070320,05452
070390,05452
070410,05453
070420,05453
070490,05453
070511,05454
070519,05454
070521,05454
070529,05454
070610,05455
070690,05455
070700,05456
070810,05457
070820,05457
070890,05457
070920,05459
070930,05459
070940,05459
070951,05458
070959,05458
070960,05459
070970,05459
070991,05459
070992,05459
070993,05459
070999,05459
071010,05469
071021,05469
071022,05469
071029,05469
071030,05469
071040,05461
071080,05469
071090,05469
071120,0547
071140,0547
071151,0547
071159,0547
071190,0547
071220,05612
071231,05613
071232,05613
071233,05613
071239,05613
071290,05619
071310,05421
071320,05422
071331,05423
071332,05423
071333,05423
071334,05423
071335,05423
071339,05423
071340,05424
071350,05425
071360,05429
071390,05429
071410,05481
071420,05483
071430,05483
071440,05483
071450,05483
071490,05483
080111,05771
080112,05771
080119,05771
080121,05772
080122,05772
080131,05773
080132,05773
080211,05774
080212,05774
080221,05775
080222,05775
080231,05776
080232,05776
080241,05777
080242,05777
080251,05778
080252,05778
080261,05779
080262,05779
080270,05779
080280,05779
080290,05779
080310,0573
080390,0573
080410,05796
080420,0576
080430,05795
080440,05797
080450,05797
080510,05711
080521,05712
080522,05712
080529,05712
080540,05722
080550,05721
080590,05729
080610,05751
080620,05752
080711,05791
080719,05791
080720,05791
080810,0574
080830,05792
080840,05792
080910,05793
080921,05793
080929,05793
080930,05793
080940,05793
081010,05794
081020,05794
081030,0579
081040,05794
081050,0579
081060,0579
081070,0579
081090,0579
081110,05831
081120,05832
081190,05839
081210,05821
081290,05821
081310,05799
081320,05799
081330,05799
081340,05799
081350,05799
081400,05822
090111,07111
090112,07112
090121,0712
090122,0712
090190,07132
090210,07411
090220,07412
090230,07413
090240,07414
090300,07431
090411,07511
090412,07512
090421,07513
090422,07513
090510,07521
090520,07521
090611,07522
090619,07522
090620,07523
090710,07524
090720,07524
090811,07525
090812,07525
090821,07525
090822,07525
090831,07525
090832,07525
090921,07526
090922,07526
090931,07526
090932,07526
090961,07526
090962,07526
091011,07527
091012,07527
091020,07528
091030,07529
091091,07529
091099,07529
100111,0411
100119,0411
100191,0412
100199,0412
100210,0451
100290,0451
100310,0430
100390,0430
100410,0452
100490,0452
100510,0441
100590,0449
100610,0421
100620,0422
100630,04231
100640,04232
100710,0453
100790,0453
100810,04592
100821,04591
100829,04591
100830,04593
100840,04599
100850,04599
100860,04599
100890,04599
110100,0461
110220,04711
110290,04719
110311,0462
110313,04721
110319,04722
110320,0462
110412,04813
110419,04813
110422,04814
110423,04814
110429,04814
110430,04815
110510,05641
110520,05642
110610,05646
110620,05647
110630,05648
110710,0482
110720,0482
110811,59211
110812,59212
110813,59213
110814,59214
110819,59215
110820,59216
110900,59217
120110,2222
120190,2222
120230,22212
120241,22211
120242,22212
120300,2231
120400,2234
120510,22261
120590,22261
120600,2224
120710,2237
120721,2223
120729,2223
120730,2237
120740,2225
120750,22262
120760,2237
120770,2237
120791,2237
120799,2237
120810,2239
120890,2239
120910,29251
120921,29252
120922,29252
120923,29252
120924,29252
120925,29252
120929,29252
120930,29253
120991,29254
120999,29259
121010,05484
121020,05484
121120,05896
121130,29249
121140,29249
121150,29249
121190,058
121221,29297
121229,29297
121291,05487
121292,05489
121293,05489
121294,05489
121299,05489
121300,08111
121410,08112
121490,08113
130120,29222
130190,29229
130211,29294
130212,29294
130213,29294
130214,29294
130219,29294
130220,29295
130231,29296
130232,29296
130239,29296
140110,29231
140120,29232
140190,29239
140420,2632
140490,29299
150110,4112
150120,4112
150190,4112
150210,41132
150290,41132
150300,41133
150410,41111
150420,41112
150430,41113
150500,41135
150600,41139
150710,42111
150790,42119
150810,42131
150890,42139
150910,42141
150990,42142
151000,42149
151110,42221
151190,42229
151211,42151
151219,42159
151221,42121
151229,42129
151311,42231
151319,42239
151321,42241
151329,42249
151411,42171
151419,42179
151491,42171
151499,42179
151511,42211
151519,42219
151521,42161
151529,42169
151530,4225
151550,4218
151590,42299
151610,43121
151620,43122
151710,09101
151790,09109
151800,4311
152000,51222
152110,43141
152190,43142
152200,43133
160100,0172
160210,09811
160220,0173
160231,0174
160232,0174
160239,0174
160241,0175
160242,0175
160249,0175
160250,0176
160290,0179
160300,0171
160411,03711
160412,03712
160413,03712
160414,03713
160415,03714
160416,03715
160417,03715
160418,03715
160419,03715
160420,03716
160431,03717
160432,03717
160510,03721
160521,03721
160529,03721
160530,03721
160540,03721
160551,03722
160552,03722
160553,03722
160554,03722
160555,03722
160556,03722
160557,03722
160558,03722
160559,03722
160561,03722
160562,03722
160563,03722
160569,03722
170112,06112
170113,06111
170114,06111
170191,06121
170199,06129
170211,06191
170219,06191
170220,06192
170230,06193
170240,06194
170250,06195
170260,06196
170290,06199
170310,06151
170390,06159
170410,06221
170490,06229
180100,0721
180200,0725
180310,07231
180320,07232
180400,0724
180500,0722
180610,0731
180620,0732
180631,0733
180632,0733
180690,0739
190110,09893
190120,0485
190190,09894
190211,0483
190219,0483
190220,09891
190230,09891
190240,09891
190300,05645
190410,04811
190420,04811
190430,04812
190490,04812
190510,04841
190520,04842
190531,04842
190532,04842
190540,04841
190590,04849
200110,05671
200190,05671
200210,05672
200290,05673
200310,05674
200390,05674
200410,05661
200490,05669
200510,09812
200520,05676
200540,05679
200551,05679
200559,05679
200560,05679
200570,05679
200580,05677
200591,05679
200599,05679
200600,0621
200710,09813
200791,0581
200799,0581
200811,05892
200819,05892
200820,05893
200830,05894
200840,05896
200850,05895
200860,05895
200870,05895
200880,05896
200891,05896
200893,05896
200897,05897
200899,05896
200911,0591
200912,0591
200919,0591
200921,0592
200929,0592
200931,0593
200939,0593
200941,05991
200949,05991
200950,05992
200961,05993
200969,05993
200971,05994
200979,05994
200981,05995
200989,05995
200990,05996
210111,07131
210112,07131
210120,07432
210130,07133
210210,0986
210220,0986
210230,0986
210310,09841
210320,09842
210330,09843
210390,09849
210410,0985
210420,09814
210500,02233
210610,09899
210690,09899
220110,11101
220190,11101
220210,11102
220291,11102
220299,11102
220300,1123
