Código,Descripción del producto,Valor importado en 2002,Valor importado en 2003,Valor importado en 2004,Valor importado en 2005,Valor importado en 2006,Valor importado en 2007,Valor importado en 2008,Valor importado en 2009,Valor importado en 2010,Valor importado en 2011,Valor importado en 2012,Valor importado en 2013,Valor importado en 2014,Valor importado en 2015,Valor importado en 2016,Valor importado en 2017,Valor importado en 2018,Valor importado en 2019,Valor importado en 2020,Valor importado en 2021
TOTAL,Todos los productos,7493004,8414051,10101027,12501830,15311559,20368278,29952803,21813514,29965750,37891035,42162927,43321707,42177198,38059620,36129331,39763959,43144346,42364042,36064092,51177743
271019,Aceites medios y preparaciones; de petróleo o de mineral bituminoso; que no contienen biodiesel; ...,203267,402421,537603,489353,568655,768393,1618218,646094,1248416,1926306,2068369,2617389,2372125,1779201,1707520,2116025,2335255,1877653,1258594,1887448
270900,Aceites crudos de petróleo o de mineral bituminoso,646360,867345,1098662,1737553,2191886,2752859,3376820,2210023,2689562,3664943,3675693,3355453,3017554,1630996,1618140,2470827,2871995,2476082,774419,1818521
851712,"""Telefonía celular """"teléfonos móviles"""" o radiotelefonía""",0,0,0,0,0,0,699826,325299,395181,550590,659841,862486,1126289,1117439,1126296,1096570,1061618,1026564,918921,1416006
271020,Aceites de petróleo o de mineral bituminoso (excepto los aceites crudos) y preparaciones ncop ...,0,0,0,0,0,0,0,0,0,0,11,126163,126238,35896,176010,308964,671695,863621,529041,1252041
100590,Maíz (exc. ??las de siembra para siembra),107594,120616,157143,170156,217548,330127,401194,313533,439075,614944,553303,560844,549865,557642,589412,636121,698123,774988,757522,1075298
271012,"""Aceites ligeros y preparaciones; de petróleo o de minerales bituminosos que> = 90% en volumen ...",0,0,0,0,0,0,0,0,0,0,223037,434114,360258,380679,427726,564052,724979,518919,494601,1022910
847130,Máquinas automáticas para tratamiento o procesamiento de datos; digitales; portátiles; de peso ...,14952,17841,22338,28668,47820,80005,175511,205368,259332,422380,442477,485798,480017,434133,364701,361886,387443,397290,677087,925258
870322,"""Automóviles de turismo; incl. los del tipo familiar """"break"""" o """"station wagon"""" y los de ...",40935,46375,37315,50874,80897,124481,248000,208802,311111,318809,481055,474767,498399,472364,461288,564640,480522,551997,409220,693328
230400,Tortas y demás residuos sólidos de la extracción del aceite de soja (soya); incluso molidos ...,112622,122912,152335,160248,180400,227562,314734,346776,377187,413828,531450,530797,563378,430494,456613,454143,530328,466697,494404,692703
150710,"""Aceite de soja """"soya"""" en bruto; incl. desgomado""",90231,105739,131304,125465,153231,210763,324111,211934,314553,387901,412893,370072,315578,286754,276938,332215,357569,348186,351647,624166
100199,Trigo y morcajo (exc. ??las de siembra para la siembra; y el trigo duro),0,0,0,0,0,0,0,0,0,0,505447,567455,550662,467694,387356,480353,490402,474733,516937,572223
