Código,Descripción del producto,Valor exportado en 2002,Valor exportado en 2003,Valor exportado en 2004,Valor exportado en 2005,Valor exportado en 2006,Valor exportado en 2007,Valor exportado en 2008,Valor exportado en 2009,Valor exportado en 2010,Valor exportado en 2011,Valor exportado en 2012,Valor exportado en 2013,Valor exportado en 2014,Valor exportado en 2015,Valor exportado en 2016,Valor exportado en 2017,Valor exportado en 2018,Valor exportado en 2019,Valor exportado en 2020,Valor exportado en 2021
TOTAL,Todos los productos,1421666,1676913,2332101,2318592,2980152,,,,,,,,,,2156107,2344188,2313587,1716114,1774016,1671031
999999,Materias no a otra parte especificadas,0,22,0,2,1870841,,,,,,,,,,0,1044924,1208978,424382,481429,592283
240210,"""Cigarros """"puros""""; incl. despuntadosy cigarritos """"puritos""""; que contengan tabaco""",122616,195794,202440,227128,213218,,,,,,,,,,217830,230145,249946,275521,264445,255756
750120,Sinters de óxidos de níquel y demás productos intermedios de la metalurgia del níquel,412479,616985,1062251,1072975,0,,,,,,,,,,458278,0,0,134046,144579,138658
170114,Azúcar de caña; en estado sólido; (excepto los de la caña de azúcar 1701 13) sin adición de ...,0,0,0,0,0,,,,,,,,,,345979,467481,179603,203359,211384,127353
220840,Ron y otros espiritus obtenidos de productos de caña de azucar; destilados y fermentados,16779,19798,20943,953,711,,,,,,,,,,109857,147337,132589,92374,77427,83608
260800,Minerales de cinc y sus concentrados,0,0,0,0,0,,,,,,,,,,0,0,0,87713,77868,74301
030611,"""Langosta congelada y otros productos de mar langosta """"Palinurus spp.""""; """"Panulirus spp."""" ...",79263,45043,72413,56482,36103,,,,,,,,,,51434,53605,53929,53206,43308,57829
270900,Aceites crudos de petróleo o de mineral bituminoso,1,0,0,1,0,,,,,,,,,,45097,58631,74441,,79011,43303
440290,Carbón vegetal; incluso aglomerado (exc. ​​de bambú o de cáscara o nuez; carbón vegetal utilizado ...,0,0,0,0,0,,,,,,,,,,34371,32892,34585,43412,40977,37119
271012,"""Aceites ligeros y preparaciones; de petróleo o de minerales bituminosos que> = 90% en volumen ...",0,0,0,0,0,,,,,,,,,,44658,0,0,57506,4155,36768
261610,Minerales de plata y sus concentrados,0,0,0,0,0,,,,,,,,,,0,0,0,7944,40806,34605
040900,Miel natural,6025,12799,12813,4985,6234,,,,,,,,,,16898,18010,15799,16964,15951,19911
740400,Desperdicios y desechos; de cobre,12134,14457,21040,28639,33724,,,,,,,,,,19331,21582,18976,15744,13645,18424
030617,Camarones y langostinos congelados; incluso ahumado; incluso pelados o no; incl. camarones ...,0,0,0,0,0,,,,,,,,,,19450,23125,21347,20381,12831,13377
300220,Vacunas para medicina humana,32296,24580,20359,19678,25486,,,,,,,,,,21953,0,0,1911,490,11943
030192,"""Anguilas vivas """"Anguilla spp.""""""",0,10,37,0,0,,,,,,,,,,46,282,5847,9385,3135,9252
170199,Azúcar de caña o remolacha y sacarosa químicamente pura; sólidos (exc. los con adición de aromatizante ...,213,2492,153,0,0,,,,,,,,,,785,520,0,18958,14710,8956
220870,Licores,844,1047,1688,1721,12,,,,,,,,,,22,2720,3899,9140,7547,7791
090111,Café sin tostar ni descafeinar,8053,6480,3481,4731,2504,,,,,,,,,,4377,3832,5246,6508,6098,6464
720449,"""Desperdicios y desechos """"chatarra""""; de hierro o acero (exc. escorias; batiduras y otros ...",0,0,16,25,371,,,,,,,,,,84,112,174,104,91,6187
240110,Tabaco; sin desvenar o desnervar,19746,15565,10218,10626,4804,,,,,,,,,,6971,7143,6208,3572,3075,5648
261690,Minerales de los metales preciosos y sus concentrados (exc. minerales de plata y sus concentrados),0,512,2811,1597,1409,,,,,,,,,,3054,1119,9705,2880,6275,5231
970110,Pinturas y dibujos; hechos totalmente a mano (exc. dibujos de la partida 4906 y artículos manufacturados ...,261,486,873,1150,969,,,,,,,,,,4141,96,58,4495,6150,4407
760200,Desperdicios y desechos; de aluminio,8263,8641,10955,13475,16017,,,,,,,,,,8319,8182,8743,9196,7914,4304
720720,Productos intermedios de hierro o acero sin alear; con un contenido de carbono >= 0;25% en ...,23462,17424,21052,35574,38017,,,,,,,,,,30654,34934,43560,16719,6709,3804
710812,Oro; incl. el oro platinado; en bruto; para uso no monetario (exc. en polvo),0,0,0,0,0,,,,,,,,,,0,0,0,13331,3680,3395
282540,Óxidos e hidróxidos de níquel,0,0,0,0,0,,,,,,,,,,0,0,0,1560,1233,2910
240120,Tabaco; total o parcialmente desvenado o desnervado pero sin elaborar de otro modo,1415,2641,346,978,854,,,,,,,,,,0,3,0,3582,2865,2623
750210,Níquel sin alear; en bruto,0,0,0,0,0,,,,,,,,,,0,0,0,6891,657,2511
711299,Desperdicios y desechos de plata; incl. chapados de plata y demás desperdicios y desechos que ...,0,1594,0,0,0,,,,,,,,,,1332,0,0,,6,2503
300490,"""Medicamentos constituidos por productos mezclados o sin mezclar; preparados para usos terapéuticos ...",6223,19862,135571,210467,178906,,,,,,,,,,217220,0,0,6477,4205,2430
300390,Medicamentos constituidos por productos mezclados entre sí; preparados para usos terapéuticos ...,0,1794,809,258,38,,,,,,,,,,147,0,0,426,1451,2279
210690,Preparaciones alimenticias; n.c.o.p.,62,113,93,165,232,,,,,,,,,,1588,2050,1583,2738,681,2207
300290,Sangre humana; Sangre animal preparada para usos terapéuticos; profilácticos o de diagnóstico.,8553,5518,2227,4778,8393,,,,,,,,,,4874,0,0,3013,2448,2012
720712,Productos intermedios de hierro o acero sin alear; con un contenido de carbono < 0;25% en peso; ...,1290,0,0,0,0,,,,,,,,,,0,0,0,,,2012
300215,Productos inmunológicos acondicionados en dosis medidas o en formas o envases para la venta ...,0,0,0,0,0,,,,,,,,,,0,0,0,4516,6815,1857
890110,"""Transatlánticos; barcos para excursiones """"de cruceros"""" y barcos simil. concebidos principalmente ...",0,0,0,0,26,,,,,,,,,,1500,0,0,,,1656
761699,Manufacturas de aluminio; n.c.o.p.,437,198,0,25,76,,,,,,,,,,2,0,1,509,1587,1604
262029,Cenizas y residuos; que contengan principalmente plomo (exc. lodos de gasolina con plomo y ...,0,0,0,0,0,,,,,,,,,,509,571,576,502,,1536
180100,Cacao en grano; entero o partido; crudo o tostado,1078,1325,1717,397,375,,,,,,,,,,887,149,0,345,1461,1515
851762,Máquinas para la recepción; conversación y transmisión o regeneradores de voz; imagenes; incl. ...,0,0,0,0,0,,,,,,,,,,150,98,366,561,662,1224
220890,"""Alcohol etílico sin desnaturalizar con un grado alcohólico volumétrico < 80% vol; aguardientes ...",6,1497,3599,334,63,,,,,,,,,,0,0,0,606,83,1176
300212,Antisueros y otras fracciones de la sangre,0,0,0,0,0,,,,,,,,,,0,0,0,4175,3939,1134
382370,Alcoholes grasos industriales,0,0,0,0,0,,,,,,,,,,0,0,0,2190,2246,1096
851770,Partes de telefonos; telefonos celulares o para radiofonias u otros aparatos de transmisión ...,0,0,0,0,0,,,,,,,,,,52,108,117,603,636,1063
970300,Obras originales de estatuaria o escultura; de cualquier materia,42,18,133,23,183,,,,,,,,,,766,26,167,1430,199,994
720421,"""Desperdicios y desechos """"chatarra""""; de acero inoxidable (exc. radiactivos; así como desperdicios ...",948,1570,2802,2796,2794,,,,,,,,,,1538,1433,1919,1392,1064,980
900130,Lentes de contacto,5,0,0,238,67,,,,,,,,,,0,0,0,,,962
890400,Remolcadores y barcos empujadores,0,0,0,0,439,,,,,,,,,,0,0,1178,,,950
780191,Plomo en bruto; con antimonio como el otro elemento predominante en peso,0,0,449,185,81,,,,,,,,,,1921,2002,2404,1258,388,939
300439,"""Medicamentos; que contengan hormonas o esteroides utilizados como hormonas pero sin antibióticos; ...",0,34,107,0,54,,,,,,,,,,0,0,0,1166,704,879
290420,Derivados de los hidrocarburos; solamente nitrados o solamente nitrosados,0,0,0,0,0,,,,,,,,,,0,0,0,657,,825
854810,Desperdicios y desechos de pilas; baterías de pilas o acumuladores; eléctricos; pilas; baterías ...,22,4,0,0,0,,,,,,,,,,0,0,0,473,,656
070960,"""Frutos de las géneros """"Capsicum"""" o """"Pimenta""""; frescos o refrigerados""",1,1,20,43,20,,,,,,,,,,255,203,157,332,339,622
170113,Azúcar de caña; en estado sólido; sin adición de aromatizante ni colorante; que se obtiene ...,0,0,0,0,0,,,,,,,,,,75,0,0,33540,524,532
180400,Manteca; grasa y aceite de cacao,827,588,1200,847,829,,,,,,,,,,1894,618,318,766,397,490
090121,Café tostado sin descafeinar,198,319,235,351,235,,,,,,,,,,792,1421,833,733,649,479
284440,Elementos e isótopos y compuestos; radiactivos; así como aleaciones; dispersiones; incl. el ...,0,3,0,1,7,,,,,,,,,,1010,691,663,628,189,453
720441,"""Torneaduras; virutas """"esquirlas""""; esquirlas; limaduras """"de amolado; aserrado; limado"""" ...",0,0,0,0,0,,,,,,,,,,0,0,0,,4,438
380899,Rodenticidas y otros productos fitosanitarios acondicionadas para la venta al por menor; o ...,0,0,0,0,0,,,,,,,,,,267,479,65,563,447,418
261000,Minerales de cromo y sus concentrados,762,1337,2184,1527,1415,,,,,,,,,,576,360,1018,,,394
200919,Jugo de naranja; sin fermentar y sin adición de alcohol; incl. con adición de azúcar u otro ...,54,337,2214,0,0,,,,,,,,,,0,0,0,728,3,388
843041,Máquinas de sondeo o perforación; de extraer o perforar tierra o minerales; autopropulsadas ...,0,0,0,0,11969,,,,,,,,,,581,0,0,,,356
760110,Aluminio sin alear; en bruto,44,0,50,0,1371,,,,,,,,,,583,782,244,,,347
030329,Perca del Nilo (Lates niloticus) y cabezas de serpiente (Channa spp.) congeladas,5,2,8,9,5,,,,,,,,,,0,0,0,221,302,345
030631,"""Langosta y otros langostinos """"Palinurus spp.; Panulirus spp. Y Jasus spp.""""; Con o sin cáscara; ...",0,0,0,0,0,,,,,,,,,,0,0,610,273,344,340
854011,Tubos catódicos para aparatos receptores de televisión; incl. para videomonitores; en colores,0,0,0,0,0,,,,,,,,,,121,215,55,,111,334
030612,"""Langostas congeladas """"Homarus spp.""""; Incluso ahumado; incluso pelados o no; incl. langostas ...",0,0,0,0,0,,,,,,,,,,0,0,0,973,331,332
170310,Melaza de caña; procedente de la extracción o del refinado del azúcar,6533,2008,0,0,0,,,,,,,,,,382,0,0,1035,237,314
290517,"""Dodecan-1-ol """"alcohol laurílico""""; hexadecan-1-ol """"alcohol cetílico"""" y octadecan-1-ol """"alcohol ...",0,0,0,0,0,,,,,,,,,,0,0,0,,29,310
152190,"""Cera de abejas o de otros insectos y esperma de ballena y de otros cetáceos """"espermaceti""""; ...",0,0,0,0,0,,,,,,,,,,96,12,24,40,130,295
030799,"""Moluscos; incluso con cáscara; ahumados; secos; salados o en salmuera (exc. ​​Ostras; vieiras ...",124,208,165,227,219,,,,,,,,,,0,0,0,145,264,282
630260,Ropa de tocador o cocina; de tejido con bucles; del tipo toalla; de algodón (exc. bayetas; ...,549,0,0,0,0,,,,,,,,,,0,1,0,206,121,271
330290,Mezclas de sustancias odoríferas y mezclas; incl. las disoluciones alcohólicas; a base de una ...,0,134,231,0,76,,,,,,,,,,0,0,0,,1,260
300219,Productos inmunológicos; nep (Código posiblemente vacío; las subpartidas precedentes parecen ...,0,0,0,0,0,,,,,,,,,,0,0,0,647,616,240
200899,Frutas y demás partes comestibles de plantas; preparados o conservados; incluso con adición ...,6,3,0,106,339,,,,,,,,,,15,48,38,181,250,236
850860,Aspiradoras; incl. las de materias secas y líquidas; (exc. con motor eléctrico incorporado),0,0,0,0,0,,,,,,,,,,6,0,3,,,234
442090,Marquetería y taracea; cofrecillos y estuches para joyería u orfebrería y manufacturas simil.; ...,28,25,15,97,50,,,,,,,,,,505,238,431,1263,41,229
240220,Cigarrillos que contengan tabaco,482,1087,3810,5471,2909,,,,,,,,,,3653,3702,3959,3469,1968,227
780200,Desperdicios y desechos; de plomo,84,156,246,388,609,,,,,,,,,,583,769,986,489,710,226
080430,"""Piñas """"ananás""""; frescas o secas""",0,1,0,0,0,,,,,,,,,,807,383,280,337,184,224
262099,Cenizas y residuos; que contengan metal o compuestos de metales (exc. los de la siderurgia; ...,0,52,4,0,0,,,,,,,,,,45,19,24,380,217,220
330300,Perfumes y aguas de tocador,91,107,163,0,0,,,,,,,,,,606,123,85,97,260,212
220710,Alcohol etílico sin desnaturalizar con grado alcohólico volumétrico >= 80% vol,6540,4811,3909,27,3919,,,,,,,,,,12385,9825,3886,2131,6264,183
720430,"""Desperdicios y desechos """"chatarra""""; de hierro o acero estañados (exc. radiactivos; así como ...",243,0,0,0,0,,,,,,,,,,0,0,0,,,168
200929,Jugo de toronja o de pomelo; sin fermentar y sin adición de alcohol; incl. con adición de azúcar ...,0,11374,11451,1373,0,,,,,,,,,,2116,4213,3055,2652,790,165
051199,Productos de origen animal; n.c.o.p.; animales muertos ; impropios para la alimentación humana ...,0,0,0,1,0,,,,,,,,,,362,289,185,104,83,161
870899,Partes y accesorios de tractores; vehículos automóviles para transporte de >= 10 personas; ...,67,146,12,22,31,,,,,,,,,,135,71,59,321,56,147
410150,Cueros y pieles; en bruto; enteros; de bovino; incl. el búfalo; o de equino; incl. depilados ...,0,47,70,138,465,,,,,,,,,,452,1090,925,94,24,146
950691,Artículos y material para cultura física; gimnasia o atletismo,0,78,45,145,310,,,,,,,,,,0,89,72,3,31,137
170390,Melaza de remolacha; procedente de la extracción o del refinado del azúcar,3,0,0,0,0,,,,,,,,,,0,0,0,,,134
160540,Crustáceos; preparados o conservados (excepto los ahumados; cangrejos; camarones; langostinos ...,30,0,0,824,203,,,,,,,,,,106,47,59,213,118,133
851712,"""Telefonía celular """"teléfonos móviles"""" o radiotelefonía""",0,0,0,0,0,,,,,,,,,,20,0,13,4,,133
970190,Collages y cuadros simil.,81,80,2,71,164,,,,,,,,,,0,2,0,232,17,120
970200,Grabados; estampas y litografías originales,3,5,17,0,2,,,,,,,,,,94,16,23,74,26,120
848079,Moldes para caucho o plástico (exc. para moldeo por inyección o compresión),17,0,25,0,0,,,,,,,,,,5,0,0,,,120
903149,Instrumentos opticos; aplicaciones y maquinas de medidas o revisión; sin ningún capitulo 90 ...,0,8,0,6,0,,,,,,,,,,3,59,0,,296,118
180690,Chocolate y demás preparaciones alimenticias que contengan cacao; en recipientes o envases ...,17,0,16,21,21,,,,,,,,,,83,0,0,49,71,110
720410,"""Desperdicios y desechos """"chatarra""""; de fundición (exc. radiactivos)""",1084,1242,2360,426,262,,,,,,,,,,1202,21,0,,,109
740321,"""Aleaciones a base de cobre-cinc """"latón""""; en bruto""",1097,532,1074,178,5,,,,,,,,,,0,0,0,,,106
220300,Cerveza de malta,386,446,378,159,303,,,,,,,,,,280,256,168,47,131,105
