Código del producto,Descripción del producto,Valor importado en 2002; miles de Dólar Americano,Valor importado en 2003; miles de Dólar Americano,Valor importado en 2004; miles de Dólar Americano,Valor importado en 2005; miles de Dólar Americano,Valor importado en 2006; miles de Dólar Americano,Valor importado en 2007; miles de Dólar Americano,Valor importado en 2008; miles de Dólar Americano,Valor importado en 2009; miles de Dólar Americano,Valor importado en 2010; miles de Dólar Americano,Valor importado en 2011; miles de Dólar Americano,Valor importado en 2012; miles de Dólar Americano,Valor importado en 2013; miles de Dólar Americano,Valor importado en 2014; miles de Dólar Americano,Valor importado en 2015; miles de Dólar Americano,Valor importado en 2016; miles de Dólar Americano,Valor importado en 2017; miles de Dólar Americano,Valor importado en 2018; miles de Dólar Americano,Valor importado en 2019; miles de Dólar Americano,Valor importado en 2020; miles de Dólar Americano,Valor importado en 2021; miles de Dólar Americano
TOTAL,Todos los productos,6604874345,7709365833,9396386397,10616767462,12266593045,14110979247,16348446132,12629364620,15338718314,18371910753,18522401036,18867301192,18926446398,16567033791,16072745075,17801808207,19679844901,19107826036,17721242289,21875443417
270900,Aceites crudos de petróleo o de mineral bituminoso,346682406,437066540,582214566,803069988,995826031,1086114696,1552442709,917522018,1218441471,1645386865,1728835647,1633577895,1514462633,832861085,671657727,886541926,1185303443,1063226152,709427611,1027935591
999999,Materias no a otra parte especificadas,195694771,237248762,290902116,334034897,451086090,453855720,510099364,435741403,441201205,500221234,510250048,588016137,589897219,534623625,505555536,476794084,490176619,487211413,403039371,604363494
854231,Circuitos electrónicos integrados tales como procesadores y controladores; sin combinación ...,,,,,,153725884,165445881,156243755,195421711,217335856,228505631,246036391,244468460,243713712,249600571,279134745,315832133,342259788,397418312,479890140
271019,Aceites medios y preparaciones; de petróleo o de mineral bituminoso; que no contienen biodiesel; ...,78539617,104725739,148602356,215664093,283572944,330962659,495876976,317644031,437193880,629375325,619719054,626493195,575398272,361871229,299179534,377666729,471141181,432036125,275792051,420304747
300490,"""Medicamentos constituidos por productos mezclados o sin mezclar; preparados para usos terapéuticos ...",98549170,121035322,143592259,161678662,185026808,215002915,244112582,247340311,265457483,280203255,272788489,274871245,285528880,278651875,286878903,286391524,301735434,319694820,339797890,353169047
854239,Circuitos electrónicos integrados (exc. como procesadores; controladores; memórias y ampli ...,,,,,,128076140,124357177,129904232,172714894,176420111,184515702,204896278,212499600,207933636,221007028,239109135,261115339,264973537,286471050,339200094
851712,"""Telefonía celular """"teléfonos móviles"""" o radiotelefonía""",,,,,,111909497,128161870,116394391,150403678,191812320,220685867,238587057,251775588,257225452,242856914,290674244,294491543,282056803,273205392,305760329
710812,Oro; incl. el oro platinado; en bruto; para uso no monetario (exc. en polvo),24241982,28313719,31082620,32370250,32759508,44176379,77139427,63819736,100069814,157150004,296762133,370134121,242633893,215535983,218970469,234655880,251054713,236487476,280940537,303611325
854232,Circuitos electrónicos integrados con memoria,,,,,,67422701,62655021,59306263,86069111,84743853,81984739,93857696,109445677,118739068,127258913,179871018,235944255,197358522,205787141,267616684
271012,"""Aceites ligeros y preparaciones; de petróleo o de minerales bituminosos que> = 90% en volumen ...",82739,89714,461,6,10,,,1,,1,271982693,285511312,279026387,197765103,165570291,213445469,270741277,242498717,166112894,257095912
870323,"""Automóviles de turismo; incl. los del tipo familiar """"break"""" o """"station wagon"""" y los de ...",156241977,165920925,178299296,182154294,201860145,229829657,231165796,165025007,214699715,235242396,254496931,267975228,280824296,268564832,284041099,284568695,292895934,283194586,221699736,227064818
260111,"""Minerales de hierro y sus concentrados; sin aglomerar (exc. piritas de hierro tostadas """"cenizas ...",9683433,12528404,22421889,31345346,37385207,53324218,91107422,67549397,113830650,157030148,133894017,142671671,128678269,78459393,74989612,100193011,99306191,127564722,143678506,224445533
847130,Máquinas automáticas para tratamiento o procesamiento de datos; digitales; portátiles; de peso ...,27762660,36649637,49037414,59940993,72034538,88150430,99756605,91558935,123143528,146924943,154229424,150732542,151554285,133434913,122136398,138240976,144347009,143780043,177921142,211550240
851762,Máquinas para la recepción; conversación y transmisión o regeneradores de voz; imagenes; incl. ...,,,,,,58415775,78311182,69033106,92394889,104540860,108416208,115806454,125423944,137123661,145437164,160066595,172023852,167955336,173070273,187490468
271111,Gas natural; licuado,22165119,31237125,33525937,43788824,57876439,65054938,100586279,73818849,97047635,143276623,161813169,165097549,172347850,113062332,80842158,103521130,145447588,143115230,106740639,180913663
271121,Gas natural; en estado gaseoso,48209900,66179805,80019997,107786645,126377375,121412978,181024842,143268343,153861225,198736646,199121098,208723291,183952781,138205586,103090278,119165389,145263324,122418642,87223687,178872159
847330,Partes y accesorios para máquinas automáticas para tratamiento de información y demás máquinas ...,128679731,142661576,166412161,169186700,190206745,152365038,147812574,120293597,140373104,124693080,121431616,118952677,120229149,108213046,97501345,114320631,133037019,122306253,130548726,153074739
300215,Productos inmunológicos acondicionados en dosis medidas o en formas o envases para la venta ...,,,,,,,,,,,,,,,5,69361897,87211367,98561566,123189137,148279486
851770,Partes de telefonos; telefonos celulares o para radiofonias u otros aparatos de transmisión ...,,,,,,64301675,74271090,65897292,86173215,99816696,106020578,121431751,122804419,133372981,131112772,142990471,138725042,129197293,126660504,141318415
300220,Vacunas para medicina humana,3168828,3504204,3974366,4896979,6644507,9780078,11973306,15757709,18644788,17498445,20708678,23449068,28935639,24629734,22333247,25252073,29055603,32802859,35856333,117217802
870322,"""Automóviles de turismo; incl. los del tipo familiar """"break"""" o """"station wagon"""" y los de ...",32336811,36889453,43803450,46099800,52638240,62437332,69101557,63125375,61145008,71081880,69441315,72114708,75880661,75783419,87195461,101725326,119110460,126250200,98281563,96871986
270112,Hulla bituminosa ; incl. pulverizada; pero sin aglomerar,18860128,20575730,32610423,41451907,43371453,49822019,84879453,67449570,81419690,107293036,102015595,89410429,77111970,61257309,57087729,92056083,101237577,90506939,63042504,96196744
710813,Oro; incl. el oro platinado; semilabrado; para uso no monetario,4651534,7241996,10817912,14046348,18501767,25858499,29271740,17477679,20456999,30999188,40565473,52332704,47731010,35681990,76819232,62954784,54732484,96597720,122265199,91201010
870899,Partes y accesorios de tractores; vehículos automóviles para transporte de >= 10 personas; ...,59852103,69568307,80038353,86800374,96499986,91014238,85898788,61548494,74412692,85572307,83446520,86804704,89230366,79210299,78103958,83103522,90134726,88076246,75339703,89181714
260300,Minerales de cobre y sus concentrados,5947163,7210192,12014861,16186402,32279008,37011587,37645287,30464754,46161205,52928474,51688681,56412589,53539340,46008770,43212410,56962920,63980252,59504129,61234274,88482873
847170,Unidades de memoria para máquinas automáticas para tratamiento o procesamiento de datos; digitales,53775698,58140092,60450947,66337019,71113932,73220190,77803213,68388322,79277833,84109080,95271487,81833212,80056225,74152216,73008089,76403603,85010235,76436082,78650252,85310808
847150,Unidades de proceso digitales; para máquinas automáticas para tratamiento o procesamiento de ...,22377908,26809590,33251651,36753743,39687108,42831839,41991463,34951986,42733084,46412119,45138129,46862548,50572454,54381616,55517466,65120807,82409872,80913972,79385007,84919465
120190,Habas de soja; incluso quebrantadas (exc. ??las de siembra para siembra),,,,,,,,,,,53874835,59904743,66287862,56734827,54541639,60746354,62844532,58107450,63125419,80817999
711319,"""Artículos de joyería y sus partes; de metales preciosos distintos de la plata; incl. revestidos ...",17388897,19479528,23189592,26049804,30923639,34793322,36905151,37963781,43663128,61994634,62957859,59934808,63651084,60617762,60974577,62554040,79678823,87873378,56113990,80366955
392690,Artículos de plástico y manufacturas de las demás materias de las partidas 3901 a 3914; ncop ...,21979420,24643685,28382103,31309423,34883859,37634506,41325727,34708733,42906611,47546776,48523287,51682030,54685215,52562837,54670747,60289638,65538952,66735675,67487381,78966648
870829,"""Partes y accesorios de carrocerías para tractores; vehículos de motor para el transporte de ...",29878838,35269792,41756661,44268715,47065472,51956110,53515763,40553045,51489108,61541389,63339479,67344781,71805724,68215276,70187889,73272043,80962157,78079812,67778147,78901277
850440,Convertidores estáticos,16562563,19050679,22728684,25591241,30091798,36358691,40594631,34487667,46653413,52655464,50136019,52062835,53623345,51505728,50144829,54147359,59819768,61863877,65342532,78842771
870324,"""Automóviles de turismo; incl. los del tipo familiar """"break"""" o """"station wagon"""" y los de ...",82991329,96498320,110676913,119561043,129022043,139133533,136278499,79933710,115540200,121885662,135847827,129528792,124888048,116718396,107565801,102871968,97202215,91352271,69032348,77722322
852990,Partes identificables como destinadas; exclusiva o principalmente; a módulos de visualización ...,30848536,40948327,59673906,72366793,92221467,69487653,75251460,60978801,76437344,72222527,72866128,68079027,66138684,55236423,54462613,62726642,60385188,61221180,63007492,77512025
740311,Cobre refinado en forma de cátodos y de secciones de cátodos,10733320,11502394,18740121,24291292,44314881,50479641,50597394,40339084,59215629,69355624,67697882,64466219,61929729,52455435,47860699,56587774,62927209,55500825,60219044,77327805
854140,Dispositivos material semiconductor fotosensibles; incl. las células fotovoltaicas aunque estén ...,7212733,9360935,12710064,15861747,19896226,26195240,42636312,38673624,72062385,74620934,55279265,51504929,55204061,57306986,56109190,55952217,53500762,57448312,58934696,71349072
710239,Diamantes; trabajados; sin montar ni engarzar (exc. diamantes industriales),30737488,32461676,39515274,48876208,47040643,54747266,65393478,53082382,80200118,99191013,75383864,84552241,84688550,76540848,74816995,79879054,83773451,73441315,48590312,71207191
880240,Aviones y demás aeronaves con motor de un peso en vacío> 15.000 kg (exc. helicópteros; dirigibles ...,40835481,42171016,52792562,53855527,65747114,66505705,68810186,67152547,83581084,95661067,114423291,118385518,143351834,132950494,133896403,123677930,122570357,112844517,66798461,68576063
853710,Cuadros y armarios de interruptores y combinaciones simil. de aparatos; para control o distribución ...,10294300,12423063,15564345,17802245,20583671,24758000,28685781,23695827,29960221,37351270,41086406,45776343,46645226,46352874,48908740,53763710,60452713,61124826,58727351,67549231
848620,Máquinas y aparatos para la manufactura de mecánismos semiconductores o circuitos electrónicos ...,,,,,,16090159,13476242,10359828,25223865,33634039,23602896,21822467,26935445,25197158,29079943,39341411,44046769,40892819,46438586,67101530
870840,Cajas de cambio para tractores; vehículos automóviles para transporte de >= 10 personas; automóviles ...,16424244,18884253,23625369,24231336,27294271,36926247,41881005,31308607,44315228,53172757,56387784,59335320,60088374,56245271,62161782,69403711,74593603,67837872,58799035,67026379
901890,Instrumentos y aparatos de medicina; cirugía o veterinaria; n.c.o.p.,15968088,18941924,22449402,25149596,27798664,32079212,36508073,34845262,37974733,42781321,44438501,47177012,49694117,47744052,49886143,51826780,57628571,60386353,61744258,66733230
870421,"""Vehículos automóviles para el transporte de mercancías; con solo motor de émbolo (pistón) ...",21855992,26238928,32167611,34152972,37100911,46081381,49523844,28567805,39592701,48126500,47458847,49003337,50488123,47669765,51048536,55777658,62596228,62323644,50747789,66639568
271600,Energía eléctrica,12941336,16054752,18641381,25681605,31572924,26947063,36868952,30610844,33016211,40603961,39530559,34598897,33644162,28059740,25521116,28994584,34398518,32109203,28905612,65001805
870332,"""Automóviles de turismo; incl. los del tipo familiar """"break"""" o """"station wagon"""" y los de ...",54050451,67063631,86652677,92309178,98586525,124424186,123018551,84962978,102821520,136433723,124695931,129423347,138996835,131362534,135383057,138697443,127238208,104923232,74427530,63570834
870380,Automóviles de turismo y demás vehículos automóviles concebidos principalmente para el transporte ...,,,,,,,,,,,,,,46,48,7658184,10401358,23322293,34621527,62499022
950300,Triciclos; patinetes; coches de pedal y juguetes similares con ruedas; coches y sillas de ruedas ...,52,,,60,87,33115339,35425507,29439631,38149165,40354411,40416636,41948912,45043322,45079849,46488779,48835328,50199928,50606174,47620862,61809137
850760,Acumuladores de litio-ion (exc. inservibles),,,,,,,,,,,10170198,11444984,12961528,13682440,15184327,19332943,25679905,31051926,40236366,60783825
870340,Automóviles de turismo y demás vehículos automóviles concebidos principalmente para el transporte ...,,,,,,,,,,,,,,6,,19909325,25061755,33099613,42413578,59885927
382200,Reactivos de diagnóstico o de laboratorio sobre cualquier soporte y reactivos de diagnóstico ...,7962865,9472272,11159476,12262114,13640041,15813854,17741119,18697545,20340716,22925873,22973253,24525307,24940420,24055380,25090282,27436376,29786491,29896106,43509032,59617574
853400,Circuitos impresos,17381436,19935010,25455095,29533700,35661011,39475761,39560359,32259723,41444212,46619005,48792707,47871184,48376810,46135401,44568823,49099278,52030360,49343797,49811839,59184991
330499,Preparaciones de belleza; maquillaje y para el cuidado de la piel; incl. las preparaciones ...,7519292,8964565,10892707,12225932,13910331,16413453,18932001,17245650,19385223,22221147,23289095,25228193,27590911,27433669,30451253,35206096,43753291,48013737,52867108,59141683
848180,Artículos de grifería y órganos reguladores simil. para tuberías (exc. válvulas reductoras ...,16217121,18631161,22802529,25148402,29959130,36388126,41520456,35595242,39356034,45642373,49054329,50916835,53298369,49515982,48096329,49523061,54744254,55692572,51584703,58520428
880330,"""Partes de aviones o de helicópteros; n.c.o.p. (exc. los planeadores """"parapentes"""")""",25724475,27568310,30808518,37491169,43719503,50172652,55678927,51809131,52249987,57290508,64097883,68488295,77703393,76171241,77217175,79301985,87816740,89963348,63416580,58167450
841191,Partes de turborreactores o de turbopropulsores; n.c.o.p.,17835182,18533546,20888295,23730433,27949837,32895253,37780287,35582629,36940263,42124458,46132628,51326634,52874190,54216470,59881187,66572807,76322381,85029629,56532017,57190770
841112,Turborreactores; de empuje > 25 kN,13535735,13233494,14406328,14813130,18234363,17941246,19243590,19539073,20671985,22589458,28770089,32767820,34653562,32578850,37108293,41155382,55583139,65584524,51722971,55268247
210690,Preparaciones alimenticias; n.c.o.p.,10353897,12588491,15036794,16814480,18533544,22033413,25422308,24589436,26548028,30464237,31496244,34515322,35558121,33997090,35420252,37050161,43811290,46158454,49133545,54135407
852872,Aparatos receptores para televisión en color; sin radio receptor incorporado; aparatos reproductodes ...,,,,,,56962043,64966575,54684198,68688774,62138819,57185175,49911646,51726799,46419725,41424232,44795930,45875027,43455001,44037653,52821789
732690,Manufacturas de hierro o acero; n.c.o.p. (exc. moldeadas; o forjadas o estampadas pero sin ...,13592286,15650479,18363030,21297577,24688538,30281159,37017468,28012837,32843488,37976992,38980189,41445422,43777483,41169836,41037269,44346488,50468089,49048786,44296611,52109300
100590,Maíz (exc. ??las de siembra para siembra),10219937,11446844,13207210,11869680,13622555,21870115,28523677,19187075,22181442,32328383,34020290,33340296,33229405,30157134,29201156,30037770,34434286,37037663,37895158,51596062
844399,Partes y accesorios de impresoras; fotocopiadoras y máquinas facsímiles; n.c.o.p. (exc. máquinaria ...,,,,,,62010432,62803014,53794351,67257772,69407941,64048623,62738275,59651618,53088201,50433849,51789706,53788729,49185020,43863510,50591748
271112,Propano; licuado,7988680,10666233,12949651,16379754,19893806,22050246,28519790,18506278,25936221,34854765,36130499,36208664,39243800,24421860,22363426,31137820,39444804,32759562,33128052,48943460
847989,Máquinas y aparatos mecánicos; n.c.o.p.,21969489,25763929,35117555,35246546,39238516,34422603,36561403,26022326,31460286,36591662,35151538,35640319,38053363,36019929,37498624,41687007,44318536,44506496,42164470,48273175
853690,"""Aparatos eléctricos para corte; seccionamiento; protección; derivación; empalme o conexión ...",14962753,16787936,21036973,23653575,27739203,31558791,33809769,26213193,33798678,38068658,37398102,38341812,39526509,37137578,37496000,40446523,43101132,41413468,39934745,48158464
270119,Hulla ; incl. pulverizada; pero sin aglomerar (exc. antracita y hulla bituminosa),5410154,6302805,9200879,13865796,13941830,16407455,30438373,22082926,25323198,35001462,34997459,30963333,30041767,24192857,23066108,35083876,41975363,37092777,28149253,46601623
382499,productos químicos y preparaciones de las industrias químicas o afines; incl. las mezclas de ...,,,,,,,,,,189,,121,,4909,5100,29043577,33956616,33039025,35705174,45042420
854430,Juegos de cables para bujías de encendido y demás juegos de cables de los tipos utilizados ...,13547117,14893319,16423727,17732874,19596476,23086443,23761024,18307518,24431020,29688077,30590684,33561124,36219317,36267449,36956503,38909735,43624025,43377220,37784004,44030803
401110,"""Neumáticos """"llantas neumáticas"""" nuevos de caucho; de los tipos utilizados en automóviles ...",13463802,16153550,19829985,22485644,24558846,30033373,33538111,30135502,36210933,45606757,45244439,45185872,44191665,39430537,38666283,41323625,43590950,43020728,36902349,43851805
100199,Trigo y morcajo (exc. ??las de siembra para la siembra; y el trigo duro),,,,,,,,,,,27703398,31838448,31474198,26915358,27534174,29670939,32428726,32920007,35600416,43173812
852351,Mecanismos de grabación; de estado sólido; sin datos volátiles; de una fuente de energia externa ...,,,,,,12397829,14408415,14662034,18683276,20909662,20000109,19960546,20933099,22271932,24407586,31010250,34332281,30710463,38113809,42812686
870321,"""Automóviles de turismo; incl. los del tipo familiar """"break"""" o """"station wagon"""" y los de ...",6392814,6587032,6886419,9086644,10064184,12460830,14064743,12218552,12523538,12988285,13952065,16668851,20567982,22594525,22030064,28993292,41553356,46619208,38029495,42049908
901380,Dispositivos de cristal líquido; n.c.o.p. y los demás instrumentos e aparatos de óptica de ...,7765094,17862398,30306289,39057867,51103435,62086491,66547368,49360379,63233463,65860111,67732025,67299068,61797081,57861093,47849027,50067990,45456916,36428876,32933469,41568498
854370,Partes de máquinas y de aparatos eléctricos; con función propia; n.c.o.p. del capítulo 85,,,,,,15128067,18527496,16059935,22631776,27856307,27472433,29898025,31754308,32329808,32713930,32341496,34617567,33888039,33479458,40766916
300439,"""Medicamentos; que contengan hormonas o esteroides utilizados como hormonas pero sin antibióticos; ...",7970649,9675383,10852164,12173990,14504617,15611394,16450240,19032640,17517108,20237143,21562623,22768558,23326576,23491600,24728522,25400700,29318212,33585459,37492462,40227101
760120,Aleaciones de aluminio; en bruto,11302351,12487341,16333079,17927716,26094189,28997604,28370891,14721639,23540456,29456877,25695961,24917733,27658217,26211216,23928193,29293401,33406428,27940465,23986980,39823815
852580,Camaras de televisión; camaras digitales y camaras de video,,,,,,41463972,44110843,36842008,45093098,47425614,51364460,48661266,41281146,38889717,33794966,36510707,38868987,38547353,35595736,39094747
730890,Construcciones y partes de construcciones; de fundición; hierro o acero (exc. puentes y partes ...,7590688,8556893,11343777,13193729,17097600,22735807,30360407,26165652,24120012,28355269,30457940,32093036,32566390,31877448,29392880,33096092,35079317,34826041,30793181,38240583
854442,Conductores eléctricos; para una tensión <= 1 000 V; provistos de piezas de conexión; n.c.o.p.,,,,,,16502772,19501638,14531792,19626808,22922900,23969930,25737183,27895648,26451509,26769332,29439168,32329831,31616616,31436497,37783267
720449,"""Desperdicios y desechos """"chatarra""""; de hierro o acero (exc. escorias; batiduras y otros ...",6059597,9255415,16788402,16838928,17990819,23313507,37596626,21428183,28899881,38769352,36143364,30716305,28041515,18223493,15732562,22826429,28053145,23265796,21489834,37313363
710231,Diamantes; en bruto o simplemente aserrados; exfoliados o desbastados (exc. diamantes industriales),25486722,26366765,32123480,35500124,32719187,34959263,33689025,23101879,33533938,47030034,48356554,48836504,49529871,38262085,43981237,46366417,44326602,33621505,25742861,36873328
848690,Máquinas y aparatos de un tipo usadas principalmente para la manufactura de galletas; mecanismos ...,,,,,,5407958,5863041,5176656,11088280,12628949,11826593,13179290,13965826,14255880,16214906,21601354,26361309,26303125,31129405,36765057
760110,Aluminio sin alear; en bruto,13248819,15695577,19691703,21000926,28096555,30352953,27614913,20040696,25479472,29283634,24598616,22990634,26423031,23241449,22496785,28395884,29917826,24636842,24451738,36617783
740400,Desperdicios y desechos; de cobre,3768157,4100805,7121494,8755028,15835950,20387418,19913703,14408401,27315224,36038604,33871591,30073973,26939695,21158008,17495979,23425767,26035450,24090601,20439988,36241880
853890,Partes identificables como destinadas; exclusiva o principalmente; a los aparatos de las partidas ...,10083672,12240737,15203176,16721335,19719465,23166504,25708755,20216348,26285154,29886878,28736552,29738987,30883163,28182998,28155828,30975992,33262580,31767307,29170960,35834213
870360,Automóviles de turismo y demás vehículos automóviles concebidos principalmente para el transporte ...,,,,,,,,,,,,,,57,,6984344,9078549,13285329,23332130,35670801
390210,Polipropileno; en formas primarias,7745113,9789486,12507883,15258202,17650512,20988984,22525348,17721202,23419253,28819655,27366179,28203128,30388449,25013497,22704163,25599813,28892295,27023955,24748998,34938054
151190,Aceite de palma y sus fracciones; incl. refinados; sin modificar químicamente (exc. aceite ...,4075707,5808963,7711116,7173838,8041540,11805887,18850708,14413220,17564766,24335764,25548880,23532053,22341234,19274711,19187993,22724847,21709244,20200185,22078380,34371106
